InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
LACM,Fish,10364-23,3,Electrona paucirastra,Myctophidae,originally: 10% formalin,,-40.7666667,76°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | ca. 100 miles west of Isla de Chiloe.",,3730,1962,8,27,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,10364-24,7,Bathylagus,Bathylagidae,originally: 10% formalin,,-40.7666667,76°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | ca. 100 miles west of Isla de Chiloe.",,3730,1962,8,27,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,10364-25,2,Hygophum hygophum,Myctophidae,originally: 10% formalin,,-40.7666667,76°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | ca. 100 miles west of Isla de Chiloe.",,3730,1962,8,27,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,"From Smithsonian, transaction 2030342.",2018-10-08
LACM,Fish,10614-1,2,Cyclothone cyclothone,Gonostomatidae,originally: 10% formalin,,33°18'0'' S,72°27'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | off Valparaiso",,4447,1963,9,26,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,10614-2,2,Bathylagus bathylagus,Bathylagidae,originally: 10% formalin,,33°18'0'' S,72°27'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | off Valparaiso",,4447,1963,9,26,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,10614-3,1,Argyropelecus lychnus,Sternoptychidae,originally: 10% formalin; preservation: C&S,,33°18'0'' S,72°27'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | off Valparaiso",,4447,1963,9,26,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,10669-1,1,Acanthochaenus luetkenii,Stephanoberycidae,originally: 10% Formalin,,-55.3666667,78°21'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, Southeastern Pacific | Chile | - | - | off southern tip of Chile",,4328,1963,11,29,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,10830-1,1,Prolatilus prolatilus,Pinguipedidae,originally: formalin,,-33.033708,-71.616732,1231,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Southeastern Pacific Ocean, Valparaiso Harbour",,,1964,9,29,USNS Eltanin,,,PreservedSpecimen,,2018-10-08
LACM,Fish,10997-1,24,Merluccius gayi,Merlucciidae,originally: 10% Formalin,,33°0'0'' S,-71.6666667,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, Southeastern Pacific | Chile | - | -",,110 meters,1965,5,24,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,Southeastern Pacific Ocean,2018-10-08
LACM,Fish,10997-2,1,Prolatilus prolatilus,Pinguipedidae,originally: 10% Formalin,,33°0'0'' S,-71.6666667,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, Southeastern Pacific | Chile | - | -",,110 meters,1965,5,24,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,Southeastern Pacific Ocean,2018-10-08
LACM,Fish,10998,,,,originally: 10% Formalin,,33°0'0'' S,-71.6666667,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, Southeastern Pacific | Chile | - | -",,110,1965,5,24,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-14,,Sio sio,Melamphaidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,series,2018-10-08
LACM,Fish,11076-15,2,Sternoptyx diaphana,Sternoptychidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-16,3,Stomias stomias,Stomiidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-17,1,Lampichthys procerus,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
