"taxa.list$scientificName_Old","usageKey","scientificName","canonicalName","rank","status","type","formattedName","matchType","confidence","timeTaken","kingdom","phylum","order","family","kingdomKey","phylumKey","orderKey","familyKey","value","verbatim_name","verbatim_rank","authorship","code","genericName","specificEpithet","genus","species","genusKey","speciesKey","note","unranked","unrankedKey","class","classKey","infraspecificEpithet","subspecies","subspeciesKey"
"Emmelichthys Richardson, 1845","2390479","Emmelichthys Richardson, 1845","Emmelichthys","GENUS","ACCEPTED","SCIENTIFIC","<i>Emmelichthys</i> Richardson, 1845","HIGHERRANK",99,18,"Animalia","Chordata","Perciformes","Emmelichthyidae","1","44","587","8531",FALSE,"Emmelichthys Richardson, 1845","higher","Richardson, 1845","ZOOLOGICAL",NA,NA,"Emmelichthys",NA,"2390479",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enantioliparis pallidus Vaillant, 1888","2336230","Enantioliparis pallidus Vaillant, 1888","Enantioliparis pallidus","SPECIES","SYNONYM","SCIENTIFIC","<i>Enantioliparis</i> <i>pallidus</i> Vaillant, 1888","EXACT",100,13,"Animalia","Chordata","Scorpaeniformes","Liparidae","1","44","590","8627",TRUE,"Enantioliparis pallidus Vaillant, 1888","higher","Vaillant, 1888","ZOOLOGICAL","Enantioliparis","pallidus","Careproctus","Careproctus pallidus","2336138","2336229",NA,NA,NA,NA,NA,NA,NA,NA
"Engraulis ringens","2414014","Engraulis ringens Jenyns, 1842","Engraulis ringens","SPECIES","ACCEPTED","SCIENTIFIC","<i>Engraulis</i> <i>ringens</i> Jenyns, 1842","EXACT",99,11,"Animalia","Chordata","Clupeiformes","Engraulidae","1","44","538","7334",FALSE,"Engraulis ringens","higher","Jenyns, 1842","ZOOLOGICAL","Engraulis","ringens","Engraulis","Engraulis ringens","2352080","2414014",NA,NA,NA,NA,NA,NA,NA,NA
"Engraulis ringens Jenyns, 1842","2414014","Engraulis ringens Jenyns, 1842","Engraulis ringens","SPECIES","ACCEPTED","SCIENTIFIC","<i>Engraulis</i> <i>ringens</i> Jenyns, 1842","EXACT",100,11,"Animalia","Chordata","Clupeiformes","Engraulidae","1","44","538","7334",FALSE,"Engraulis ringens Jenyns, 1842","higher","Jenyns, 1842","ZOOLOGICAL","Engraulis","ringens","Engraulis","Engraulis ringens","2352080","2414014",NA,NA,NA,NA,NA,NA,NA,NA
"Epigonus crassicaudus de Buen, 1959","2395050","Epigonus crassicaudus de Buen, 1959","Epigonus crassicaudus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Epigonus</i> <i>crassicaudus</i> de Buen, 1959","EXACT",100,6,"Animalia","Chordata","Perciformes","Epigonidae","1","44","587","8532",FALSE,"Epigonus crassicaudus de Buen, 1959","higher","de Buen, 1959","ZOOLOGICAL","Epigonus","crassicaudus","Epigonus","Epigonus crassicaudus","2395026","2395050",NA,NA,NA,NA,NA,NA,NA,NA
"GALAXIIDAE","4224","Galaxiidae","Galaxiidae","FAMILY","ACCEPTED","SCIENTIFIC","<i>Galaxiidae</i>","HIGHERRANK",94,1,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"GALAXIIDAE","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gadidae","3701","Gadidae","Gadidae","FAMILY","ACCEPTED","SCIENTIFIC","<i>Gadidae</i>","HIGHERRANK",94,2,"Animalia","Chordata","Gadiformes","Gadidae","1","44","549","3701",FALSE,"Gadidae","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gadiformes","549","Gadiformes","Gadiformes","ORDER","ACCEPTED","SCIENTIFIC","<i>Gadiformes</i>","HIGHERRANK",94,1,"Animalia","Chordata","Gadiformes",NA,"1","44","549",NA,FALSE,"Gadiformes","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galaxias","1","Animalia","Animalia","KINGDOM","ACCEPTED","SCIENTIFIC","<i>Animalia</i>","HIGHERRANK",92,41,"Animalia",NA,NA,NA,"1",NA,NA,NA,FALSE,"Galaxias","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galaxias Cuvier, 1816","2410478","Galaxias Cuvier, 1816","Galaxias","GENUS","ACCEPTED","SCIENTIFIC","<i>Galaxias</i> Cuvier, 1816","HIGHERRANK",99,49,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Galaxias Cuvier, 1816","higher","Cuvier, 1816","ZOOLOGICAL",NA,NA,"Galaxias",NA,"2410478",NA,NA,NA,NA,NA,NA,NA,NA,NA
