"taxa.list$scientificName_Old","usageKey","scientificName","canonicalName","rank","status","type","formattedName","matchType","confidence","timeTaken","kingdom","phylum","order","family","kingdomKey","phylumKey","orderKey","familyKey","value","verbatim_name","verbatim_rank","authorship","code","genericName","specificEpithet","genus","species","genusKey","speciesKey","note","unranked","unrankedKey","class","classKey","infraspecificEpithet","subspecies","subspeciesKey"
"ATHERINIDAE","7172","Atherinidae","Atherinidae","FAMILY","ACCEPTED","SCIENTIFIC","<i>Atherinidae</i>","HIGHERRANK",94,10,"Animalia","Chordata","Atheriniformes","Atherinidae","1","44","496","7172",FALSE,"ATHERINIDAE","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agonidae","8617","Agonidae","Agonidae","FAMILY","ACCEPTED","SCIENTIFIC","<i>Agonidae</i>","HIGHERRANK",94,2,"Animalia","Chordata","Scorpaeniformes","Agonidae","1","44","590","8617",FALSE,"Agonidae","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agonopsis chiloensis","5201651","Agonopsis chiloensis (Jenyns, 1840)","Agonopsis chiloensis","SPECIES","ACCEPTED","SCIENTIFIC","<i>Agonopsis</i> <i>chiloensis</i> (Jenyns, 1840)","EXACT",99,6,"Animalia","Chordata","Scorpaeniformes","Agonidae","1","44","590","8617",FALSE,"Agonopsis chiloensis","higher","(Jenyns, 1840)","ZOOLOGICAL","Agonopsis","chiloensis","Agonopsis","Agonopsis chiloensis","2337232","5201651",NA,NA,NA,NA,NA,NA,NA,NA
"Agonopsis chiloensis (Jenyns, 1840)","5201651","Agonopsis chiloensis (Jenyns, 1840)","Agonopsis chiloensis","SPECIES","ACCEPTED","SCIENTIFIC","<i>Agonopsis</i> <i>chiloensis</i> (Jenyns, 1840)","EXACT",100,13,"Animalia","Chordata","Scorpaeniformes","Agonidae","1","44","590","8617",FALSE,"Agonopsis chiloensis (Jenyns, 1840)","higher","(Jenyns, 1840)","ZOOLOGICAL","Agonopsis","chiloensis","Agonopsis","Agonopsis chiloensis","2337232","5201651",NA,NA,NA,NA,NA,NA,NA,NA
"Allothunnus fallai","2373913","Allothunnus fallai Serventy, 1948","Allothunnus fallai","SPECIES","ACCEPTED","SCIENTIFIC","<i>Allothunnus</i> <i>fallai</i> Serventy, 1948","EXACT",99,10,"Animalia","Chordata","Perciformes","Scombridae","1","44","587","8596",FALSE,"Allothunnus fallai","higher","Serventy, 1948","ZOOLOGICAL","Allothunnus","fallai","Allothunnus","Allothunnus fallai","2373912","2373913",NA,NA,NA,NA,NA,NA,NA,NA
"Allothunnus fallai Serventy, 1948","2373913","Allothunnus fallai Serventy, 1948","Allothunnus fallai","SPECIES","ACCEPTED","SCIENTIFIC","<i>Allothunnus</i> <i>fallai</i> Serventy, 1948","EXACT",100,11,"Animalia","Chordata","Perciformes","Scombridae","1","44","587","8596",FALSE,"Allothunnus fallai Serventy, 1948","higher","Serventy, 1948","ZOOLOGICAL","Allothunnus","fallai","Allothunnus","Allothunnus fallai","2373912","2373913",NA,NA,NA,NA,NA,NA,NA,NA
"Anguilliformes","495","Anguilliformes","Anguilliformes","ORDER","ACCEPTED","SCIENTIFIC","<i>Anguilliformes</i>","HIGHERRANK",94,10,"Animalia","Chordata","Anguilliformes",NA,"1","44","495",NA,FALSE,"Anguilliformes","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antimora rostrata (Günther, 1878)","2417115","Antimora rostrata (Günther, 1878)","Antimora rostrata","SPECIES","ACCEPTED","SCIENTIFIC","<i>Antimora</i> <i>rostrata</i> (Günther, 1878)","EXACT",100,10,"Animalia","Chordata","Gadiformes","Moridae","1","44","549","3704",FALSE,"Antimora rostrata (Günther, 1878)","higher","(Günther, 1878)","ZOOLOGICAL","Antimora","rostrata","Antimora","Antimora rostrata","2417114","2417115",NA,NA,NA,NA,NA,NA,NA,NA
"Aphos porosus","2350916","Aphos porosus (Valenciennes, 1837)","Aphos porosus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Aphos</i> <i>porosus</i> (Valenciennes, 1837)","EXACT",99,7,"Animalia","Chordata","Batrachoidiformes","Batrachoididae","1","44","1106","7187",FALSE,"Aphos porosus","higher","(Valenciennes, 1837)","ZOOLOGICAL","Aphos","porosus","Aphos","Aphos porosus","2350915","2350916",NA,NA,NA,NA,NA,NA,NA,NA
"Aphos porosus (Valenciennes, 1837)","2350916","Aphos porosus (Valenciennes, 1837)","Aphos porosus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Aphos</i> <i>porosus</i> (Valenciennes, 1837)","EXACT",100,6,"Animalia","Chordata","Batrachoidiformes","Batrachoididae","1","44","1106","7187",FALSE,"Aphos porosus (Valenciennes, 1837)","higher","(Valenciennes, 1837)","ZOOLOGICAL","Aphos","porosus","Aphos","Aphos porosus","2350915","2350916",NA,NA,NA,NA,NA,NA,NA,NA
"Aphritis gobio Günther, 1861","5212005","Aphritis gobio Günther, 1861","Aphritis gobio","SPECIES","SYNONYM","SCIENTIFIC","<i>Aphritis</i> <i>gobio</i> Günther, 1861","EXACT",100,10,"Animalia","Chordata","Perciformes","Bovichtidae","1","44","587","4252",TRUE,"Aphritis gobio Günther, 1861","higher","Günther, 1861","ZOOLOGICAL","Aphritis","gobio","Cottoperca","Cottoperca gobio","2398039","2398040",NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton","2410617","Aplochiton Jenyns, 1842","Aplochiton","GENUS","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> Jenyns, 1842","HIGHERRANK",94,5,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton","higher","Jenyns, 1842","ZOOLOGICAL",NA,NA,"Aplochiton",NA,"2410617",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton Jenyns, 1842","2410617","Aplochiton Jenyns, 1842","Aplochiton","GENUS","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> Jenyns, 1842","HIGHERRANK",99,8,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton Jenyns, 1842","higher","Jenyns, 1842","ZOOLOGICAL",NA,NA,"Aplochiton",NA,"2410617",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton lacustris","2410617","Aplochiton Jenyns, 1842","Aplochiton","GENUS","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> Jenyns, 1842","HIGHERRANK",94,12,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton lacustris","higher","Jenyns, 1842","ZOOLOGICAL",NA,NA,"Aplochiton",NA,"2410617",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton marinus","2410622","Aplochiton marinus Eigenmann, 1928","Aplochiton marinus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> <i>marinus</i> Eigenmann, 1928","EXACT",99,12,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton marinus","higher","Eigenmann, 1928","ZOOLOGICAL","Aplochiton","marinus","Aplochiton","Aplochiton marinus","2410617","2410622",NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton marinus Eigenmann, 1928","2410622","Aplochiton marinus Eigenmann, 1928","Aplochiton marinus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> <i>marinus</i> Eigenmann, 1928","EXACT",100,12,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton marinus Eigenmann, 1928","higher","Eigenmann, 1928","ZOOLOGICAL","Aplochiton","marinus","Aplochiton","Aplochiton marinus","2410617","2410622",NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton sp.","2410617","Aplochiton Jenyns, 1842","Aplochiton","GENUS","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> Jenyns, 1842","HIGHERRANK",94,5,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton sp.","higher","Jenyns, 1842","ZOOLOGICAL",NA,NA,"Aplochiton",NA,"2410617",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton taeniatus","2410621","Aplochiton taeniatus Jenyns, 1842","Aplochiton taeniatus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> <i>taeniatus</i> Jenyns, 1842","EXACT",99,12,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton taeniatus","higher","Jenyns, 1842","ZOOLOGICAL","Aplochiton","taeniatus","Aplochiton","Aplochiton taeniatus","2410617","2410621",NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton taeniatus Jenyns, 1842","2410621","Aplochiton taeniatus Jenyns, 1842","Aplochiton taeniatus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> <i>taeniatus</i> Jenyns, 1842","EXACT",100,12,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton taeniatus Jenyns, 1842","higher","Jenyns, 1842","ZOOLOGICAL","Aplochiton","taeniatus","Aplochiton","Aplochiton taeniatus","2410617","2410621",NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton zebra","2410618","Aplochiton zebra Jenyns, 1842","Aplochiton zebra","SPECIES","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> <i>zebra</i> Jenyns, 1842","EXACT",99,11,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton zebra","higher","Jenyns, 1842","ZOOLOGICAL","Aplochiton","zebra","Aplochiton","Aplochiton zebra","2410617","2410618",NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton zebra Jenyns, 1842","2410618","Aplochiton zebra Jenyns, 1842","Aplochiton zebra","SPECIES","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> <i>zebra</i> Jenyns, 1842","EXACT",100,12,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton zebra Jenyns, 1842","higher","Jenyns, 1842","ZOOLOGICAL","Aplochiton","zebra","Aplochiton","Aplochiton zebra","2410617","2410618",NA,NA,NA,NA,NA,NA,NA,NA
"Argentinidae","4222","Argentinidae","Argentinidae","FAMILY","ACCEPTED","SCIENTIFIC","<i>Argentinidae</i>","HIGHERRANK",94,10,"Animalia","Chordata","Osmeriformes","Argentinidae","1","44","1068","4222",FALSE,"Argentinidae","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentinolycus elongatus (Smitt, 1898)","7570815","Argentinolycus elongatus (Smitt, 1898)","Argentinolycus elongatus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Argentinolycus</i> <i>elongatus</i> (Smitt, 1898)","EXACT",100,15,"Animalia","Chordata","Perciformes","Zoarcidae","1","44","587","5079",FALSE,"Argentinolycus elongatus (Smitt, 1898)","higher","(Smitt, 1898)","ZOOLOGICAL","Argentinolycus","elongatus","Argentinolycus","Argentinolycus elongatus","7009603","7570815",NA,NA,NA,NA,NA,NA,NA,NA
"Atherinichthys Bleeker, 1853","2411644","Atherinichthys Bleeker, 1853","Atherinichthys","GENUS","SYNONYM","SCIENTIFIC","<i>Atherinichthys</i> Bleeker, 1853","HIGHERRANK",99,31,"Animalia","Chordata","Atheriniformes","Atherinopsidae","1","44","496","2957",TRUE,"Atherinichthys Bleeker, 1853","higher","Bleeker, 1853","ZOOLOGICAL",NA,NA,"Chirostoma",NA,"2412431",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atherinichthys laticlavia","2411644","Atherinichthys Bleeker, 1853","Atherinichthys","GENUS","SYNONYM","SCIENTIFIC","<i>Atherinichthys</i> Bleeker, 1853","HIGHERRANK",94,18,"Animalia","Chordata","Atheriniformes","Atherinopsidae","1","44","496","2957",TRUE,"Atherinichthys laticlavia","higher","Bleeker, 1853","ZOOLOGICAL",NA,NA,"Chirostoma",NA,"2412431",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atherinidae","7172","Atherinidae","Atherinidae","FAMILY","ACCEPTED","SCIENTIFIC","<i>Atherinidae</i>","HIGHERRANK",94,11,"Animalia","Chordata","Atheriniformes","Atherinidae","1","44","496","7172",FALSE,"Atherinidae","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atheriniformes","496","Atheriniformes","Atheriniformes","ORDER","ACCEPTED","SCIENTIFIC","<i>Atheriniformes</i>","HIGHERRANK",94,10,"Animalia","Chordata","Atheriniformes",NA,"1","44","496",NA,FALSE,"Atheriniformes","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austroatherina nigricans (Richardson, 1848)","2412408","Austroatherina nigricans (Richardson, 1848)","Austroatherina nigricans","SPECIES","SYNONYM","SCIENTIFIC","<i>Austroatherina</i> <i>nigricans</i> (Richardson, 1848)","EXACT",100,16,"Animalia","Chordata","Atheriniformes","Atherinopsidae","1","44","496","2957",TRUE,"Austroatherina nigricans (Richardson, 1848)","higher","(Richardson, 1848)","ZOOLOGICAL","Austroatherina","nigricans","Odontesthes","Odontesthes nigricans","2412318","2412403",NA,NA,NA,NA,NA,NA,NA,NA
"Austrolycus","2381171","Austrolycus Regan, 1913","Austrolycus","GENUS","ACCEPTED","SCIENTIFIC","<i>Austrolycus</i> Regan, 1913","HIGHERRANK",94,15,"Animalia","Chordata","Perciformes","Zoarcidae","1","44","587","5079",FALSE,"Austrolycus","higher","Regan, 1913","ZOOLOGICAL",NA,NA,"Austrolycus",NA,"2381171",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austrolycus Regan, 1913","2381171","Austrolycus Regan, 1913","Austrolycus","GENUS","ACCEPTED","SCIENTIFIC","<i>Austrolycus</i> Regan, 1913","HIGHERRANK",99,20,"Animalia","Chordata","Perciformes","Zoarcidae","1","44","587","5079",FALSE,"Austrolycus Regan, 1913","higher","Regan, 1913","ZOOLOGICAL",NA,NA,"Austrolycus",NA,"2381171",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austrolycus austrolycus","2381171","Austrolycus Regan, 1913","Austrolycus","GENUS","ACCEPTED","SCIENTIFIC","<i>Austrolycus</i> Regan, 1913","HIGHERRANK",94,13,"Animalia","Chordata","Perciformes","Zoarcidae","1","44","587","5079",FALSE,"Austrolycus austrolycus","higher","Regan, 1913","ZOOLOGICAL",NA,NA,"Austrolycus",NA,"2381171",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austrolycus depressiceps","2381177","Austrolycus depressiceps Regan, 1913","Austrolycus depressiceps","SPECIES","ACCEPTED","SCIENTIFIC","<i>Austrolycus</i> <i>depressiceps</i> Regan, 1913","EXACT",99,18,"Animalia","Chordata","Perciformes","Zoarcidae","1","44","587","5079",FALSE,"Austrolycus depressiceps","higher","Regan, 1913","ZOOLOGICAL","Austrolycus","depressiceps","Austrolycus","Austrolycus depressiceps","2381171","2381177",NA,NA,NA,NA,NA,NA,NA,NA
"Austrolycus depressiceps Regan, 1913","2381177","Austrolycus depressiceps Regan, 1913","Austrolycus depressiceps","SPECIES","ACCEPTED","SCIENTIFIC","<i>Austrolycus</i> <i>depressiceps</i> Regan, 1913","EXACT",100,16,"Animalia","Chordata","Perciformes","Zoarcidae","1","44","587","5079",FALSE,"Austrolycus depressiceps Regan, 1913","higher","Regan, 1913","ZOOLOGICAL","Austrolycus","depressiceps","Austrolycus","Austrolycus depressiceps","2381171","2381177",NA,NA,NA,NA,NA,NA,NA,NA
"Austrolycus laticinctus (Berg, 1895)","2381172","Austrolycus laticinctus (Berg, 1895)","Austrolycus laticinctus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Austrolycus</i> <i>laticinctus</i> (Berg, 1895)","EXACT",100,14,"Animalia","Chordata","Perciformes","Zoarcidae","1","44","587","5079",FALSE,"Austrolycus laticinctus (Berg, 1895)","higher","(Berg, 1895)","ZOOLOGICAL","Austrolycus","laticinctus","Austrolycus","Austrolycus laticinctus","2381171","2381172",NA,NA,NA,NA,NA,NA,NA,NA
"Austrolycus laticinctus Berg, 1895","2381172","Austrolycus laticinctus (Berg, 1895)","Austrolycus laticinctus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Austrolycus</i> <i>laticinctus</i> (Berg, 1895)","EXACT",100,14,"Animalia","Chordata","Perciformes","Zoarcidae","1","44","587","5079",FALSE,"Austrolycus laticinctus Berg, 1895","higher","(Berg, 1895)","ZOOLOGICAL","Austrolycus","laticinctus","Austrolycus","Austrolycus laticinctus","2381171","2381172",NA,NA,NA,NA,NA,NA,NA,NA
"Austromenidia","2412268","Austromenidia Hubbs, 1918","Austromenidia","GENUS","SYNONYM","SCIENTIFIC","<i>Austromenidia</i> Hubbs, 1918","HIGHERRANK",94,16,"Animalia","Chordata","Atheriniformes","Atherinopsidae","1","44","496","2957",TRUE,"Austromenidia","higher","Hubbs, 1918","ZOOLOGICAL",NA,NA,"Odontesthes",NA,"2412318",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austromenidia Hubbs, 1918","2412268","Austromenidia Hubbs, 1918","Austromenidia","GENUS","SYNONYM","SCIENTIFIC","<i>Austromenidia</i> Hubbs, 1918","HIGHERRANK",99,11,"Animalia","Chordata","Atheriniformes","Atherinopsidae","1","44","496","2957",TRUE,"Austromenidia Hubbs, 1918","higher","Hubbs, 1918","ZOOLOGICAL",NA,NA,"Odontesthes",NA,"2412318",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austromenidia alburnus","2412268","Austromenidia Hubbs, 1918","Austromenidia","GENUS","SYNONYM","SCIENTIFIC","<i>Austromenidia</i> Hubbs, 1918","HIGHERRANK",94,15,"Animalia","Chordata","Atheriniformes","Atherinopsidae","1","44","496","2957",TRUE,"Austromenidia alburnus","higher","Hubbs, 1918","ZOOLOGICAL",NA,NA,"Odontesthes",NA,"2412318",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austromenidia nigricans","2412268","Austromenidia Hubbs, 1918","Austromenidia","GENUS","SYNONYM","SCIENTIFIC","<i>Austromenidia</i> Hubbs, 1918","HIGHERRANK",94,15,"Animalia","Chordata","Atheriniformes","Atherinopsidae","1","44","496","2957",TRUE,"Austromenidia nigricans","higher","Hubbs, 1918","ZOOLOGICAL",NA,NA,"Odontesthes",NA,"2412318",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austromenidia smitti","2412268","Austromenidia Hubbs, 1918","Austromenidia","GENUS","SYNONYM","SCIENTIFIC","<i>Austromenidia</i> Hubbs, 1918","HIGHERRANK",94,11,"Animalia","Chordata","Atheriniformes","Atherinopsidae","1","44","496","2957",TRUE,"Austromenidia smitti","higher","Hubbs, 1918","ZOOLOGICAL",NA,NA,"Odontesthes",NA,"2412318",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AzxAt hybrid",NA,NA,NA,NA,NA,NA,NA,"NONE",100,4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"AzxAt hybrid","higher",NA,NA,NA,NA,NA,NA,NA,NA,"No match because of too little confidence",NA,NA,NA,NA,NA,NA,NA
"BOLD:AAA4566","10112788","BOLD:AAA4566","BOLD:AAA4566","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,1,"Animalia","Chordata","Perciformes","Nototheniidae","1","44","587","8549",FALSE,"BOLD:AAA4566","higher",NA,NA,NA,NA,"Dissostichus","Dissostichus eleginoides","2385954","2385957",NA,"BOLD:AAA4566","10112788",NA,NA,NA,NA,NA
"BOLD:AAA7789","10100044","BOLD:AAA7789","BOLD:AAA7789","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,0,"Animalia","Chordata","Gadiformes","Gadidae","1","44","549","3701",FALSE,"BOLD:AAA7789","higher",NA,NA,NA,NA,"Micromesistius",NA,"2415773",NA,NA,"BOLD:AAA7789","10100044",NA,NA,NA,NA,NA
"BOLD:AAB2174","10220068","BOLD:AAB2174","BOLD:AAB2174","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,0,"Animalia","Chordata","Gadiformes","Merlucciidae","1","44","549","3703",FALSE,"BOLD:AAB2174","higher",NA,NA,NA,NA,"Merluccius","Merluccius australis","2415629","2415632",NA,"BOLD:AAB2174","10220068",NA,NA,NA,NA,NA
"BOLD:AAB5756","10628000","BOLD:AAB5756","BOLD:AAB5756","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,1,"Animalia","Chordata","Atheriniformes","Atherinopsidae","1","44","496","2957",FALSE,"BOLD:AAB5756","higher",NA,NA,NA,NA,"Odontesthes",NA,"2412318",NA,NA,"BOLD:AAB5756","10628000",NA,NA,NA,NA,NA
"BOLD:AAE4085","10351839","BOLD:AAE4085","BOLD:AAE4085","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,0,"Animalia","Chordata","Perciformes","Bovichtidae","1","44","587","4252",FALSE,"BOLD:AAE4085","higher",NA,NA,NA,NA,"Cottoperca","Cottoperca trigloides","2398039","5962011",NA,"BOLD:AAE4085","10351839",NA,NA,NA,NA,NA
"BOLD:ABA0605","10189668","BOLD:ABA0605","BOLD:ABA0605","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,0,"Animalia","Chordata","Clupeiformes","Clupeidae","1","44","538","7332",FALSE,"BOLD:ABA0605","higher",NA,NA,NA,NA,"Sprattus","Sprattus fuegensis","2413443","2413473",NA,"BOLD:ABA0605","10189668",NA,NA,NA,NA,NA
"BOLD:ABV7630","10024319","BOLD:ABV7630","BOLD:ABV7630","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,1,"Animalia","Chordata","Perciformes","Percichthyidae","1","44","587","8574",FALSE,"BOLD:ABV7630","higher",NA,NA,NA,NA,"Percichthys","Percichthys trucha","2380432","2380438",NA,"BOLD:ABV7630","10024319",NA,NA,NA,NA,NA
"BOLD:ACC0235","10048478","BOLD:ACC0235","BOLD:ACC0235","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,0,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"BOLD:ACC0235","higher",NA,NA,NA,NA,"Aplochiton","Aplochiton zebra","2410617","2410618",NA,"BOLD:ACC0235","10048478",NA,NA,NA,NA,NA
"BOLD:ACC0585","10636014","BOLD:ACC0585","BOLD:ACC0585","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,0,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"BOLD:ACC0585","higher",NA,NA,NA,NA,"Aplochiton","Aplochiton taeniatus","2410617","2410621",NA,"BOLD:ACC0585","10636014",NA,NA,NA,NA,NA
"BOLD:ACE4189","10610507","BOLD:ACE4189","BOLD:ACE4189","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,0,"Animalia","Chordata","Scorpaeniformes","Sebastidae","1","44","590","8633",FALSE,"BOLD:ACE4189","higher",NA,NA,NA,NA,"Sebastes",NA,"2333712",NA,NA,"BOLD:ACE4189","10610507",NA,NA,NA,NA,NA
"BOLD:ACF2980","10641150","BOLD:ACF2980","BOLD:ACF2980","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,0,"Animalia","Chordata","Ophidiiformes","Ophidiidae","1","44","1308","8476",FALSE,"BOLD:ACF2980","higher",NA,NA,NA,NA,"Genypterus","Genypterus blacodes","2345634","2345645",NA,"BOLD:ACF2980","10641150",NA,NA,NA,NA,NA
"BOLD:ACI2268","10239462","BOLD:ACI2268","BOLD:ACI2268","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,0,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"BOLD:ACI2268","higher",NA,NA,NA,NA,"Aplochiton","Aplochiton marinus","2410617","2410622",NA,"BOLD:ACI2268","10239462",NA,NA,NA,NA,NA
"BOLD:ADG6348","10600505","BOLD:ADG6348","BOLD:ADG6348","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,0,"Animalia","Chordata","Perciformes","Nototheniidae","1","44","587","8549",FALSE,"BOLD:ADG6348","higher",NA,NA,NA,NA,"Patagonotothen","Patagonotothen wiltoni","2385854","2385862",NA,"BOLD:ADG6348","10600505",NA,NA,NA,NA,NA
"BOLD:ADG6349","10383749","BOLD:ADG6349","BOLD:ADG6349","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,0,"Animalia","Chordata","Perciformes","Nototheniidae","1","44","587","8549",FALSE,"BOLD:ADG6349","higher",NA,NA,NA,NA,"Patagonotothen",NA,"2385854",NA,NA,"BOLD:ADG6349","10383749",NA,NA,NA,NA,NA
"BOLD:ADI6202","10544455","BOLD:ADI6202","BOLD:ADI6202","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,1,"Animalia","Chordata","Perciformes","Nototheniidae","1","44","587","8549",FALSE,"BOLD:ADI6202","higher",NA,NA,NA,NA,"Patagonotothen",NA,"2385854",NA,NA,"BOLD:ADI6202","10544455",NA,NA,NA,NA,NA
"BOLD:ADL4127","10288980","BOLD:ADL4127","BOLD:ADL4127","UNRANKED","ACCEPTED","OTU",NA,"EXACT",100,0,"Animalia","Chordata","Siluriformes",NA,"1","44","708",NA,FALSE,"BOLD:ADL4127","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOLD:ADL4127","10288980",NA,NA,NA,NA,NA
"Basilichthys australis","2412261","Basilichthys australis Eigenmann, 1928","Basilichthys australis","SPECIES","ACCEPTED","SCIENTIFIC","<i>Basilichthys</i> <i>australis</i> Eigenmann, 1928","EXACT",99,13,"Animalia","Chordata","Atheriniformes","Atherinopsidae","1","44","496","2957",FALSE,"Basilichthys australis","higher","Eigenmann, 1928","ZOOLOGICAL","Basilichthys","australis","Basilichthys","Basilichthys australis","2412252","2412261",NA,NA,NA,NA,NA,NA,NA,NA
"Basilichthys microlepidotus","2412258","Basilichthys microlepidotus (Jenyns, 1841)","Basilichthys microlepidotus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Basilichthys</i> <i>microlepidotus</i> (Jenyns, 1841)","EXACT",99,15,"Animalia","Chordata","Atheriniformes","Atherinopsidae","1","44","496","2957",FALSE,"Basilichthys microlepidotus","higher","(Jenyns, 1841)","ZOOLOGICAL","Basilichthys","microlepidotus","Basilichthys","Basilichthys microlepidotus","2412252","2412258",NA,NA,NA,NA,NA,NA,NA,NA
"Bassanago albescens (Barnard, 1923)","2403271","Bassanago albescens (Barnard, 1923)","Bassanago albescens","SPECIES","ACCEPTED","SCIENTIFIC","<i>Bassanago</i> <i>albescens</i> (Barnard, 1923)","EXACT",100,13,"Animalia","Chordata","Anguilliformes","Congridae","1","44","495","2951",FALSE,"Bassanago albescens (Barnard, 1923)","higher","(Barnard, 1923)","ZOOLOGICAL","Bassanago","albescens","Bassanago","Bassanago albescens","2403278","2403271",NA,NA,NA,NA,NA,NA,NA,NA
"Bassanago nielseni (Karmovskaya, 1990)","5961019","Bassanago nielseni (Karmovskaya, 1990)","Bassanago nielseni","SPECIES","ACCEPTED","SCIENTIFIC","<i>Bassanago</i> <i>nielseni</i> (Karmovskaya, 1990)","EXACT",100,11,"Animalia","Chordata","Anguilliformes","Congridae","1","44","495","2951",FALSE,"Bassanago nielseni (Karmovskaya, 1990)","higher","(Karmovskaya, 1990)","ZOOLOGICAL","Bassanago","nielseni","Bassanago","Bassanago nielseni","2403278","5961019",NA,NA,NA,NA,NA,NA,NA,NA
