id,latitude,longitude,cntry_code,country,obs_date,t_kingdom,t_phylum,t_class,t_order,t_family,t_genus,t_species,database,inst,collection,provider,records,year,month
"4559283","-41.2","-71.4333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559272","-41.0667","-71.8","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559326","-41.0667","-71.55","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","2","",""
"4559319","-41.0667","-71.4833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","3","",""
"4559285","-41.05","-71.5","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559290","-40.8167","-63","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559246","-40.75","-71","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559255","-40.75","-63.1167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559268","-40.6833","-71.6667","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559276","-40.65","-71.4","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559277","-40.6333","-71.75","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559278","-40.6333","-70.7833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
