"associatedReferences","locality","occurrenceID","locationRemarks","decimalLatitude","decimalLongitude","eventDate","scientificName","recordedBy","individualCount","license","rightsHolder","accessRights","bibliographicCitation","datasetName","datasetName_tmp","basisOfRecord"
"","Río Aisén, Rio Maniguales","DarwinInitiativeFreshwaterFish.011","RM5",-44.99793,-72.09755,2007-04-10,"Oncorhynchus mykiss","Kyle Young, Jane McDonald",1,"CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., MacDonald, J., Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., and MacDonald, J. 2020. The Darwin Freshwater Fish Database of Exotic and Native Species in Chile [database]. figshare. https://doi.org/10.6084/m9.figshare.13077350","Garcia de Leaniz, C.; Gajardo, et al. (2020) The Darwin Freshwater Fish Database of Exotic and Native Species in Chile. https://doi.org/10.6084/m9.figshare.13077350","Darwin Initiative Fish Atlas","Occurrence"
"","Río Aisén, Rio Maniguales","DarwinInitiativeFreshwaterFish.012","RM5",-44.99793,-72.09755,2007-04-10,"Oncorhynchus tshawytscha","Kyle Young, Jane McDonald",46,"CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., MacDonald, J., Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., and MacDonald, J. 2020. The Darwin Freshwater Fish Database of Exotic and Native Species in Chile [database]. figshare. https://doi.org/10.6084/m9.figshare.13077350","Garcia de Leaniz, C.; Gajardo, et al. (2020) The Darwin Freshwater Fish Database of Exotic and Native Species in Chile. https://doi.org/10.6084/m9.figshare.13077350","Darwin Initiative Fish Atlas","Occurrence"
"","Río Aisén, Rio Maniguales","DarwinInitiativeFreshwaterFish.013","RM5",-44.99793,-72.09755,2007-04-10,"Salmo trutta","Kyle Young, Jane McDonald",73,"CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., MacDonald, J., Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., and MacDonald, J. 2020. The Darwin Freshwater Fish Database of Exotic and Native Species in Chile [database]. figshare. https://doi.org/10.6084/m9.figshare.13077350","Garcia de Leaniz, C.; Gajardo, et al. (2020) The Darwin Freshwater Fish Database of Exotic and Native Species in Chile. https://doi.org/10.6084/m9.figshare.13077350","Darwin Initiative Fish Atlas","Occurrence"
"","Río Aisén, Rio Maniguales","DarwinInitiativeFreshwaterFish.014","RM6",-45.10112,-72.149,2007-04-10,"Oncorhynchus tshawytscha","Kyle Young, Jane McDonald",86,"CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., MacDonald, J., Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., and MacDonald, J. 2020. The Darwin Freshwater Fish Database of Exotic and Native Species in Chile [database]. figshare. https://doi.org/10.6084/m9.figshare.13077350","Garcia de Leaniz, C.; Gajardo, et al. (2020) The Darwin Freshwater Fish Database of Exotic and Native Species in Chile. https://doi.org/10.6084/m9.figshare.13077350","Darwin Initiative Fish Atlas","Occurrence"
"","Río Aisén, Rio Maniguales","DarwinInitiativeFreshwaterFish.015","RM6",-45.10112,-72.149,2007-04-10,"Salmo trutta","Kyle Young, Jane McDonald",28,"CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., MacDonald, J., Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., and MacDonald, J. 2020. The Darwin Freshwater Fish Database of Exotic and Native Species in Chile [database]. figshare. https://doi.org/10.6084/m9.figshare.13077350","Garcia de Leaniz, C.; Gajardo, et al. (2020) The Darwin Freshwater Fish Database of Exotic and Native Species in Chile. https://doi.org/10.6084/m9.figshare.13077350","Darwin Initiative Fish Atlas","Occurrence"
"","Río Aisén, Rio Pollux 1","DarwinInitiativeFreshwaterFish.016","RP1",-45.6899,-72.08307,2007-04-12,"Oncorhynchus mykiss","Kyle Young, Jane McDonald",2,"CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., MacDonald, J., Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., and MacDonald, J. 2020. The Darwin Freshwater Fish Database of Exotic and Native Species in Chile [database]. figshare. https://doi.org/10.6084/m9.figshare.13077350","Garcia de Leaniz, C.; Gajardo, et al. (2020) The Darwin Freshwater Fish Database of Exotic and Native Species in Chile. https://doi.org/10.6084/m9.figshare.13077350","Darwin Initiative Fish Atlas","Occurrence"
"","Río Aisén, Río Richards 1","DarwinInitiativeFreshwaterFish.017","ER1",-45.30511,-71.77826,2007-04-14,"Salmo trutta","Kyle Young, Jane McDonald",23,"CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., MacDonald, J., Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., and MacDonald, J. 2020. The Darwin Freshwater Fish Database of Exotic and Native Species in Chile [database]. figshare. https://doi.org/10.6084/m9.figshare.13077350","Garcia de Leaniz, C.; Gajardo, et al. (2020) The Darwin Freshwater Fish Database of Exotic and Native Species in Chile. https://doi.org/10.6084/m9.figshare.13077350","Darwin Initiative Fish Atlas","Occurrence"
"","Río Aisén, Río Simpsom 1","DarwinInitiativeFreshwaterFish.018","RS1",-45.72424,-72.09756,2007-04-12,"Oncorhynchus mykiss","Kyle Young, Jane McDonald",7,"CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., MacDonald, J., Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., and MacDonald, J. 2020. The Darwin Freshwater Fish Database of Exotic and Native Species in Chile [database]. figshare. https://doi.org/10.6084/m9.figshare.13077350","Garcia de Leaniz, C.; Gajardo, et al. (2020) The Darwin Freshwater Fish Database of Exotic and Native Species in Chile. https://doi.org/10.6084/m9.figshare.13077350","Darwin Initiative Fish Atlas","Occurrence"
" Consuegra et al. 2011","Río Aitoy/Aiguy, Rio Aitoy/Aiguy","DarwinInitiativeFreshwaterFish.019","RAI",-42.75721,-73.56533,2007-05-18,"Oncorhynchus mykiss","Kyle Young, Jane McDonald",12,"CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., MacDonald, J., Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., and MacDonald, J. 2020. The Darwin Freshwater Fish Database of Exotic and Native Species in Chile [database]. figshare. https://doi.org/10.6084/m9.figshare.13077350","Garcia de Leaniz, C.; Gajardo, et al. (2020) The Darwin Freshwater Fish Database of Exotic and Native Species in Chile. https://doi.org/10.6084/m9.figshare.13077350","Darwin Initiative Fish Atlas","Occurrence"
"","Río Aitoy/Aiguy, Rio Aitoy/Aiguy","DarwinInitiativeFreshwaterFish.020","RIA1",-42.75721,-73.56533,2008-02-11,"Galaxias maculatus","Kyle Young, Jessica Stephenson, Anne-Flore Thailly",40,"CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., MacDonald, J., Leaniz, C.G.D., Gajardo, G., Consuegra, S., Young, K.A., Sanzana, J., Vanhaecke, D., Orellana, G., Cerda, A.M., Stephenson, J.F., Terreau, A., Thailly, A.-F., Perry, B., Howes, P.N., and MacDonald, J. 2020. The Darwin Freshwater Fish Database of Exotic and Native Species in Chile [database]. figshare. https://doi.org/10.6084/m9.figshare.13077350","Garcia de Leaniz, C.; Gajardo, et al. (2020) The Darwin Freshwater Fish Database of Exotic and Native Species in Chile. https://doi.org/10.6084/m9.figshare.13077350","Darwin Initiative Fish Atlas","Occurrence"
