"occurrenceID","bibliographicCitation","decimalLatitude","decimalLongitude","eventDate","year","scientificName","locality","stateProvince","references","associatedReferences","catalogNumber","institutionCode","recordedBy","samplingProtocol","individualCount","X","X.1","canonicalName","rank","kingdom","phylum","order","family","genus","species"
"Boisjoly.Lit.Review.0014","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-43.583333","-72.333333","1984","1984","Salvelinus fontinalis (Mitchill, 1814)","río Frío","Aysén","","","","","","","","","","Salvelinus fontinalis","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis"
"Boisjoly.Lit.Review.0015","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-44.183333","-72.5","1984","1984","Oncorhynchus mykiss (Walbaum, 1792)","río Los Césares","Aysén","","","","","","","","","","Oncorhynchus mykiss","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Boisjoly.Lit.Review.0016","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-44.183333","-72.5","1984","1984","Salmo trutta Linnaeus, 1758","río Los Césares","Aysén","","","","","","","","","","Salmo trutta","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"Boisjoly.Lit.Review.0017","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-44.327217","-72.56532","1984","1984","Salmo trutta Linnaeus, 1758","río Pascua","Aysén","","","","","","","","","","Salmo trutta","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"Boisjoly.Lit.Review.0018","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-44.563963","-72.440278","1984","1984","Oncorhynchus mykiss (Walbaum, 1792)","río Queulat","Aysén","","","","","","","","","","Oncorhynchus mykiss","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Boisjoly.Lit.Review.0019","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-42.329063","-73.513792","1984","1984","Oncorhynchus mykiss (Walbaum, 1792)","río San Juan Poniente","Chiloé","","","","","","","","","","Oncorhynchus mykiss","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Boisjoly.Lit.Review.0020","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-42.855585","-72.798546","1984","1984","Oncorhynchus mykiss (Walbaum, 1792)","río Santa Bárbara","Aysén","","","","","","","","","","Oncorhynchus mykiss","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Boisjoly.Lit.Review.0021","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-42.855585","-72.798546","1984","1984","Salmo trutta Linnaeus, 1758","río Santa Bárbara","Aysén","","","","","","","","","","Salmo trutta","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"Boisjoly.Lit.Review.0022","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-45.423746","-72.420515","1984","1984","Salmo trutta Linnaeus, 1758","río Simpson Bajo","Aysén","","","","","","","","","","Salmo trutta","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"Boisjoly.Lit.Review.0023","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-42.664399","-73.89864","1984","1984","Oncorhynchus mykiss (Walbaum, 1792)","río Trainel","Chiloé","","","","","","","","","","Oncorhynchus mykiss","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
