bibliographicCitation,decimalLatitude,decimalLongitude,eventDate,year,canonicalName,scientificName,locality,stateProvince,references,associatedReferences,catalogNumber,institutionCode,recordedBy,samplingProtocol,individualCount
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-42.329063,-73.513792,1984,1984,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",río San Juan Poniente,Chiloé,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-42.855585,-72.798546,1984,1984,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",río Santa Bárbara,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-42.855585,-72.798546,1984,1984,Salmo trutta,"Salmo trutta Linnaeus, 1758",río Santa Bárbara,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-45.423746,-72.420515,1984,1984,Salmo trutta,"Salmo trutta Linnaeus, 1758",río Simpson Bajo,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-42.664399,-73.89864,1984,1984,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",río Trainel,Chiloé,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-42.983333,-72.333333,1984,1984,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",río Vuelta y Vuelta,Aysén,,,,,,,
"Cussac, V. E., Ortubay, S., Iglesias, G., Milano, D., Lattuca, M. E., Barriga, J. P., Battini, M., & Gross, M. (2004). The distribution of South American galaxiid fishes: The role of biological traits and post-glacial history. Journal of Biogeography, 31, 103–121.",-51.224588,-72.730358,1901,1901,Aplochiton taeniatus,"Aplochiton taeniatus Jenyns, 1842",Lago Toro,,"Smitt 1901 | Campos, 1969",,,,,,
"Fernández, M. V., Lallement, M., Rechencq, M., Vigliano, P. H., Sosnovsky, A., & Macchi, P. J. (2018). Top predator fish assemblages in Northern Patagonia, Argentina. What factors regulate their patterns of distribution and abundance? Austral Ecology, 43(6), 651–662. https://doi.org/10.1111/aec.12610",-41.26,-71.64,1997,1997,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",Lago Mascardi,,,,,GEMARI,,Gill net,
"Fernández, M. V., Lallement, M., Rechencq, M., Vigliano, P. H., Sosnovsky, A., & Macchi, P. J. (2018). Top predator fish assemblages in Northern Patagonia, Argentina. What factors regulate their patterns of distribution and abundance? Austral Ecology, 43(6), 651–662. https://doi.org/10.1111/aec.12610",-41.3721,-71.7753,1997,1997,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",Lago Roca,,,,,GEMARI,,Gill net,
"Fernández, M. V., Lallement, M., Rechencq, M., Vigliano, P. H., Sosnovsky, A., & Macchi, P. J. (2018). Top predator fish assemblages in Northern Patagonia, Argentina. What factors regulate their patterns of distribution and abundance? Austral Ecology, 43(6), 651–662. https://doi.org/10.1111/aec.12610",-41.3721,-71.7753,1997,1997,Salmo trutta,"Salmo trutta Linnaeus, 1758",Lago Roca,,,,,GEMARI,,Gill net,
