fid,GlobalUniqueIdentifier,NOMBRE CIENTÍFICO,LOCALIDAD MÁS CERCANA,PROVINCIA,CUENCA,SUBCUENCA,CUERPO DE AGUA,N° DE CUENCA #,CITA,REGIÓN ICTIOG *,Ecoregion Lopez et al 2008,Decimal Latitude,Decimal Longitude,AÑO,CODIGO INSTITUCIÓN,CODIGO COLECCIÓN,N COLECCIÓN,Continente,País,Voucher,Observ,comments,.remove,.locality,.decimalLatitude,.decimalLongitude
110,FO:Peces:5895,Galaxias platei,Esquel,Chubut,Pacífico,Río Futaleufú,Arroyo Desaguadero,76,"Cussac et al., 2004",DAP,Patagonian,-42.8833333333333,-70.7333333333333,2004,FO,Peces,5895,América del Sur,Argentina,No,,"-42.890053, -71.609340",,,-42.890053,-71.60934
111,FO:Peces:5896,Galaxias platei,Esquel,Chubut,Pacífico,Río Futaleufú,Arroyo Montoso,76,"Cussac et al., 2004",DAP,Patagonian,-42.9333333333333,-70.75,2004,FO,Peces,5896,América del Sur,Argentina,No,,remove. fuera de poligono,remove,,,
112,FO:Peces:5898,Galaxias platei,Esquel,Chubut,Pacífico,Río Corcovado o Carrenleufú,Lago Baguillt,77,"Cussac et al., 2004",DAP,Patagonian,-43.4166666666667,-71.65,2004,FO,Peces,5898,América del Sur,Argentina,No,,"-43.270300, -71.685000",,,-43.2703,-71.685
113,FO:Peces:5901,Galaxias platei,El Corcovado,Chubut,Pacífico,Río Corcovado o Carrenleufú,Lago Guacho,77,"Cussac et al., 2004",DAP,Patagonian,-43.7833333333333,-71.35,2004,FO,Peces,5901,América del Sur,Argentina,No,,"-43.811773, -71.479354",,,-43.811773,-71.479354
114,FO:Peces:5903,Galaxias platei,-,Chubut,Pacífico,Río Corcovado o Carrenleufú,Lago Falso Engaño,77,"Cussac et al., 2004",DAP,Patagonian,-43.8166666666667,-71.5,2004,FO,Peces,5903,América del Sur,Argentina,No,,"-43.844507, -71.551378",,,-43.844507,-71.551378
115,FO:Peces:5904,Galaxias platei,Río Pico,Chubut,Pacífico,Río Pico,Lago El León,77,"Cussac et al., 2004",DAP,Patagonian,-44.1333333333333,-71.4333333333333,2004,FO,Peces,5904,América del Sur,Argentina,No,,"-44.294042, -71.490216",,,-44.294042,-71.490216
116,FO:Peces:5905,Galaxias platei,Río Pico,Chubut,Pacífico,Río Pico,Lago Cinco,77,"Cussac et al., 2004",DAP,Patagonian,-44.1333333333333,-71.6333333333333,2004,FO,Peces,5905,América del Sur,Argentina,No,,"-44.221312, -71.718838",,,-44.221312,-71.718838
117,FO:Peces:5906,Galaxias platei,Río Pico,Chubut,Pacífico,Río Pico,Lago Torres,77,"Cussac et al., 2004",DAP,Patagonian,-44.1666666666667,-71.3,2004,FO,Peces,5906,América del Sur,Argentina,No,,"-44.127130, -71.102007",,,-44.12713,-71.102007
118,FO:Peces:5907,Galaxias platei,Río Pico,Chubut,Pacífico,Río Pico,Río Pico 2,77,"Cussac et al., 2004",DAP,Patagonian,-44.3166666666667,-71.4166666666667,2004,FO,Peces,5907,América del Sur,Argentina,No,,"-44.325616, -71.487614",,,-44.325616,-71.487614
119,FO:Peces:5911,Galaxias platei,PN Perito Moreno,Santa Cruz,Pacífico,-,Lago Volcán,79,"Cussac et al., 2004",DAP,Patagonian,-47.7666666666667,-72.2166666666667,2004,FO,Peces,5911,América del Sur,Argentina,No,,"-47.766999, -72.225833",,,-47.766999,-72.225833
120,FO:Peces:5912,Galaxias platei,PN Perito Moreno,Santa Cruz,Pacífico,-,Laguna La Oriental,79,"Cussac et al., 2004",DAP,Patagonian,-47.8166666666667,-72.0833333333333,2004,FO,Peces,5912,América del Sur,Argentina,No,,"-47.765366, -71.965422",,,-47.765366,-71.965422
121,FO:Peces:5913,Galaxias platei,PN Perito Moreno,Santa Cruz,Pacífico,-,Laguna del Pescado,79,"Cussac et al., 2004",DAP,Patagonian,-47.8166666666667,-72.15,2004,FO,Peces,5913,América del Sur,Argentina,No,,"-47.820659, -72.160398",,,-47.820659,-72.160398
122,FO:Peces:5917,Galaxias platei,Est. Vieja Carmen,Tierra del Fuego,Pacífico,Lago Fagnano,Lago Fagnano,82,"Cussac et al., 2004",DAP,Patagonian,-54.55,-67.8833333333333,2004,FO,Peces,5917,América del Sur,Argentina,No,,,,,,
123,FO:Peces:5918,Galaxias platei,-,Tierra del Fuego,Pacífico,Lago Fagnano,Laguna Margarita,82,"Cussac et al., 2004",DAP,Patagonian,-54.6666666666667,-67.8333333333333,2004,FO,Peces,5918,América del Sur,Argentina,No,,"-54.627503, -67.992010",,,-54.627503,-67.99201
124,FO:Peces:6330,Oncorhynchus tshawytscha,-,Chubut,Pacífico,Río Corcovado o Carrenleufú,Río Carrenleufú,77,"Soto et al., 2007",DAP,Patagonian,-43.8666666666667,-71.3166666666667,2007,FO,Peces,6330,América del Sur,Argentina,No,,,,,,
125,FO:Peces:6331,Oncorhynchus tshawytscha,-,Chubut,Pacífico,Río Futaleufú,Río Futaleufú,76,"Soto et al., 2007",DAP,Patagonian,-43.1333333333333,-71.6,2007,FO,Peces,6331,América del Sur,Argentina,No,,,,,,
126,FO:Peces:6332,Oncorhynchus tshawytscha,Río Pico,Chubut,Pacífico,Río Pico,Río Pico,77,"Soto et al., 2007",DAP,Patagonian,-44.2,-71.4333333333333,2007,FO,Peces,6332,América del Sur,Argentina,No,,"-44.205475, -71.423926",,,-44.205475,-71.423926
127,FO:Peces:8039,Galaxias maculatus,Bariloche,Río Negro,Pacífico,Río Manso,Lago Hess  ,75,"Zemlak et al., 2010",DAP,Patagonian,-41.3672222222222,-71.7397222222222,2010,FO,Peces,8039,América del Sur,Argentina,No,,,,,,
128,FO:Peces:8040,Galaxias maculatus,Bariloche,Río Negro,Pacífico,Río Manso,Lago Martin  ,75,"Zemlak et al., 2010",DAP,Patagonian,-41.5,-71.6666666666667,2010,FO,Peces,8040,América del Sur,Argentina,No,,"-41.4980555555556, -71.6919444444445",,,-41.4980555555556,-71.6919444444445
129,FO:Peces:8041,Galaxias maculatus,Bariloche,Río Negro,Pacífico,Río Manso,Lago Steffen  ,75,"Zemlak et al., 2010",DAP,Patagonian,-41.5166666666667,-71.55,2010,FO,Peces,8041,América del Sur,Argentina,No,,,,,,
130,FO:Peces:8194,Salmo trutta,Bariloche,Río Negro,Pacífico,Río Manso,Lago Fonck,75,"Milano et al., 2002",DAP,Patagonian,-41.3166666666667,-71.7833333333333,2002,FO,Peces,8194,América del Sur,Argentina,No,,,,,,
131,FO:Peces:8195,Salvelinus fontinalis,Bariloche,Río Negro,Pacífico,Río Manso,Lago Fonck,75,"Milano et al., 2002",DAP,Patagonian,-41.3166666666667,-71.7833333333333,2002,FO,Peces,8195,América del Sur,Argentina,No,,,,,,
132,FO:Peces:8196,Oncorhynchus mykiss,Bariloche,Río Negro,Pacífico,Río Manso,Lago Fonck,75,"Milano et al., 2002",DAP,Patagonian,-41.3166666666667,-71.7833333333333,2002,FO,Peces,8196,América del Sur,Argentina,No,,,,,,
133,FO:Peces:8197,Galaxias maculatus,Bariloche,Río Negro,Pacífico,Río Manso,Lago Fonck,75,"Milano et al., 2002",DAP,Patagonian,-41.3166666666667,-71.7833333333333,2002,FO,Peces,8197,América del Sur,Argentina,No,,,,,,
134,FO:Peces:8198,Galaxias platei,Bariloche,Río Negro,Pacífico,Río Manso,Lago Fonck,75,"Milano et al., 2002",DAP,Patagonian,-41.3166666666667,-71.7833333333333,2002,FO,Peces,8198,América del Sur,Argentina,No,,,,,,
135,FO:Peces:8199,Salmo trutta,Bariloche,Río Negro,Pacífico,Río Manso,Lago Los Moscos,75,"Milano et al., 2002",DAP,Patagonian,-41.3333333333333,-71.6,2002,FO,Peces,8199,América del Sur,Argentina,No,,"-41.34514, -71.618776",,,-41.34514,-71.618776
136,FO:Peces:8200,Salvelinus fontinalis,Bariloche,Río Negro,Pacífico,Río Manso,Lago Los Moscos,75,"Milano et al., 2002",DAP,Patagonian,-41.3333333333333,-71.6,2002,FO,Peces,8200,América del Sur,Argentina,No,,"-41.34514, -71.618776",,,-41.34514,-71.618776
137,FO:Peces:8201,Oncorhynchus mykiss,Bariloche,Río Negro,Pacífico,Río Manso,Lago Los Moscos,75,"Milano et al., 2002",DAP,Patagonian,-41.3333333333333,-71.6,2002,FO,Peces,8201,América del Sur,Argentina,No,,"-41.34514, -71.618776",,,-41.34514,-71.618776
138,FO:Peces:8202,Galaxias maculatus,Bariloche,Río Negro,Pacífico,Río Manso,Lago Los Moscos,75,"Milano et al., 2002",DAP,Patagonian,-41.3333333333333,-71.6,2002,FO,Peces,8202,América del Sur,Argentina,No,,"-41.34514, -71.618776",,,-41.34514,-71.618776
139,FO:Peces:8203,Galaxias platei,Bariloche,Río Negro,Pacífico,Río Manso,Lago Los Moscos,75,"Milano et al., 2002",DAP,Patagonian,-41.3333333333333,-71.6,2002,FO,Peces,8203,América del Sur,Argentina,No,,"-41.34514, -71.618776",,,-41.34514,-71.618776
140,FO:Peces:8204,Salmo trutta,Bariloche,Río Negro,Pacífico,Río Manso,Lago Martin  ,75,"Milano et al., 2002",DAP,Patagonian,-41.4980555555556,-71.6919444444445,2002,FO,Peces,8204,América del Sur,Argentina,No,,,,,,
141,FO:Peces:8205,Salvelinus fontinalis,Bariloche,Río Negro,Pacífico,Río Manso,Lago Martin  ,75,"Milano et al., 2002",DAP,Patagonian,-41.4980555555556,-71.6919444444445,2002,FO,Peces,8205,América del Sur,Argentina,No,,,,,,
142,FO:Peces:8206,Oncorhynchus mykiss,Bariloche,Río Negro,Pacífico,Río Manso,Lago Martin  ,75,"Milano et al., 2002",DAP,Patagonian,-41.4980555555556,-71.6919444444445,2002,FO,Peces,8206,América del Sur,Argentina,No,,,,,,
143,FO:Peces:8207,Galaxias maculatus,Bariloche,Río Negro,Pacífico,Río Manso,Lago Martin  ,75,"Milano et al., 2002",DAP,Patagonian,-41.4980555555556,-71.6919444444445,2002,FO,Peces,8207,América del Sur,Argentina,No,,,,,,
144,FO:Peces:8208,Galaxias platei,Bariloche,Río Negro,Pacífico,Río Manso,Lago Martin  ,75,"Milano et al., 2002",DAP,Patagonian,-41.4980555555556,-71.6919444444445,2002,FO,Peces,8208,América del Sur,Argentina,No,,,,,,
145,FO:Peces:8209,Salmo trutta,Bariloche,Río Negro,Pacífico,Río Manso,Lago Mascardi,75,"Milano et al., 2002",DAP,Patagonian,-41.35,-71.55,2002,FO,Peces,8209,América del Sur,Argentina,No,,,,,,
146,FO:Peces:8210,Salvelinus fontinalis,Bariloche,Río Negro,Pacífico,Río Manso,Lago Mascardi,75,"Milano et al., 2002",DAP,Patagonian,-41.35,-71.55,2002,FO,Peces,8210,América del Sur,Argentina,No,,,,,,
147,FO:Peces:8211,Oncorhynchus mykiss,Bariloche,Río Negro,Pacífico,Río Manso,Lago Mascardi,75,"Milano et al., 2002",DAP,Patagonian,-41.35,-71.55,2002,FO,Peces,8211,América del Sur,Argentina,No,,,,,,
148,FO:Peces:8212,Galaxias maculatus,Bariloche,Río Negro,Pacífico,Río Manso,Lago Mascardi,75,"Milano et al., 2002",DAP,Patagonian,-41.35,-71.55,2002,FO,Peces,8212,América del Sur,Argentina,No,,,,,,
149,FO:Peces:8213,Galaxias platei,Bariloche,Río Negro,Pacífico,Río Manso,Lago Mascardi,75,"Milano et al., 2002",DAP,Patagonian,-41.35,-71.55,2002,FO,Peces,8213,América del Sur,Argentina,No,,,,,,
150,FO:Peces:8214,Salmo trutta,Bariloche,Río Negro,Pacífico,Río Manso,Lago Steffen,75,"Milano et al., 2002",DAP,Patagonian,-41.5666666666667,-71.4833333333333,2002,FO,Peces,8214,América del Sur,Argentina,No,,"-41.5166666666667, -71.5833333333333",,,-41.5166666666667,-71.5833333333333
151,FO:Peces:8215,Salvelinus fontinalis,Bariloche,Río Negro,Pacífico,Río Manso,Lago Steffen,75,"Milano et al., 2002",DAP,Patagonian,-41.5666666666667,-71.4833333333333,2002,FO,Peces,8215,América del Sur,Argentina,No,,"-41.5166666666667, -71.5833333333333",,,-41.5166666666667,-71.5833333333333
152,FO:Peces:8216,Oncorhynchus mykiss,Bariloche,Río Negro,Pacífico,Río Manso,Lago Steffen,75,"Milano et al., 2002",DAP,Patagonian,-41.5666666666667,-71.4833333333333,2002,FO,Peces,8216,América del Sur,Argentina,No,,"-41.5166666666667, -71.5833333333333",,,-41.5166666666667,-71.5833333333333
153,FO:Peces:8217,Galaxias maculatus,Bariloche,Río Negro,Pacífico,Río Manso,Lago Steffen,75,"Milano et al., 2002",DAP,Patagonian,-41.5666666666667,-71.4833333333333,2002,FO,Peces,8217,América del Sur,Argentina,No,,"-41.5166666666667, -71.5833333333333",,,-41.5166666666667,-71.5833333333333
154,FO:Peces:8218,Galaxias platei,Bariloche,Río Negro,Pacífico,Río Manso,Lago Steffen,75,"Milano et al., 2002",DAP,Patagonian,-41.5666666666667,-71.4833333333333,2002,FO,Peces,8218,América del Sur,Argentina,No,,"-41.5166666666667, -71.5833333333333",,,-41.5166666666667,-71.5833333333333
155,FO:Peces:8219,Salmo trutta,-,Chubut,Pacífico,Río Futaleufú,Río Futaleufú,76,"Milano et al., 2002",DAP,Patagonian,-43.1333333333333,-71.6,2002,FO,Peces,8219,América del Sur,Argentina,No,,,,,,
156,FO:Peces:8220,Salvelinus fontinalis,-,Chubut,Pacífico,Río Futaleufú,Río Futaleufú,76,"Milano et al., 2002",DAP,Patagonian,-43.1333333333333,-71.6,2002,FO,Peces,8220,América del Sur,Argentina,No,,,,,,
157,FO:Peces:8221,Oncorhynchus mykiss,-,Chubut,Pacífico,Río Futaleufú,Río Futaleufú,76,"Milano et al., 2002",DAP,Patagonian,-43.1333333333333,-71.6,2002,FO,Peces,8221,América del Sur,Argentina,No,,,,,,
158,FO:Peces:8222,Galaxias platei,-,Chubut,Pacífico,Río Futaleufú,Río Futaleufú,76,"Milano et al., 2002",DAP,Patagonian,-43.1333333333333,-71.6,2002,FO,Peces,8222,América del Sur,Argentina,No,,,,,,
159,FO:Peces:8223,Aplochiton zebra,-,Chubut,Pacífico,Río Futaleufú,Río Futaleufú,76,"Milano et al., 2002",DAP,Patagonian,-43.1333333333333,-71.6,2002,FO,Peces,8223,América del Sur,Argentina,No,,,,,,
160,FO:Peces:8224,Odontesthes hatcheri,-,Chubut,Pacífico,Río Futaleufú,Río Futaleufú,76,"Milano et al., 2002",DAP,Patagonian,-43.1333333333333,-71.6,2002,FO,Peces,8224,América del Sur,Argentina,No,,,,,,
161,FO:Peces:8225,Percichthys trucha,-,Chubut,Pacífico,Río Futaleufú,Río Futaleufú,76,"Milano et al., 2002",DAP,Patagonian,-43.1333333333333,-71.6,2002,FO,Peces,8225,América del Sur,Argentina,No,,,,,,
162,FO:Peces:9062,Galaxias platei,Los Antiguos,Santa Cruz,Pacífico (río Aysen),Río Deseado,Lago Buenos Aires ,79,"Zemlak et al., 2008",DAP,Patagonian,-46.5,-71.35,2008,FO,Peces,9062,América del Sur,Argentina,No,,,,,,
163,FO:Peces:9063,Galaxias platei,Lago Posadas,Santa Cruz,Pacífico,Río Deseado,Lago Pueyrredón ,79,"Zemlak et al., 2008",DAP,Patagonian,-47.3,-71.9166666666667,2008,FO,Peces,9063,América del Sur,Argentina,No,,,,,,
164,FO:Peces:9064,Galaxias platei,Ea. La Federica,Santa Cruz,Pacífico,Río Chico,Lago San Martín ,80,"Zemlak et al., 2008",DAP,Patagonian,-49.0319444444444,-72.2444444444444,2008,FO,Peces,9064,América del Sur,Argentina,No,,,,,,
165,FO:Peces:9066,Galaxias platei,Lago Puelo,Chubut,Río Manso,Río Manso,Lago Puelo ,75,"Zemlak et al., 2008",DAP,Patagonian,-42.0986111111111,-71.6175,2008,FO,Peces,9066,América del Sur,Argentina,No,,,,,,
166,FO:Peces:9067,Galaxias platei,Trevelín,Chubut,Pacífico,Río Futaleufú,Lago Rivadavia ,76,"Zemlak et al., 2008",DAP,Patagonian,-42.6166666666667,-71.6744444444445,2008,FO,Peces,9067,América del Sur,Argentina,No,,,,,,
167,FO:Peces:9069,Galaxias platei,El Volcán,Santa Cruz,Pacífico,Río Mayer,Lago Belgrano ,80,"Zemlak et al., 2008",DAP,Patagonian,-47.8694444444445,-72.1461111111111,2008,FO,Peces,9069,América del Sur,Argentina,No,,,,,,
168,FO:Peces:9071,Galaxias platei,-,Tierra del Fuego,Pacífico,Lago Fagnano,Lago Yehuin ,82,"Zemlak et al., 2008",DAP,Patagonian,-54.4,-67.7333333333333,2008,FO,Peces,9071,América del Sur,Argentina,No,,,,,,
169,FO:Peces:9072,Galaxias platei,Laguna Escondida,Tierra del Fuego,Pacífico,Lago Fagnano,Lago Margarita ,82,"Zemlak et al., 2008",DAP,Patagonian,-54.6666666666667,-67.8333333333333,2008,FO,Peces,9072,América del Sur,Argentina,No,,"-54.627503, -67.992010",,,-54.627503,-67.99201
170,FO:Peces:13428,Aplochiton zebra,-,Chubut,Pacífico ,Río Futaleufú,Arroyo Centinela ,76,"Cussac et al., 2012",DAP,Patagonian,-42.8086111111111,-71.6486111111111,2013,FO,Peces,13428,América del Sur,Argentina,No,,"-42.808731, -71.628778",,,-42.808731,-71.628778
171,FO:Peces:13429,Aplochiton zebra,-,Chubut,Pacífico,Río Futaleufú,Río Carrileufú,76,"Cussac et al., 2012",DAP,Patagonian,-42.4813888888889,-71.5672222222222,2013,FO,Peces,13429,América del Sur,Argentina,No,,,,,,
172,FO:Peces:13438,Hatcheria macraei,,,Pacífico ,Manso ,Lago Mascardi ,75,"Cussac et al., 2012",DAP,Patagonian,-41.3508333333333,-71.5458333333333,2013,FO,Peces,13438,América del Sur,Argentina,No,,,,,,
173,FO:Peces:13439,Hatcheria macraei,Epuyén,Chubut,Pacífico ,Puelo ,Lago Epuyén,75,"Cussac et al., 2012",DAP,Patagonian,-42.1894444444444,-71.5136111111111,2013,FO,Peces,13439,América del Sur,Argentina,No,,,,,,
174,FO:Peces:13440,Hatcheria macraei,Trevelín,Chubut,Pacífico ,Río Futaleufú,Lago Rivadavia,76,"Cussac et al., 2012",DAP,Patagonian,-42.61,-71.6666666666667,2013,FO,Peces,13440,América del Sur,Argentina,No,,,,,,
175,FO:Peces:13441,Hatcheria macraei,,,Pacífico ,Futaleufu ,Arroyo Nant y Fall,76,"Cussac et al., 2012",DAP,Patagonian,-43.2227777777778,-71.4213888888889,2013,FO,Peces,13441,América del Sur,Argentina,No,,,,,,
176,FO:Peces:13442,Hatcheria macraei,,,Pacífico ,Futaleufu ,Arroyo Corintos,76,"Cussac et al., 2012",DAP,Patagonian,-43.13,-71.44,2013,FO,Peces,13442,América del Sur,Argentina,No,,,,,,
177,FO:Peces:13443,Hatcheria macraei,Corcovado,Chubut,Pacífico ,Corcovado ,Arroyo Cabeza de Vaca,77,"Cussac et al., 2012",DAP,Patagonian,-43.4997222222222,-71.3477777777778,2013,FO,Peces,13443,América del Sur,Argentina,No,,?,,,,
178,FO:Peces:13444,Hatcheria macraei,Corcovado,Chubut,Pacífico,Corcovado,Arroyo Frío,77,"Cussac et al., 2012",DAP,Patagonian,-43.3094444444444,-71.4425,2013,FO,Peces,13444,América del Sur,Argentina,No,,"-43.305619, -71.457152",,,-43.305619,-71.457152
179,FO:Peces:11561,Odontesthes hatcheri,Epuyén,Chubut,Pacífico (río Puelo),Puelo ,Lago Epuyén,75,"Conte-Grand et al., 2015",DAP,Patagonian,-42.1666666666667,-71.5166666666667,2015,FO,Peces,11561,América del Sur,Argentina,No,,,,,,
180,FO:Peces:11562,Odontesthes hatcheri,Trevelín,Chubut,Pacífico ,Río Futaleufú,Lago Rivadavia,75,"Conte-Grand et al., 2015",DAP,Patagonian,-42.5,-71.75,2015,FO,Peces,11562,América del Sur,Argentina,No,,"-42.666160, -71.677583",,,-42.66616,-71.677583
181,FO:Peces:11563,Odontesthes hatcheri,Laguna Rosario,Chubut,Pacífico,Río Futaleufú,Lago Rosario,76,"Conte-Grand et al., 2015",DAP,Patagonian,-43.25,-71.3333333333333,2015,FO,Peces,11563,América del Sur,Argentina,No,,"-43.266930, -71.332850",,,-43.26693,-71.33285
182,FO:Peces:11566,Odontesthes hatcheri,Los Antiguos,Santa Cruz,Pacífico (río Aysen),Río Deseado,Lago Buenos Aires,79,"Conte-Grand et al., 2015",DAP,Patagonian,-46.4833333333333,-71.4666666666667,2015,FO,Peces,11566,América del Sur,Argentina,No,,,,,,
183,FO:Peces:11567,Odontesthes hatcheri,Lago Posadas,Santa Cruz,Pacífico (río Baker),Río Deseado,Lago Pueyrredón,79,"Conte-Grand et al., 2015",DAP,Patagonian,-47.3833333333333,-71.9166666666667,2015,FO,Peces,11567,América del Sur,Argentina,No,,,,,,
184,MACN:ict:8016,Aplochiton zebra,,Chubut,Pacífico,Río Puelo,"Parque Nacional Lago Puelo, Lago Puelo",75,"GBIF, 2019",DAP,Patagonian,-42.158356,-71.640448,2019,MACN,ict,8016,América del Sur,Argentina,Si,,,,,,
185,MACN:ict:4975,Aplochiton zebra,El Hoyo,Chubut,Pacífico,Río Puelo,El Hoyo,75,"GBIF, 2019",DAP,Patagonian,-42.06511,-71.5196,2019,MACN,ict,4975,América del Sur,Argentina,Si,,,,,,
186,MCZ:Ich:46223,Galaxias maculatus,San Martín de los Andes,Neuquén,Pacífico,Río Hua Hum,Lago Lácar,74,"GBIF, 2019",DAP,Patagonian,-40.172026,-71.514437,1968,MCZ,Ich,46223,América del Sur,Argentina,Si,Robert M. McDowall,remove,remove,,,
187,MCZ:Ich:46299,Galaxias maculatus,San Martín de los Andes,Neuquén,Pacífico,Río Hua Hum,Lago Lácar,74,"GBIF, 2019",DAP,Patagonian,-40.172026,-71.514437,1968,MCZ,Ich,46299,América del Sur,Argentina,Si,Robert M. McDowall,remove,remove,,,
188,CENPAT-CONICET:CNPICT:CNPICT2013/5,Galaxias maculatus,Lago Puelo,Chubut,Pacífico,Río Puelo,Charcos a la orilla del lago Puelo,75,"GBIF, 2019",DAP,Patagonian,-42.09483,-71.6302,2019,CENPAT-CONICET,CNPICT,CNPICT2013/5,América del Sur,Argentina,Si,,,,,,
189,dc72d2b2-1ed3-11e3-bfac-90b11c41863e,Galaxias maculatus,-,Tierra del Fuego,Pacífico,Lago Fagnano,Lago Yehuin,82,"GBIF, 2019",DAP,Patagonian,-54.4167,-67.6833,1986,KU,KUI,22962,América del Sur,Argentina,Si,,,,,,
190,MACN:ict:2762,Galaxias platei,,Santa Cruz,,,Lago San Martín,80,"GBIF, 2019",DAP,Patagonian,-48.983666,-72.431476,2019,MACN,ict,2762,América del Sur,Argentina,Si,,,,,,
191,FishBase:Occurrence:FB 2737081,Hatcheria macraei,Bajo Caracoles,Santa Cruz,Pacífico,Lagos Buenos Aires - Pueyrredón,Río Blanco,79,"GBIF, 2019",DAP,Patagonian,-47.5,-72,2019,FishBase,Occurrence,FB 2737081,América del Sur,Argentina,Si,,"-47.576943, -71.380845",,,-47.576943,-71.380845
192,KJ499176,Odontesthes hatcheri,Laguna Rosario,Chubut,Pacífico,Río Futaleufú,Lago Rosario,76,"GBIF, 2019",DAP,Patagonian,-43.21,-71.34,2019,,,,América del Sur,Argentina,Si,,"-43.266930, -71.332850",,,-43.26693,-71.33285
193,KJ499132,Odontesthes hatcheri,Epuyén,Chubut,Pacífico (río Puelo),Puelo ,Lago Epuyén,75,"GBIF, 2019",DAP,Patagonian,-42.17,-71.52,2019,,,,América del Sur,Argentina,Si,,,,,,
194,KJ499170,Odontesthes hatcheri,Lago Posadas,Santa Cruz,Pacífico (río Baker),Río Deseado,Lago Pueyrredón,79,"GBIF, 2019",DAP,Patagonian,-47.37,-71.96,2019,,,,América del Sur,Argentina,Si,,,,,,
195,KJ499178,Odontesthes hatcheri,Laguna Rosario,Chubut,Pacífico,Río Futaleufú,Lago Rosario,76,"GBIF, 2019",DAP,Patagonian,-43.21,-71.34,2019,,,,América del Sur,Argentina,Si,,"-43.266930, -71.332850",,,-43.26693,-71.33285
196,KJ499131,Odontesthes hatcheri,Epuyén,Chubut,Pacífico (río Puelo),Puelo ,Lago Epuyén,75,"GBIF, 2019",DAP,Patagonian,-42.17,-71.52,2019,,,,América del Sur,Argentina,Si,,,,,,
197,KJ499172,Odontesthes hatcheri,Trevelín,Chubut,Pacífico ,Río Futaleufú,Lago Rivadavia,75,"GBIF, 2019",DAP,Patagonian,-42.64,-71.67,2019,,,,América del Sur,Argentina,Si,,,,,,
198,KJ499135,Odontesthes hatcheri,Los Antiguos,Santa Cruz,Pacífico (río Aysen),Río Deseado,Lago Buenos Aires,79,"GBIF, 2019",DAP,Patagonian,-46.48,-71.47,2019,,,,América del Sur,Argentina,Si,,,,,,
199,KJ499171,Odontesthes hatcheri,Lago Posadas,Santa Cruz,Pacífico (río Baker),Río Deseado,Lago Pueyrredón,79,"GBIF, 2019",DAP,Patagonian,-47.37,-71.96,2019,,,,América del Sur,Argentina,Si,,,,,,
200,KJ499177,Odontesthes hatcheri,Laguna Rosario,Chubut,Pacífico,Río Futaleufú,Lago Rosario,76,"GBIF, 2019",DAP,Patagonian,-43.21,-71.34,2019,,,,América del Sur,Argentina,Si,,"-43.266930, -71.332850",,,-43.26693,-71.33285
201,KJ499133,Odontesthes hatcheri,Epuyén,Chubut,Pacífico (río Puelo),Puelo ,Lago Epuyén,75,"GBIF, 2019",DAP,Patagonian,-42.17,-71.52,2019,,,,América del Sur,Argentina,Si,,,,,,
202,KJ499173,Odontesthes hatcheri,Trevelín,Chubut,Pacífico ,Río Futaleufú,Lago Rivadavia,75,"GBIF, 2019",DAP,Patagonian,-42.64,-71.67,2019,,,,América del Sur,Argentina,Si,,,,,,
203,KJ499174,Odontesthes hatcheri,Trevelín,Chubut,Pacífico ,Río Futaleufú,Lago Rivadavia,75,"GBIF, 2019",DAP,Patagonian,-42.64,-71.67,2019,,,,América del Sur,Argentina,Si,,,,,,
204,KY001660,Odontesthes hatcheri,Laguna Rosario,Chubut,Pacífico,Río Futaleufú,Lago Rosario,76,"GBIF, 2019",DAP,Patagonian,-43.25,-71.35,2006,,,,América del Sur,Argentina,Si,,"-43.266930, -71.332850",,,-43.26693,-71.33285
205,KJ499175,Odontesthes hatcheri,Trevelín,Chubut,Pacífico ,Río Futaleufú,Lago Rivadavia,75,"GBIF, 2019",DAP,Patagonian,-42.64,-71.67,2019,,,,América del Sur,Argentina,Si,,,,,,
206,KJ499134,Odontesthes hatcheri,Los Antiguos,Santa Cruz,Pacífico (río Aysen),Río Deseado,Lago Buenos Aires,79,"GBIF, 2019",DAP,Patagonian,-46.48,-71.47,2019,,,,América del Sur,Argentina,Si,,,,,,
207,KJ499136,Odontesthes hatcheri,Los Antiguos,Santa Cruz,Pacífico (río Aysen),Río Deseado,Lago Buenos Aires,79,"GBIF, 2019",DAP,Patagonian,-46.48,-71.47,2019,,,,América del Sur,Argentina,Si,,,,,,
208,KJ499137,Odontesthes hatcheri,Los Antiguos,Santa Cruz,Pacífico (río Aysen),Río Deseado,Lago Buenos Aires,79,"GBIF, 2019",DAP,Patagonian,-46.48,-71.47,2019,,,,América del Sur,Argentina,Si,,,,,,
209,d5c57e42-47fa-40b4-85f0-138e4786203a,Odontesthes hatcheri,Los Antiguos,Santa Cruz,Pacífico (río Aysen),Río Deseado,Lago Buenos Aires,79,"GBIF, 2019",DAP,Patagonian,-46.48,-71.47,2019,,,,América del Sur,Argentina,Si,,,,,,
