fid,GlobalUniqueIdentifier,NOMBRE CIENTÍFICO,LOCALIDAD MÁS CERCANA,PROVINCIA,CUENCA,SUBCUENCA,CUERPO DE AGUA,N° DE CUENCA #,CITA,REGIÓN ICTIOG *,Ecoregion Lopez et al 2008,Decimal Latitude,Decimal Longitude,AÑO,CODIGO INSTITUCIÓN,CODIGO COLECCIÓN,N COLECCIÓN,Continente,País,Voucher,Observ,comments,.remove,.locality,.decimalLatitude,.decimalLongitude
40,FO:Peces:4563,Galaxias platei,,Chubut,,,Laguna Del Sapo,76,"Bello, 2002",DAP,Patagonian,-43.2333333333333,-71.1,2002,FO,Peces,4563,América del Sur,Argentina,No,,? no se encontró la laguna del Sapo,,,,
41,FO:Peces:4565,Galaxias platei,,Chubut,,,Laguna Williams,76,"Bello, 2002",DAP,Patagonian,-43.3333333333333,-71.2166666666667,2002,FO,Peces,4565,América del Sur,Argentina,No,,"-43,6666667, -71,333333",,,,
42,FO:Peces:4566,Galaxias platei,Corcovado,Chubut,Pacífico,Río Carrenleufú,Río Carrenleufú,76,"Bello, 2002",DAP,Patagonian,-42.45,-71.6,2002,FO,Peces,4566,América del Sur,Argentina,No,,"-42.469776, -71.599859",,,-42.469776,-71.599859
43,FO:Peces:4567,Galaxias platei,,Chubut,,,Río Arrayanes,76,"Bello, 2002",DAP,Patagonian,-42.7333333333333,-71.75,2002,FO,Peces,4567,América del Sur,Argentina,No,,"-42.731892, -71.741996",,,-42.731892,-71.741996
44,FO:Peces:4568,Galaxias platei,,Chubut,,,Río Grande,76,"Bello, 2002",DAP,Patagonian,-43.1833333333333,-71.65,2002,FO,Peces,4568,América del Sur,Argentina,No,,"-43.181008, -71.656310",,,-43.181008,-71.65631
45,FO:Peces:4569,Galaxias platei,Esquel,Chubut,Pacífico,Río Futaleufú,Río Percey,76,"Bello, 2002",DAP,Patagonian,-43,-71.4666666666667,2002,FO,Peces,4569,América del Sur,Argentina,No,,,,,,
46,FO:Peces:4570,Galaxias platei,-,Chubut,Pacífico,Río Carrenleufú,Río Corcovado,77,"Bello, 2002",DAP,Patagonian,-43.9666666666667,-71.1333333333333,2002,FO,Peces,4570,América del Sur,Argentina,No,,"-43.8725,-71.3118",,,-43.8725,-71.3118
47,FO:Peces:4571,Galaxias platei,,Chubut,,,Río Pico,76,"Bello, 2002",DAP,Patagonian,-44.2333333333333,-71.1333333333333,2002,FO,Peces,4571,América del Sur,Argentina,No,,"-44.205475, -71.423926",,,-44.205475,-71.423926
48,FO:Peces:4572,Galaxias platei,,Chubut,,,Arroyo Nant y Fall,76,"Bello, 2002",DAP,Patagonian,-43.2,-71.5666666666667,2002,FO,Peces,4572,América del Sur,Argentina,No,,"-43.173237, -71.505652",,,-43.173237,-71.505652
49,FO:Peces:4573,Galaxias platei,Esquel,Chubut,Pacífico,Río Futaleufú,Arroyo Blanco,76,"Bello, 2002",DAP,Patagonian,-42.45,-71.4333333333333,2002,FO,Peces,4573,América del Sur,Argentina,No,,,,,,
50,FO:Peces:4574,Galaxias platei,Esquel,Chubut,Pacífico,Río Futaleufú,Arroyo Esquel ,76,"Bello, 2002",DAP,Patagonian,-42.9833333333333,-71.2,2002,FO,Peces,4574,América del Sur,Argentina,No,,"-42.915773, -71.307351",,,-42.915773,-71.307351
51,FO:Peces:4576,Galaxias platei,Los Antiguos,Santa Cruz,Pacífico (río Aysen),Río Deseado,Lago Buenos Aires,79,"Bello, 2002",DAP,Patagonian,-46.5333333333333,-71.6166666666667,2002,FO,Peces,4576,América del Sur,Argentina,No,,,,,,
52,FO:Peces:4577,Galaxias platei,Lago Posadas,Santa Cruz,Pacífico,Río Deseado,Lago Pueyrredón,79,"Bello, 2002",DAP,Patagonian,-47.35,-71.95,2002,FO,Peces,4577,América del Sur,Argentina,No,,,,,,
53,FO:Peces:4583,Galaxias platei,Est. Vieja Carmen,Tierra del Fuego,Pacífico,Lago Fagnano,Lago Yehuín,82,"Bello, 2002",DAP,Patagonian,-54.4166666666667,-67.75,2002,FO,Peces,4583,América del Sur,Argentina,No,,,,,,
54,FO:Peces:4584,Aplochiton taeniatus,San Martín de los Andes,Neuquén,Pacífico,Río Hua Hum,Lago Queñi,74,"Bello, 2002",DAP,Patagonian,-40.1666666666667,-71.7166666666667,2002,FO,Peces,4584,América del Sur,Argentina,No,,remove,remove,,,
55,FO:Peces:4586,Aplochiton taeniatus,Epuyén,Chubut,Pacífico,Río Puelo,Lago Epuyén,75,"Bello, 2002",DAP,Patagonian,-42.2,-71.5,2002,FO,Peces,4586,América del Sur,Argentina,No,,,,,,
56,FO:Peces:4587,Aplochiton taeniatus,Cholila,Chubut,Pacífico,Río Futaleufú,Lago Cholila,76,"Bello, 2002",DAP,Patagonian,-42.45,-71.6666666666667,2002,FO,Peces,4587,América del Sur,Argentina,No,,,,,,
57,FO:Peces:4591,Aplochiton zebra,San Martín de los Andes,Neuquén,Pacífico,Río Hua Hum,Lago Lácar,74,"Bello, 2002",DAP,Patagonian,-40.1666666666667,-71.45,2002,FO,Peces,4591,América del Sur,Argentina,No,,remove,remove,,,
58,FO:Peces:4592,Aplochiton zebra,El Foyel,Chubut,Pacífico,Río Futaleufú,Laguna Foyel,76,"Bello, 2002",DAP,Patagonian,-43.6166666666667,-71.1333333333333,2002,FO,Peces,4592,América del Sur,Argentina,No,,"-41.750650, -71.446089",,,-41.75065,-71.446089
59,FO:Peces:4593,Aplochiton zebra,Epuyén,Chubut,Pacífico,Río Puelo,Lago Epuyén,75,"Bello, 2002",DAP,Patagonian,-42.2,-71.5,2002,FO,Peces,4593,América del Sur,Argentina,No,,,,,,
60,FO:Peces:4594,Aplochiton zebra,Trevelín,Chubut,Pacífico,Río Futaleufú,Lago Futalaufquen,76,"Bello, 2002",DAP,Patagonian,-42.8333333333333,-71.6333333333333,2002,FO,Peces,4594,América del Sur,Argentina,No,,,,,,
61,FO:Peces:4595,Aplochiton zebra,Est. Vieja Carmen,Tierra del Fuego,Pacífico,Lago Fagnano,Lago Fagnano,82,"Bello, 2002",DAP,Patagonian,-54.55,-67.8833333333333,2002,FO,Peces,4595,América del Sur,Argentina,No,,,,,,
62,FO:Peces:4606,Diplomystes viedmensis,-,Chubut,Pacífico,Río Puelo,Parque Nacional Puelo,75,"Bello, 2002",DAP,Patagonian,-42.1166666666667,-71.65,2002,FO,Peces,4606,América del Sur,Argentina,No,Antes Diplomystes viedmensis,remove,remove,,,
63,FO:Peces:4607,Diplomystes viedmensis,-,Chubut,Pacífico,Río Futaleufú,Parque Nacional Los Alerces,76,"Bello, 2002",DAP,Patagonian,-42.85,-71.8666666666667,2002,FO,Peces,4607,América del Sur,Argentina,No,Antes Diplomystes viedmensis,remove. not precice location. Check.,remove,,,
64,FO:Peces:4616,Hatcheria macraei,Bariloche,Río Negro,Pacífico,Río Manso,Río Manso,75,"Bello, 2002",DAP,Patagonian,-41.5,-71.6666666666667,2002,FO,Peces,4616,América del Sur,Argentina,No,,"-41.502955, -71.639138",,,-41.502955,-71.639138
65,FO:Peces:4811,Hatcheria macraei,El Bolsón,Chubut,Pacífico,Río Puelo,Río Quemquemtreu,75,"Bello, 2002",DAP,Patagonian,-41.9666666666667,-71.5333333333333,2002,FO,Peces,4811,América del Sur,Argentina,No,,"Remove: rio Quemquemtreu -40.223695, -70.724229. fuera de poligono",remove,,,
66,FO:Peces:4812,Hatcheria macraei,Epuyén,Chubut,Pacífico,Río Puelo,Río Epuyén,75,"Bello, 2002",DAP,Patagonian,-42.2166666666667,-71.3833333333333,2002,FO,Peces,4812,América del Sur,Argentina,No,,,,,,
67,FO:Peces:4813,Hatcheria macraei,Laguna Rosario,Chubut,Pacífico,Río Futaleufú,Lago Rosario,76,"Bello, 2002",DAP,Patagonian,-43.2666666666667,-71.3333333333333,2002,FO,Peces,4813,América del Sur,Argentina,No,,,,,,
