X,Y,Lon,Lat,Site_ID,Old_SiteID
-72.26965758,-40.33805558,732164.86,5531419.55,71,4.29
-72.26965758,-40.33805558,732164.86,5531419.55,71,4.29
-72.4397057,-40.32283502,717767.2,5533541.35,72,4.3
-72.4397057,-40.32283502,717767.2,5533541.35,72,4.3
-72.32187155,-40.32962291,727757.29,5532491.37,73,4.31
-72.32187155,-40.32962291,727757.29,5532491.37,73,4.31
-72.24050807,-40.33909609,734637.71,5531227.18,74,4.32
-72.24050807,-40.33909609,734637.71,5531227.18,74,4.32
-72.3320161,-40.69897299,725654.06,5491510.74,75,4.33
-72.3320161,-40.69897299,725654.06,5491510.74,75,4.33
-72.31108285,-40.69776669,727427.03,5491590.72,76,4.34
-72.31108285,-40.69776669,727427.03,5491590.72,76,4.34
-72.23808653,-40.66476484,733710.63,5495063.38,77,4.35
-72.23808653,-40.66476484,733710.63,5495063.38,77,4.35
-72.4151487,-40.6237891,718874.87,5500068.14,78,4.36
-72.4151487,-40.6237891,718874.87,5500068.14,78,4.36
-72.43297354,-40.72026691,717054.03,5489400.87,79,4.37
-72.43297354,-40.72026691,717054.03,5489400.87,79,4.37
-72.40693496,-40.7162834,719266.64,5489778.49,80,4.38
-72.40693496,-40.7162834,719266.64,5489778.49,80,4.38
-72.31406789,-40.32289497,728443.02,5533218.21,81,3.01
-72.25151336,-40.14919635,734356.59,5552339.14,82,3.02
-72.25151336,-40.14919635,734356.59,5552339.14,82,3.02
-72.32136996,-40.32960975,727799.96,5532491.54,83,3.05
-72.32136996,-40.32960975,727799.96,5532491.54,83,3.05
-72.40029345,-40.64854831,720050.27,5497282.22,84,3.06
-72.24315631,-40.66599044,733277.73,5494940.76,85,3.08
-72.24315631,-40.66599044,733277.73,5494940.76,85,3.08
-72.41429675,-40.62171677,718953.71,5500296.1,86,3.11
-72.41429675,-40.62171677,718953.71,5500296.1,86,3.11
-72.62393881,-41.22011164,699413.15,5434358.68,87,3.12
-72.62049758,-41.22982779,699672.1,5433271.99,88,3.13
-72.62049758,-41.22982779,699672.1,5433271.99,88,3.13
-73.00195158,-41.25821567,667625.95,5430925.51,89,3.14
-73.00195158,-41.25821567,667625.95,5430925.51,89,3.14
-72.76990894,-41.27105718,687030.7,5429026.47,90,3.15
-72.76990894,-41.27105718,687030.7,5429026.47,90,3.15
-73.00181287,-41.25957307,667634.1,5430774.53,91,3.16
-72.4320631,-43.17612953,708956.24,5216687.84,92,3.17
-72.2522419,-39.69574035,735844.94,5602682,93,3.18
-72.46283404,-41.18385174,713036.88,5438002.91,94,3.19
-72.46283404,-41.18385174,713036.88,5438002.91,94,3.19
-72.38705256,-41.12000607,719606.49,5444903.64,95,3.2
-72.59522756,-41.23216478,701783.11,5432954.19,96,3.24
-72.59522756,-41.23216478,701783.11,5432954.19,96,3.24
-72.36268764,-43.33926959,714023.46,5198393.2,97,3.25
-72.36268764,-43.33926959,714023.46,5198393.2,97,3.25
-72.44187879,-43.12615611,708327.96,5222262.5,98,3.26
-72.44187879,-43.12615611,708327.96,5222262.5,98,3.26
-72.39943179,-43.30141833,711175.71,5202690.71,99,3.27
-72.39943179,-43.30141833,711175.71,5202690.71,99,3.27
-72.75105186,-39.86280876,692602.94,5585328.38,100,3.28
-72.75105186,-39.86280876,692602.94,5585328.38,100,3.28
-72.48375858,-40.76696262,712615.42,5484340.68,101,36.01
-72.48375858,-40.76696262,712615.42,5484340.68,101,36.01
-72.43282444,-40.77985645,716873.01,5482784.51,102,36.02
-72.43282444,-40.77985645,716873.01,5482784.51,102,36.02
-72.42056739,-40.78937968,717876.35,5481696.81,103,36.03
-72.42056739,-40.78937968,717876.35,5481696.81,103,36.03
-72.53828143,-40.86660616,707702.14,5473408.31,104,36.04
-72.53828143,-40.86660616,707702.14,5473408.31,104,36.04
-72.46930523,-40.88908581,713443.69,5470746.62,105,36.05
-72.46930523,-40.88908581,713443.69,5470746.62,105,36.05
-72.40604856,-40.9145717,718689.65,5467760.83,106,36.06
-72.40604856,-40.9145717,718689.65,5467760.83,106,36.06
-72.34113832,-40.9062594,724184.87,5468519.5,107,36.07
-72.34113832,-40.9062594,724184.87,5468519.5,107,36.07
-72.33997634,-40.90062327,724301.78,5469142.31,108,36.08
-72.33997634,-40.90062327,724301.78,5469142.31,108,36.08
-72.57451628,-40.86115207,704664.84,5474099.12,109,36.09
-72.57451628,-40.86115207,704664.84,5474099.12,109,36.09
-72.67928252,-40.80917677,695986.8,5480109.07,110,36.1
-72.67928252,-40.80917677,695986.8,5480109.07,110,36.1
-72.26663617,-40.8915233,730511.89,5469962.15,111,36.11
-72.26663617,-40.8915233,730511.89,5469962.15,111,36.11
-72.47973484,-40.88355065,712582.62,5471386.55,112,36.12
-72.47973484,-40.88355065,712582.62,5471386.55,112,36.12
-72.64527276,-40.7986466,698887.2,5481201.63,113,36.13
-72.63931032,-40.79876303,699389.91,5481175.17,114,36.14
-68.29297771,-21.57745389,1195752.57,7599271.76,115,11.01
-70.06845465,-53.95526897,823734.63,4010389.83,116,9.01
-70.06845465,-53.95526897,823734.63,4010389.83,116,9.01
-69.80317629,-53.68641935,843315.32,4039019.66,117,9.02
-69.80317629,-53.68641935,843315.32,4039019.66,117,9.02
-68.67286766,-53.98591506,914875.26,3999698.35,118,9.03
-68.67286766,-53.98591506,914875.26,3999698.35,118,9.03
-68.85547546,-53.98113305,902968.99,4001285.85,119,9.04
-68.85547546,-53.98113305,902968.99,4001285.85,119,9.04
-71.23892638,-31.71813144,856696.2,6484964.39,120,12.01
-71.23892638,-31.71813144,856696.2,6484964.39,120,12.01
-72.21622263,-45.49326365,717755.28,4958733.32,121,60.01
-72.01993909,-52.68588225,701661.07,4158714.61,122,60.02
-72.45547643,-46.64234156,694974.61,4831680.15,123,60.03
-72.26948514,-45.48320164,713631.45,4959994.14,124,5.01
-71.91679093,-45.81854313,739760.26,4921739.13,125,5.02
-71.78286953,-45.83934546,750070.83,4919017.31,126,5.03
-72.08334971,-45.57516185,727806.91,4949265.76,127,5.04
-72.76028223,-45.6951673,674616.49,4937631.2,128,5.05
-72.1907692,-46.16146946,717131.4,4884422.98,129,5.06
-72.6856345,-46.46061692,677952.78,4852416.4,130,5.07
-72.71299796,-46.47490622,675805.63,4850889.81,131,5.08
-71.97163436,-46.28321407,733533.35,4870273.75,132,5.09
-71.65194498,-44.62830663,765825.74,5053140.27,133,5.1
-72.49460202,-41.4419373,709544.4,5409423.85,134,14.01
-73.65073566,-42.38315081,611308.7,5307067.07,135,14.02
-72.6428253,-40.65502037,699521.93,5497141.91,136,14.03
-72.40353553,-40.71487875,719558.43,5489925.95,137,14.04
-72.77575832,-40.64580247,688308.01,5498458.19,138,14.05
-73.11149696,-41.7578846,657235.73,5375651.81,139,13.01
-73.48566211,-41.82911337,625988.8,5368358.33,140,13.02
-73.72415453,-42.581957,604932.48,5285083.86,141,13.03
-72.59794324,-42.04102964,699052.44,5343145.53,142,13.04
-72.72124947,-44.70790373,680752.34,5047226.44,143,13.05
-72.83692622,-45.47358645,669313.22,4962413.54,144,13.06
-72.8028538,-45.45417311,672035.51,4964498.09,145,37.01
-72.71701795,-45.40587415,678899.66,4969676.99,146,37.02
-72.08838454,-45.57624498,727409.7,4949159.71,147,37.03
-72.06868689,-45.5481847,729060.54,4952221.22,148,37.04
-72.14431386,-45.50017971,723346.77,4957767.59,149,37.05
-72.45992225,-45.41773523,698978.26,4967755.88,150,37.06
-73.24176579,-45.24658357,638219.21,4988405.62,151,37.07
-72.80006731,-45.45758647,672243.01,4964112.9,152,37.08
-72.79405565,-45.45129127,672732.25,4964799.42,153,37.09
-73.29884523,-47.47356102,628421.61,4741046.66,154,37.1
-73.12039983,-48.14281056,640059.36,4666355.29,155,37.11
-73.52067424,-45.16154916,616503.6,4998291.9,156,37.12
-71.85398055,-45.6664585,745304.85,4938445.79,157,37.13
-72.72904152,-45.46756695,677765.05,4962849.57,158,37.14
-71.96482294,-46.24044678,734240.1,4875005.56,159,37.15
-72.5824343,-47.31257209,682959.63,4757507.1,160,37.16
-72.45021929,-47.28028884,693069.72,4760776.12,161,37.17
-71.9271095,-46.30439486,736872,4867788.22,162,37.18
-71.94613029,-45.66398284,738137.12,4938998.89,163,37.19
-71.62296988,-46.51134074,759309.56,4843840.21,164,43.01
-70.389037,-33.37514496,929337.03,6297920.31,165,15.01
-70.73295884,-34.72931619,891027.37,6148977.18,166,16.01
-70.56113615,-34.82602595,906299.2,6137558.27,167,16.02
-73.11112458,-36.85629942,668628.45,5919696.28,168,17.01
-73.08890098,-36.84633716,670632.04,5920762.19,169,17.02
-71.27484978,-38.78806503,823822.89,5700431.42,170,17.03
-73.10999964,-36.85635545,668728.63,5919688.08,171,35.01
-73.08763243,-36.84874505,670739.81,5920492.77,172,35.02
-72.99049283,-36.87580882,679338.57,5917312.08,173,18.01
-72.99049283,-36.87580882,679338.57,5917312.08,173,18.01
-72.99773137,-36.85929372,678731.76,5919158.06,174,18.02
-72.99773137,-36.85929372,678731.76,5919158.06,174,18.02
-73.00827882,-36.8472457,677819.25,5920514.51,175,18.03
-73.00827882,-36.8472457,677819.25,5920514.51,175,18.03
-73.00660636,-36.83176933,678004.22,5922228.55,176,18.04
