"id_CC","occurrenceID_master","datasetName_tmp","canonicalName","year","eventDate","locality","decimalLatitude","decimalLongitude","bibliographicCitation","catalogNumber","institutionCode","Duplicate","Comment","Remove_from_master",".references",".associatedReferences",".decimalLat",".decimalLon",".locality",".year",".eventDate",".bibliographicCitation",".canonicalName",".scientificName",".catalogNumber",".recordedBy",".occurrenceID"
42,"SUBPESCA.PecesContinentales2019.23482","subpesca-1","oncorhynchus mykiss",2005,NA,NA,-46.5,-74.5,"PENALUNA BE, ARISMEN","23482",NA,NA,"Remove. Actual location is in rio Bueno, out of range.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"MAguilar.Lit.Review.726","agui","galaxias maculatus",2013,NA,"lago konrad po",-51.1777777784,-74.4383333329,"Górski, K., González","726",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"MAguilar.Lit.Review.1050","agui","galaxias maculatus",2014,NA,"lago konrad po",-51.1777777784,-74.4383333329,"Pérez, S., Manosalva","1050",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"MMA:ICT:0002014","mma2","galaxias maculatus",2014,"2014-03-27","lago konrad. bahia donaldson. islas presidente gabriel gonzalez videla",-51.178,-74.438,"OrigenReg: Base Dato",NA,NA,1,"associatedReferences (Górski et al. 2017 | Pérez et al. 2022)",NA,NA,"Górski et al. 2017 | Pérez et al. 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"MAguilar.Lit.Review.725","agui","galaxias maculatus",2013,NA,"río konrad po",-51.1802777777,-74.432222222,"Górski, K., González","725",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"MAguilar.Lit.Review.1049","agui","galaxias maculatus",2014,NA,"estuario konrad po",-51.1802777777,-74.432222222,"Pérez, S., Manosalva","1049",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"MMA:ICT:0002017","mma2","galaxias maculatus",2014,"2014-04-03","rio konrad. bahia donaldson. islas presidente gabriel gonzalez videla",-51.18,-74.432,"OrigenReg: Base Dato",NA,NA,1,"associatedReferences (Górski et al. 2017 | Pérez et al. 2022)",NA,NA,"Górski et al. 2017 | Pérez et al. 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"MMA:ICT:0001813","mma2","eleginops maclovinus",2014,"2014-02-14","rio balderas. sector puerto eden. costeras  orientales  entre  fiordo  beauchamp y fiordo veto",-49.134,-74.427,"OrigenReg: Base Dato",NA,NA,1,"associatedReferences (Górski et al. 2017)",NA,NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"MMA:ICT:0002025","mma2","galaxias maculatus",2014,"2014-04-24","rio balderas. sector puerto eden. costeras  orientales  entre  fiordo  beauchamp y fiordo veto",-49.134,-74.427,"OrigenReg: Base Dato",NA,NA,1,"associatedReferences (Górski et al. 2017)",NA,NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"MAguilar.Lit.Review.716","agui","eleginops maclovinus",2013,NA,"río balderas",-49.1341666671,-74.4269444444,"Górski, K., González","716",NA,0,"associatedReference: (Górski et al. 2017)",NA,NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"MAguilar.Lit.Review.720","agui","galaxias maculatus",2013,NA,"río balderas",-49.1341666671,-74.4269444444,"Górski, K., González","720",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"MAguilar.Lit.Review.717","agui","eleginops maclovinus",2013,NA,"bahía lackawana",-49.1719444442,-74.4111111109,"Górski, K., González","717",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"MAguilar.Lit.Review.721","agui","galaxias maculatus",2013,NA,"bahía lackawana",-49.1719444442,-74.4111111109,"Górski, K., González","721",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"MMA:ICT:0001811","mma2","eleginops maclovinus",2014,"2014-02-14","rio lackawana. sector puerto eden. costeras  orientales  entre  fiordo  beauchamp y fiordo veto",-49.172,-74.411,"OrigenReg: Base Dato",NA,NA,1,"associatedReference: (Górski et al. 2017)",NA,NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"MMA:ICT:0002023","mma2","galaxias maculatus",2014,"2014-04-24","rio lackawana. sector puerto eden. costeras  orientales  entre  fiordo  beauchamp y fiordo veto",-49.172,-74.411,"OrigenReg: Base Dato",NA,NA,1,"associatedReferences (Górski et al. 2017)",NA,NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"CIMAR1_65_sp16","gbif","atheriniformes",1995,"1995-11-02",NA,-45.7817,-74.4083,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"69778f10-9b29-40a0-a178-26b3bc0e4c02","idig","eleginops maclovinus",1931,NA,"golfo de penas",-48.4583333,-74.3916667,NA,"1936.8.26.915","nhmuk",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"CIMAR1_71_sp16","gbif","atheriniformes",1995,"1995-11-03",NA,-45.4383,-74.3433,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"CIMAR1_103_sp16","gbif","atheriniformes",1995,"1995-10-25",NA,-43.6617,-74.2883,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"MAguilar.Lit.Review.732","agui","oncorhynchus kisutch",2013,NA,"río tote",-50.3859722217,-74.2511944444,"Górski, K., González","732",NA,NA,"change coordinates to: -50.385972, -74.251194",NA,NA,NA,-50.385972,-74.251194,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"MAguilar.Lit.Review.724","agui","galaxias maculatus",2013,NA,"río tote",-50.3861111112,-74.2511111114,"Górski, K., González","724",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"MCZ:Ich:6594","gbif","galaxiidae",1872,"1872","off straits of magellan, puerto bueno",-50.99286,-74.21539,NA,"6594","mcz",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"CIMAR1_64_sp16","gbif","atheriniformes",1995,"1995-11-02",NA,-45.7,-74.175,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"MMA:ICT:0002021","mma2","galaxias maculatus",2014,"2014-04-24","rio evelyn. bahia elizabeth. costeras canal mesier limite region - peninsula exmouth",-49.198,-74.144,"OrigenReg: Base Dato",NA,NA,1,"associatedReferences (Górski et al. 2017)",NA,NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,"MAguilar.Lit.Review.722","agui","galaxias maculatus",2013,NA,"río elizabeth",-49.1980555556,-74.1436111111,"Górski, K., González","722",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"MMA:ICT:0002027","mma2","galaxias maculatus",2014,"2014-04-24","lago evelyn. bahia elizabeth. costeras canal mesier limite region - peninsula exmouth",-49.195,-74.141,"OrigenReg: Base Dato",NA,NA,1,"associatedReferences (Górski et al. 2017)",NA,NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,"MAguilar.Lit.Review.723","agui","galaxias maculatus",2013,NA,"lago evelyn",-49.1952777782,-74.1405555556,"Górski, K., González","723",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"CIMAR1_72_sp16","gbif","atheriniformes",1995,"1995-11-03",NA,-45.385,-74.1367,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,"MMA:ICT:0001830","mma2","galaxias globiceps",NA,NA,"río cipresal. costa occidental de la isla de chiloé. costeras vertientes oeste entre rio chepu y rio cucao",-42.604,-74.123,"FuenteReg: Murillo &",NA,NA,1,"also in Cussac et al. 2004",NA,NA,"Cussac et al., 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,"CIMAR1_97_sp16","gbif","atheriniformes",1995,"1995-10-26",NA,-44.5733,-74.1217,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,"MMA:ICT:0000008","mma2","aplochiton marinus",2011,"2011-01-23","lago huelde, chiloé. pequeño lago costero. costeras vertientes oeste entre rio chepu y rio cucao",-42.595,-74.117,"OrigenReg: Alo, D., ",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,"MAguilar.Lit.Review.761","agui","salmo trutta",2006,NA,"lago cucao",-42.6394560004,-74.0669899996,"Habit, E., Gonzalez,","761",NA,1,"associatedsReference: (Cussac et al., 2020)",NA,NA,"Cussac et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,"MAguilar.Lit.Review.519","agui","salmo trutta",NA,NA,"lago cucao",-42.6394560004,-74.0669899996,"Cussac, V.E.; Barran","519",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,"MMA:ICT:0001879","mma2","galaxias maculatus",2007,"2007-12-22","lago cucuao. en cucao. costera vertiente oeste entre rio cucao (incluido) y rio medina (incluido)",-42.648,-74.058,"OrigenReg: Base Dato",NA,NA,NA,"associatedReference: (Habit et al. 2012)",NA,NA,"Habit et al. 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,"CIMAR1_63_sp16","gbif","atheriniformes",1995,"1995-11-02",NA,-45.7283,-74.04,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,"MAguilar.Lit.Review.1253","agui","aplochiton zebra",NA,NA,"u29, chiloé",-41.9600000004,-74.0399999996,"Vanhaecke, D., Garci","1253",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,"MAguilar.Lit.Review.1244","agui","aplochiton zebra",2007,"2007-12-03","u29, chiloé",-41.9590000001,-74.0399999996,"Vanhaecke D, Garcia ","1244",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,"MAguilar.Lit.Review.1233","agui","aplochiton taeniatus",2007,"2007-11-29","u24, chiloé",-41.811,-74.031,"Vanhaecke D, Garcia ","1233",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,"MAguilar.Lit.Review.1239","agui","aplochiton taeniatus",2007,"2007-12-02","u28, chiloé",-41.9459999996,-74.0240000001,"Vanhaecke D, Garcia ","1239",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,"MAguilar.Lit.Review.1243","agui","aplochiton zebra",2007,"2007-12-02","u28, chiloé",-41.9459999996,-74.0240000001,"Vanhaecke D, Garcia ","1243",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,"MAguilar.Lit.Review.1238","agui","aplochiton taeniatus",2007,"2007-12-01","puñihuil",-41.9310000003,-74.0229999998,"Vanhaecke D, Garcia ","1238",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,"MAguilar.Lit.Review.1249","agui","aplochiton taeniatus",NA,NA,"u28, chiloé",-41.9499999997,-74.02,"Vanhaecke, D., Garci","1249",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,"MAguilar.Lit.Review.1252","agui","aplochiton zebra",NA,NA,"u28, chiloé",-41.9499999997,-74.02,"Vanhaecke, D., Garci","1252",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,"MAguilar.Lit.Review.1240","agui","aplochiton taeniatus",2007,"2007-12-04","u30, chiloé",-41.9840000001,-74.0119999998,"Vanhaecke D, Garcia ","1240",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,"MAguilar.Lit.Review.388","agui","galaxias maculatus",NA,NA,"puerto bueno",-50.9666666666,-74.0000000004,"Cussac, V., Ortubay,","388",NA,NA,"Chango coordinates to -50,99286°, -74,21539°",NA,NA,NA,-50.99286,-74.21539,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,"MAguilar.Lit.Review.1073","agui","eleginops maclovinus",NA,NA,"los chonos",-44.9999999999,-74.0000000004,"Rademacher K. 2007. ","1073",NA,0,"Remove","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,"urn:catalog:CAS:SU(ICH):22690","idig","galaxias maculatus",NA,NA,"patagonia, port otway.",-53.308676,-73.987166,NA,"22690","cas",0,"change coordinates to -46.833333, -75.300000",NA,NA,NA,-46.833333,-75.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
