"bibliographicCitation","associatedReferences","occurrenceID","locationRemarks","locality","decimalLatitude","decimalLongitude","year","eventDate","scientificName","individualCount","samplingProtocol","recordedBy","license","rightsHolder","accessRights","datasetName","datasetName_tmp","basisOfRecord"
"Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781.","(Correa et al. 2012) | (Correa and Hendry 2012)","Correa.Boisjoly.collection.002443","Espejo","Lago Espejo",-45.740731,-72.203969,2009,2009-02-10,"Salmo trutta",13,"Electric fishing","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.012277","Rio Futaleufu","Lago Espejo",-43.184165,-71.859983,2023,2023-11-09,"Percichthys trucha",8,"Fyke net","CC BD","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.012315","Rio Futaleufu","Lago Espolón",-43.215153,-71.949925,2023,2023-11-10,"Aplochiton zebra",12,"Seine net","CC BD","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005270","Lago Fagnano","Lago Fagnano",-54.506051,-68.811551,2015,2015-02-03,"Oncorhynchus mykiss",6,"Electric fishing","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005300","Lago Fagnano","Lago Fagnano",-54.506051,-68.811551,2015,2015-02-03,"Salmo trutta",2,"Electric fishing","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005274","Lago Fagnano","Lago Fagnano",-54.506051,-68.811551,2015,2015-02-03,"Salvelinus fontinalis",26,"Electric fishing","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005304","Lago Fagnano","Lago Fagnano",-54.50502799,-68.80484004,2015,2015-02-04,"Salmo trutta",2,"Gill Net Experimental","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005306","Lago Fagnano","Lago Fagnano",-54.50502799,-68.80484004,2015,2015-02-04,"Salvelinus fontinalis",1,"Gill Net Experimental","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005264","Lago Fagnano","Lago Fagnano",-54.50396198,-68.80416404,2015,2015-02-03,"Oncorhynchus mykiss",2,"Gill Net Experimental","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005262","Lago Fagnano","Lago Fagnano",-54.50396198,-68.80416404,2015,2015-02-03,"Salmo trutta",2,"Gill Net Experimental","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005260","Lago Fagnano","Lago Fagnano",-54.50396198,-68.80416404,2015,2015-02-03,"Salvelinus fontinalis",3,"Gill Net Experimental","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005267","Lago Fagnano","Lago Fagnano",-54.50390699,-68.80638901,2015,2015-02-03,"Salvelinus fontinalis",1,"Gill Net Aplochitonera 3mX10m","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005308","Lago Fagnano","Lago Fagnano",-54.50390699,-68.80638901,2015,2015-02-04,"Galaxias platei",12,"Minnow Trap, Electric fishing","Maryse Boisjoly, Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005324","Lago Fagnano","Lago Fagnano",-54.50390699,-68.80638901,2015,2015-02-04,"Oncorhynchus mykiss",2,"Electric fishing","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005329","Lago Fagnano","Lago Fagnano",-54.50390699,-68.80638901,2015,2015-02-04,"Salmo trutta",1,"Electric fishing","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005320","Lago Fagnano","Lago Fagnano",-54.50390699,-68.80638901,2015,2015-02-04,"Salvelinus fontinalis",8,"Electric fishing","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005268","Lago Fagnano","Lago Fagnano",-54.50338203,-68.80394502,2015,2015-02-03,"Oncorhynchus mykiss",2,"Gill Net Aplochitonera 3mX5m  X2","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.","(Correa and Hendry 2012)","Correa.Boisjoly.collection.000118","Frío","Lago Frío",-45.667534,-71.943801,2007,2007-02-13,"Galaxias platei",1,"Trapping","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781.","(Correa et al. 2012) | (Correa and Hendry 2012)","Correa.Boisjoly.collection.000119","Frío","Lago Frío",-45.667534,-71.943801,2007,2007-02-14,"Galaxias platei",14,"Trapping, Bottom gillnet S, Bottom gillnet L","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781.","(Correa et al. 2012) | (Correa and Hendry 2012)","Correa.Boisjoly.collection.000135","Frío","Lago Frío",-45.667534,-71.943801,2007,2007-02-14,"Oncorhynchus mykiss",33,"Bottom gillnet S, Bottom gillnet L","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.","(Correa and Hendry 2012)","Correa.Boisjoly.collection.000163","Frío","Lago Frío",-45.667534,-71.943801,2007,2007-04-08,"Oncorhynchus mykiss",6,"Electric fishing","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781.","(Correa et al. 2012) | (Correa and Hendry 2012)","Correa.Boisjoly.collection.002930","Frío","Lago Frío",-45.667534,-71.943801,2009,2009-03-31,"Galaxias platei",4,"Electric fishing","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781.","(Correa et al. 2012) | (Correa and Hendry 2012)","Correa.Boisjoly.collection.002932","Frío","Lago Frío",-45.667534,-71.943801,2009,2009-03-31,"Oncorhynchus mykiss",2,"Electric fishing","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781.","(Correa et al. 2012) | (Correa and Hendry 2012)","Correa.Boisjoly.collection.002980","Frío","Lago Frío",-45.667534,-71.943801,2009,2009-04-01,"Oncorhynchus mykiss",11,"Bottom gillnet S (tip)","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006628","Huelde","Lago Huelde",-42.59660502,-74.11639198,2017,2017-02-19,"Eleginops maclovinus",1,"Minnow Trap","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006629","Huelde","Lago Huelde",-42.59547103,-74.11670596,2017,2017-02-19,"Cheirodon",4,"Minnow Trap","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006626","Huelde","Lago Huelde",-42.59547103,-74.11670596,2017,2017-02-19,"Eleginops maclovinus",2,"Minnow Trap","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006610","Huelde","Lago Huelde",-42.595107,-74.117177,2017,2017-02-19,"Cheirodon",20,"Minnow Trap","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006634","Huelde","Lago Huelde",-42.595107,-74.117177,2017,2017-02-19,"Galaxias platei",2,"Minnow Trap","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004152","Huelde","Lago Huelde",-42.594972,-74.116972,2011,2011-01-23,"Cheirodon",1,"Trapping","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004138","Huelde","Lago Huelde",-42.594972,-74.116972,2011,2011-01-23,"Eleginops maclovinus",1,"Trapping","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004136","Huelde","Lago Huelde",-42.594972,-74.116972,2011,2011-01-23,"Galaxias maculatus",15,"Trapping","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006287","Huelde","Lago Huelde",-42.594972,-74.116972,2013,2013-02-24,"Salmo trutta",2,"Gill Net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006289","Huelde","Lago Huelde",-42.594972,-74.116972,2013,2013-02-26,"Salmo trutta",2,"Gill Net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006294","Huelde","Lago Huelde",-42.594972,-74.116972,2013,2013-02-27,"Aplochiton marinus",1,"Trolling","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006293","Huelde","Lago Huelde",-42.594972,-74.116972,2013,2013-02-27,"Salmo trutta",2,"Trolling","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006291","Huelde","Lago Huelde",-42.594972,-74.116972,2013,2013-02-28,"Aplochiton marinus",2,"Gill Net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006292","Huelde","Lago Huelde",-42.594972,-74.116972,2013,2013-02-28,"Odontesthes brevianalis",1,"Gill Net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006296","Huelde","Lago Huelde",-42.594972,-74.116972,2013,2013-02-28,"Salmo trutta",3,"Gill Net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004385","Huelde","Lago Huelde",-42.594972,-74.116972,2014,2014-02-22,"Aplochiton marinus",1,"Gill Net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Alò, D., Correa, C., Arias, C., and Cárdenas, L. 2013. Diversity of Aplochiton fishes (Galaxiidea) and the taxonomic resurrection of A. marinus. PLoS ONE 8(8): e71577.","(Alò et al. 2013)","Correa.Boisjoly.collection.004076","Huelde","Lago Huelde",-42.594961,-74.116986,2011,2011-01-23,"Aplochiton marinus",5,"Bottom gillnet S","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004129","Huelde","Lago Huelde",-42.594961,-74.116986,2011,2011-01-23,"Odontesthes brevianalis",6,"Bottom gillnet S","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004132","Huelde","Lago Huelde",-42.594961,-74.116986,2011,2011-01-23,"Salmo trutta",1,"Bottom gillnet S","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006609","Huelde","Lago Huelde",-42.59489402,-74.117057,2017,2017-02-19,"Aplochiton marinus",1,"Fyke net","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004476","Huelde","Lago Huelde",-42.59384796,-74.11419097,2014,2014-02-26,"Galaxias maculatus",10,"Seine net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004425","Huelde","Lago Huelde",-42.59384796,-74.11419097,2014,2014-02-26,"Galaxias platei",1,"Seine net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004411","Huelde","Lago Huelde",-42.59267097,-74.11498197,2014,2014-02-24,"Cheirodon",13,"Seine net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004448","Huelde","Lago Huelde",-42.59267097,-74.11498197,2014,2014-02-24,"Eleginops maclovinus",3,"Seine net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004443","Huelde","Lago Huelde",-42.59267097,-74.11498197,2014,2014-02-24,"Galaxias maculatus",1005,"Seine net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006611","Huelde","Lago Huelde",-42.59223302,-74.114498,2017,2017-02-19,"Aplochiton marinus",5,"Gill Net Aplochitonera 3mX5m  X2","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006616","Huelde","Lago Huelde",-42.58984099,-74.11244301,2017,2017-02-19,"Aplochiton marinus",6,"Gill Net Aplochitonera 3mX10m","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006622","Huelde","Lago Huelde",-42.58984099,-74.11244301,2017,2017-02-19,"Eleginops maclovinus",1,"Gill Net Aplochitonera 3mX10m","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006623","Huelde","Lago Huelde",-42.58984099,-74.11244301,2017,2017-02-19,"Galaxias platei",1,"Gill Net Aplochitonera 3mX10m","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
