"bibliographicCitation","associatedReferences","occurrenceID","locationRemarks","locality","decimalLatitude","decimalLongitude","year","eventDate","scientificName","individualCount","samplingProtocol","recordedBy","license","rightsHolder","accessRights","datasetName","datasetName_tmp","basisOfRecord"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.008724","Curaco de Velez","Curaco de Velez",-42.440608,-73.603339,2017,2017-02-28,"Galaxias maculatus",4,"Casting Net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006552","Estero Anguai (Chepu)","Estero Anguai, Chepu",-42.046985,-73.972036,2017,2017-02-16,"Aplochiton marinus",7,"Trolling","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006559","Estero Anguai (Chepu)","Estero Anguai, Chepu",-42.04687203,-73.97126704,2017,2017-02-16,"Aplochiton marinus",18,"Gill Net Aplochitonera 3mX5m  X2","Cristian Correa, Camila Sola, Consuelo Guevara, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006560","Estero Anguai (Chepu)","Estero Anguai, Chepu",-42.04670498,-73.97106503,2017,2017-02-16,"Aplochiton marinus",4,"Gill Net Aplochitonera 1.5mX7m","Cristian Correa, Camila Sola, Consuelo Guevara, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006561","Estero Anguai (Chepu)","Estero Anguai, Chepu",-42.04620902,-73.97086102,2017,2017-02-16,"Aplochiton marinus",4,"Fyke net","Cristian Correa, Camila Sola, Consuelo Guevara, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006572","Estero Anguai (Chepu)","Estero Anguai, Chepu",-42.04620902,-73.97086102,2017,2017-02-16,"Eleginops maclovinus",5,"Fyke net","Cristian Correa, Camila Sola, Consuelo Guevara, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.011957","Valle Exploradores","Estero Mallín, Estación U de Chile",-46.296692,-73.407726,2023,2023-01-25,"Galaxias maculatus",7,"Minnow Trap","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006219","Río Santa María","Estrecho de Magallanes",-53.68112102,-70.97443499,2015,2015-02-20,"Galaxias maculatus",80,"Gill Net","Fishermen","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005454","Río Santa María","Estrecho de Magallanes",-53.68112102,-70.97443499,2015,2015-02-20,"Oncorhynchus kisutch",10,"Gill Net","Fishermen","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005465","Río Santa María","Estrecho de Magallanes",-53.68112102,-70.97443499,2015,2015-02-21,"Oncorhynchus kisutch",16,"Gill Net","Fishermen","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
