"occurrenceID","locality","institutionID","institutionCode","recordedBy","year","kingdom","genus","decimalLongitude","coordinateUncertaintyInMeters","decimalLatitude","basisOfRecord","collectionCode","verbatimEventDate","catalogNumber","eventDate","collectionID","family","scientificName","waterBody","individualCount","lifeStage","typeStatus","datasetName","samplingProtocol","organismQuantityType","recordNumber","organismQuantity","uuid","Identification"
"9d202cb2-20df-4b8c-9f69-82115aeedc30","Fish market","http://grbio.org/cool/iakn-125z","KU","Hartel, Karsten E",1994,"Animalia",NA,-70.1330032,NA,-53.1669998,"MaterialSample","KUIT",NA,"929","1994-10-01",NA,"Congridae","Congridae",NA,NA,NA,NA,"iDigBio; University of Kansas Biodiversity Institute Fish Tissue Collection",NA,NA,NA,NA,"6e136a29-8f60-4f70-89c0-18d1389e2855","NULL"
"MCZ:Ich:147913","off Straits of Magellan, Sandy Point","b4640710-8e03-11d8-b956-b8a03c50a862","MCZ","Hassler Expedition",1872,"Animalia","Odontesthes",-70.87788,5292,-53.16117,"PreservedSpecimen","Ich","16/3/1872-16/3/1872","147913","1872-03-16",NA,"Atherinopsidae","Odontesthes smitti (Lahille, 1929)","Pacific, Southeast",1,"adult",NA,"iDigBio",NA,NA,NA,NA,"3f3278c1-f8b2-4b5b-93af-f1bef21ae69e","list(`dwc:identifiedBy` = ""Bryan S. Dyer"", `dwc:identificationRemarks` = ""[MUSE DETERMINER: Dyer_BS/1995]"", `dwc:identificationVerificationStatus` = ""migration"", coreid = ""MCZ:Ich:147913"", `dwc:identificationID` = ""930396"", `dwc:scientificName` = ""Odontesthes smitti"")"
"MCZ:Ich:18133","off Straits of Magellan, Sandy Point","b4640710-8e03-11d8-b956-b8a03c50a862","MCZ","Hassler Expedition",1872,"Animalia","Odontesthes",-70.87788,5292,-53.16117,"PreservedSpecimen","Ich","16/3/1872-16/3/1872","18133","1872-03-16",NA,"Atherinopsidae","Odontesthes humensis","Pacific, Southeast",2,"adult",NA,"iDigBio",NA,NA,NA,NA,"4219dfb5-cc93-45b6-8025-8e945e12d89f","list(`dwc:identifiedBy` = c(""Bryan S. Dyer"", NA), `dwc:identificationRemarks` = c(""[MUSE DETERMINER: Dyer_BS/1995]"", ""[MUSE DETERMINER: ]""), `dwc:identificationVerificationStatus` = c(""migration"", ""migration""), coreid = c(""MCZ:Ich:18133"", ""MCZ:Ich:18133""), `dwc:identificationID` = c(""805108"", ""805109""), `dwc:scientificName` = c(""Odontesthes humensis"", ""Atherinichthys laticlavia""))"
"MCZ:Ich:18135","off Straits of Magellan, Sandy Point","b4640710-8e03-11d8-b956-b8a03c50a862","MCZ","Hassler Expedition",1872,"Animalia","Atherinichthys",-70.87788,5292,-53.16117,"PreservedSpecimen","Ich","16/3/1872-16/3/1872","18135","1872-03-16",NA,"Atherinopsidae","Atherinichthys laticlavia","Pacific, Southeast",5,"adult",NA,"iDigBio",NA,NA,NA,NA,"5f7608e6-5bb4-4fef-af6c-42db254198eb","list(`dwc:identificationRemarks` = ""[MUSE DETERMINER: ]"", `dwc:identificationVerificationStatus` = ""migration"", coreid = ""MCZ:Ich:18135"", `dwc:identificationID` = ""967039"", `dwc:scientificName` = ""Atherinichthys laticlavia"")"
"MCZ:Ich:18134","off Straits of Magellan, Sandy Point","b4640710-8e03-11d8-b956-b8a03c50a862","MCZ","Hassler Expedition",1872,"Animalia","Odontesthes",-70.87788,5292,-53.16117,"PreservedSpecimen","Ich","16/3/1872-16/3/1872","18134","1872-03-16",NA,"Atherinopsidae","Odontesthes smitti (Lahille, 1929)","Pacific, Southeast",10,"adult",NA,"iDigBio",NA,NA,NA,NA,"6433ff33-ac9b-4790-899c-25a0898402d2","list(`dwc:identifiedBy` = c(""Bryan S. Dyer"", NA), `dwc:identificationRemarks` = c(""[MUSE DETERMINER: Dyer_BS/1995]"", ""[MUSE DETERMINER: ]""), `dwc:identificationVerificationStatus` = c(""migration"", ""migration""), coreid = c(""MCZ:Ich:18134"", ""MCZ:Ich:18134""), `dwc:identificationID` = c(""805110"", ""805111""), `dwc:scientificName` = c(""Odontesthes smitti"", ""Atherinichthys laticlavia""))"
"MCZ:Ich:18136","off Straits of Magellan, Sandy Point","b4640710-8e03-11d8-b956-b8a03c50a862","MCZ","Hassler Expedition",1872,"Animalia","Odontesthes",-70.87788,5292,-53.16117,"PreservedSpecimen","Ich","16/3/1872-16/3/1872","18136","1872-03-16",NA,"Atherinopsidae","Odontesthes smitti (Lahille, 1929)","Pacific, Southeast",1,"adult",NA,"iDigBio",NA,NA,NA,NA,"e22b0ed1-1340-40ce-b8b0-ea7524c5a98e","list(`dwc:identifiedBy` = c(""Bryan S. Dyer"", NA), `dwc:identificationRemarks` = c(""[MUSE DETERMINER: Dyer_BS/1995]"", ""[MUSE DETERMINER: ]""), `dwc:identificationVerificationStatus` = c(""migration"", ""migration""), coreid = c(""MCZ:Ich:18136"", ""MCZ:Ich:18136""), `dwc:identificationID` = c(""805112"", ""805113""), `dwc:scientificName` = c(""Odontesthes smitti"", ""Atherinichthys laticlavia""))"
"MCZ:Ich:18137","off Straits of Magellan, Sandy Point","b4640710-8e03-11d8-b956-b8a03c50a862","MCZ","Hassler Expedition",1872,"Animalia","Odontesthes",-70.87788,5292,-53.16117,"PreservedSpecimen","Ich","16/3/1872-16/3/1872","18137","1872-03-16",NA,"Atherinopsidae","Odontesthes smitti (Lahille, 1929)","Pacific, Southeast",11,"adult",NA,"iDigBio",NA,NA,NA,NA,"e36661a9-104f-436b-b0ef-a7658d6429ee","list(`dwc:identifiedBy` = c(""Bryan S. Dyer"", NA), `dwc:identificationRemarks` = c(""[MUSE DETERMINER: Dyer_BS/1995]"", ""[MUSE DETERMINER: ]""), `dwc:identificationVerificationStatus` = c(""migration"", ""migration""), coreid = c(""MCZ:Ich:18137"", ""MCZ:Ich:18137""), `dwc:identificationID` = c(""805114"", ""805115""), `dwc:scientificName` = c(""Odontesthes smitti"", ""Atherinichthys laticlavia""))"
"http://n2t.net/ark:/65665/3464f9eac-305d-488e-b987-17740e201584","Sandy Point (Punta Arenas), Straits of Magellan.","urn:lsid:biocol.org:col:34871","USNM",NA,1887,"Animalia","Austromenidia",-70.92,NA,-53.17,"PreservedSpecimen","FISH","1887 00 00 - 1888 00 00","USNM 77298","1887/1888","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Atherinopsidae","Austromenidia nigricans","South Pacific Ocean",1,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"7d3d7686-81de-4d56-979a-716977b66998","NULL"
"http://n2t.net/ark:/65665/371b3212f-ded5-4902-a4cc-316509090a03","Gregory Bay, Straits of Magellan.","urn:lsid:biocol.org:col:34871","USNM",NA,1888,"Animalia","Austromenidia",-70.33,NA,-52.67,"PreservedSpecimen","FISH","1888 Jan 00 - 1888 Feb 00","USNM 77300","1888-01/1888-02","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Atherinopsidae","Austromenidia nigricans","South Pacific Ocean",1,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"d3a7a32a-6fb3-4dac-8420-f6e6826b8236","NULL"
"urn:catalog:CAS:ICH:44702","Peulta, Lake Todos Los Santos","http://grscicoll.org/institution/california-academy-sciences","CAS","Eigenmann, Carl H.",1919,"Animalia","Cauque",-72.021984,946,-41.085732,"PreservedSpecimen","ICH",NA,"44702","1919-02-27","http://grscicoll.org/institutional-collection/cas-ichthyology","Atherinopsidae","Cauque mauleanum",NA,6,NA,NA,"iDigBio",NA,NA,NA,NA,"70b52633-d208-410b-86fd-ae7384a43dcd","NULL"
"http://n2t.net/ark:/65665/321061804-36be-4b57-905e-7475226b6fa1","Chile, Castro","urn:lsid:biocol.org:col:34871","USNM",NA,1945,"Animalia","Odontesthes",-72.77,NA,-42.48,"PreservedSpecimen","FISH","1945 Jan 20 - 0000 00 00","USNM 176559","1945-01-20","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Atherinopsidae","Odontesthes","South Pacific Ocean",88,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"3c0a06f7-526f-43ba-a378-657674ee218c","NULL"
"http://n2t.net/ark:/65665/36102ecb3-173d-4bcc-8f7b-b63d3aeb48c2","Chile, Castro","urn:lsid:biocol.org:col:34871","USNM",NA,1945,"Animalia","Odontesthes",-72.77,NA,-42.48,"PreservedSpecimen","FISH","1945 Jan 20 - 0000 00 00","USNM 176568","1945-01-20","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Atherinopsidae","Odontesthes","South Pacific Ocean",22,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"f9360bab-15b7-42d2-95d8-ca86e01bcab5","NULL"
"http://n2t.net/ark:/65665/3c9bdf3bc-f24e-4dec-a934-e42255c1dfba","Chile, Tictoc Bay","urn:lsid:biocol.org:col:34871","USNM","Derris",1945,"Animalia","Odontesthes",-73,NA,-43.62,"PreservedSpecimen","FISH","1945 Jan 24 - 0000 00 00","USNM 176502","1945-01-24","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Atherinopsidae","Odontesthes","South Pacific Ocean",6,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"da4664d3-f5a6-4e86-a119-e46e5c16c14f","NULL"
"http://n2t.net/ark:/65665/3aaed69e8-39af-4416-908b-d5ec273c439c","Chile, Quellon (Chiloe Island)","urn:lsid:biocol.org:col:34871","USNM",NA,1945,"Animalia","Austromenidia",-73.62,NA,-43.13,"PreservedSpecimen","FISH","1945 Feb 02 - 1945 Feb 03","USNM 176552","1945-02-02/1945-02-03","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Atherinopsidae","Austromenidia","South Pacific Ocean",15,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"869e57d8-c089-4514-9595-40a83ee73d8d","NULL"
"http://n2t.net/ark:/65665/3db2cd0c0-540d-45c5-bf06-ed969c0984e8","Chile, Archao, Chiloe Island, Chiloe Bay","urn:lsid:biocol.org:col:34871","USNM",NA,1945,"Animalia","Odontesthes",-73.5,NA,-42.47,"PreservedSpecimen","FISH","1945 Feb 05 - 0000 00 00","USNM 176484","1945-02-05","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Atherinopsidae","Odontesthes","South Pacific Ocean, Chiloe Bay",10,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"a2fb7b93-2594-4d46-951f-c4fa18eb2224","NULL"
"9dad17d9-752e-4798-a466-3768051e6c41","Punta Arenas, on beach","https://scientific-collections.gbif.org/institution/2fc908ba-e775-49e2-bffe-6b9041c3b70f","LACM","John Fitch",1966,"Animalia","Atherinidae",-70.9,NA,-53.15,"PreservedSpecimen","Fish",NA,"44141.001","1966-03-26","https://scientific-collections.gbif.org/collection/439095a6-e9e0-412b-b770-2a9200251977","Atherinidae","Atherinidae","Eastern Pacific",1,NA,NA,"iDigBio; LACM Vertebrates",NA,"individuals",NA,"1","70c73d5e-1635-4450-8e1c-ea9f3c7304af","NULL"
"http://n2t.net/ark:/65665/3bd24d148-0689-4a2b-882a-cb70ca190abe","500 meters off Punta Tern, in canal Whiteside, Isla Dawson, Chile.","urn:lsid:biocol.org:col:34871","USNM",NA,1969,"Animalia","Austromenidia",-70.4,NA,-53.83,"PreservedSpecimen","FISH","1969 May 03 - 0000 00 00","USNM 305673","1969-05-03","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Atherinopsidae","Austromenidia smitti","South Pacific Ocean",6,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"9537881e-5f36-48e3-afe8-2427ab561a0a","NULL"
"daaaa010-2911-4dee-90d1-57bb6da0b964","Punta Arenas, fish market (ex. Coop. Pescadores), Prov. Magallanes, XII Region; Straits of Magellan",NA,"UMMZ","B.S. Dyer and party",1990,NA,"Odontesthes",-71.6833333,NA,-53.0833333,"PreservedSpecimen","ummz_fish",NA,"218448","1990-01-19",NA,"Atherinidae","Odontesthes",NA,NA,NA,NA,"iDigBio; Fish","bought",NA,NA,NA,"bdd76988-5b52-40a3-8935-da55d5d7f219","NULL"
"5d7ec756-68f1-459f-8ea3-0f66972a6675","Lago Cochrane, Prov. Capitan Prat, XI Region; Rio Baker drainage",NA,"UMMZ","BS Dyer, and A Ormeno",1990,NA,"Odontesthes",-72.25,NA,-47.25,"PreservedSpecimen","ummz_fish",NA,"218450","1990-01-27",NA,"Atherinidae","Odontesthes",NA,NA,NA,NA,"iDigBio; Fish","Bag seine",NA,NA,NA,"30bd9d8f-061c-4c63-a393-5b637f625293","NULL"
"3dde06a8-3272-4aab-ac02-226f95fdf9da","Lago Cochrane, approximately 1 km East of Rancho 'La Gauchita' (Mondelo family) at Pescadero de Las Truchas, a *",NA,"UMMZ","BS Dyer, and A Ormeno",1990,NA,"Odontesthes",-72.25,NA,-47.25,"PreservedSpecimen","ummz_fish",NA,"218449","1990-01-27",NA,"Atherinidae","Odontesthes",NA,NA,NA,NA,"iDigBio; Fish","gill net",NA,NA,NA,"d837d4a5-dd6a-41b6-837f-db30d76140e6","NULL"
"d228542f-f228-46fc-bcf4-1c7ddb2fc864","Laguna Esmeralda, about 5 km South of Cochrane on road to Puerto Yungay, Prov. Capitan Prat, XI Region; Rio Baker dr.",NA,"UMMZ","BS Dyer, and C Ormeno",1990,NA,"Odontesthes",-72.6,NA,-47.3333333,"PreservedSpecimen","ummz_fish",NA,"218452","1990-01-28",NA,"Atherinidae","Odontesthes",NA,NA,NA,NA,"iDigBio; Fish","gill net",NA,NA,NA,"5d9314c4-ee94-48e7-8499-e60bd798b7b2","NULL"
"39d07435-7a5b-48cc-9c2c-7c30c7fb2fc5","Puerto Chacabuco, Aysen, XI Region",NA,"UMMZ","BS Dyer and party (from Friosur freezer)",1990,NA,"Odontesthes",-72.819134,NA,-45.463093,"PreservedSpecimen","ummz_fish",NA,"218607","1990-02-01",NA,"Atherinidae","Odontesthes",NA,NA,NA,NA,"iDigBio; Fish",NA,NA,NA,NA,"af07f0ca-a1c9-4904-a170-f01d91bb0201","NULL"
"a6453ec9-6d6b-45f7-8e87-26b60f54e182","Quitrako Fjord, close to Skorpios Thermal Baths, Prov. Aysen, XI Region; Pacific drainage",NA,"UMMZ","Fishermen for M/N Skorpios",1990,NA,"Odontesthes",-73.1666667,NA,-45.5333333,"PreservedSpecimen","ummz_fish",NA,"218453","1990-02-05",NA,"Atherinidae","Odontesthes",NA,NA,NA,NA,"iDigBio; Fish","gill net;'medialuna'",NA,NA,NA,"42a3e260-1fca-4dff-a64e-0aa7242aa1af","NULL"
"54b37374-8204-4ca1-aa6f-b9e20203aeb3","Punta Peuque, opposite Rauco, Seno de Castro, Prov. Chiloe, X Region",NA,"UMMZ","Fishermen, Castro",1990,NA,"Odontesthes",-73.7666667,NA,-42.55,"PreservedSpecimen","ummz_fish",NA,"218455","1990-02-08",NA,"Atherinidae","Odontesthes",NA,NA,NA,NA,"iDigBio; Fish","gill net",NA,NA,NA,"42a1a551-b56d-4705-b1a6-8251825cce09","NULL"
"70e83311-ce23-4fd8-a08a-560015ddfe7a","Castro, at port, Prov. Chiloe, X Region, Pacific Region",NA,"UMMZ","BS Dyer (on board of M/N Skorpios)",1990,NA,"Odontesthes",-73.7666667,NA,-42.4833333,"PreservedSpecimen","ummz_fish",NA,"218456","1990-02-08",NA,"Atherinidae","Odontesthes",NA,NA,NA,NA,"iDigBio; Fish","hook and line",NA,NA,NA,"e4f92bd2-fef2-45ce-aa8e-578fb7c86d25","NULL"
"9a06c6a1-c09a-4e03-9496-8c1bea2c0199",NA,NA,"AM","Beheregaray, B. Luciano|Macquarie University",1997,"Animalia",NA,-72.93694,10000,-41.47166,"PRESERVED_SPECIMEN","Ichthyology",NA,"I.44107-001","1997-08-14",NA,"Atherinidae","ATHERINIDAE",NA,NA,NA,NA,"iDigBio","unknown",NA,NA,NA,"0c45e2ad-8eb7-403f-9d74-f5eb609b70bf","NULL"
"urn:uuid:96497589-0d35-4e90-9efb-888b30c95e48","Brunswick Peninsula: Punta Arenas Fish Market",NA,"YPM","Kristen L. Kuhn, Jon A. Moore, Jillian N. Pennington",2009,"Animalia","Odontesthes",-70.890239,5292,-53.158695,"PreservedSpecimen","VZ",NA,"YPM ICH 022629.002","2009-02-04",NA,"Atherinidae","Odontesthes regia",NA,1,NA,NA,"iDigBio",NA,NA,NA,NA,"4fee3f2a-3917-4e23-9557-4f81addc1c24","NULL"
"urn:uuid:e4bbdc9e-c32e-4a50-81a2-97a04338145d","Brunswick Peninsula: Punta Arenas Fish Market",NA,"YPM","Kristen L. Kuhn, Jon A. Moore, Jillian N. Pennington",2009,"Animalia","Odontesthes",-70.890239,5292,-53.158695,"PreservedSpecimen","VZ",NA,"YPM ICH 022629.001","2009-02-04",NA,"Atherinidae","Odontesthes regia",NA,1,NA,NA,"iDigBio",NA,NA,NA,NA,"e1001f35-549e-4807-9b00-fd12a82e9a20","NULL"
"urn:catalog:CAS:SU(ICH):22734","Laredo Bay.","http://grscicoll.org/institution/california-academy-sciences","CAS","U.S. Fish Commission",NA,"Animalia","Austromenidia",-70.792139,2333,-52.968576,"PreservedSpecimen","SU(ICH)",NA,"22734",NA,"http://grscicoll.org/institutional-collection/cas-ichthyology","Atherinopsidae","Austromenidia alburnus","Estrecho de Magallanes",3,NA,NA,"iDigBio",NA,NA,NA,NA,"03a46c70-d544-4a9a-93ba-d7c57a4822f5","NULL"
"urn:catalog:CAS:SU(ICH):22733","Straits of Magellan; Sandy Point.","http://grscicoll.org/institution/california-academy-sciences","CAS","U.S. Fish Commission",NA,"Animalia","Menidia",-70.877879,5292,-53.161165,"PreservedSpecimen","SU(ICH)",NA,"22733",NA,"http://grscicoll.org/institutional-collection/cas-ichthyology","Atherinopsidae","Menidia alburnus",NA,1,NA,NA,"iDigBio",NA,NA,NA,NA,"ed0734c0-faf8-4a35-b541-942fd451d54d","NULL"
"urn:catalog:CAS:ICH:69187","R. Pescado.","http://grscicoll.org/institution/california-academy-sciences","CAS","Eigenmann, Carl H.",1919,"Animalia","Cheirodon",-72.795213,9106,-41.253568,"PreservedSpecimen","ICH",NA,"69187","1919-03-10","http://grscicoll.org/institutional-collection/cas-ichthyology","Characidae","Cheirodon australe",NA,3,NA,NA,"iDigBio",NA,NA,NA,NA,"e8c7daa0-2f6a-4aaa-baf7-34b060225a4a","NULL"
"7f222413-e849-4f05-beaf-666942b069b5","Magellan Strait",NA,"NHMUK",NA,NA,NA,"Clupea",-69.8916667,NA,-52.6583333,"PreservedSpecimen","ZOO",NA,"1936.8.26.234-244",NA,NA,"Clupeidae","Clupea fuegensis Jenyns, 1842","Southeast Pacific Ocean, Southeast Pacific Ocean",11,NA,NA,"iDigBio",NA,NA,NA,NA,"4b748bb2-8928-4f55-8944-266479579fd1","NULL"
"http://n2t.net/ark:/65665/3abb64f63-e6b8-4874-b048-d60c6b38f0ff","Chile, Auellon (Chiloe Island)","urn:lsid:biocol.org:col:34871","USNM",NA,1945,"Animalia","Sprattus",-73.62,NA,-43.13,"PreservedSpecimen","FISH","1945 Feb 02 - 1945 Feb 03","USNM 176551","1945-02-02/1945-02-03","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Clupeidae","Sprattus fuegensis","South Pacific Ocean",6,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"84c87f86-9752-4db6-b24b-736577257816","NULL"
"aeac88df-07d4-4283-aa88-3c42f3270eca","Straits of Magellan","https://scientific-collections.gbif.org/institution/2fc908ba-e775-49e2-bffe-6b9041c3b70f","LACM","USNS Eltanin",1964,"Animalia","Clupeidae",-70.78,NA,-53.48,"PreservedSpecimen","Fish",NA,"57127.001","1964-02-15","https://scientific-collections.gbif.org/collection/439095a6-e9e0-412b-b770-2a9200251977","Clupeidae","Clupeidae","Southeastern Pacific",5,NA,NA,"iDigBio; LACM Vertebrates","Capture Method: Engine Room water strainer | Vessel: USNS Eltanin","individuals","Elt. 982","5","01536dda-1c11-4d92-85f9-83f8957dc45f","NULL"
"c38c22f0-2cab-47c7-b965-cddd87808346","Puerto Chacabuco, Aysen, XI Region",NA,"UMMZ","BS Dyer and party (from Friosur freezer)",1990,NA,"Clupea",-72.819134,NA,-45.463093,"PreservedSpecimen","ummz_fish",NA,"218608","1990-02-01",NA,"Clupeidae","Clupea",NA,NA,NA,NA,"iDigBio; Fish",NA,NA,NA,NA,"e3359209-29af-4e70-970f-86a3daf14d05","NULL"
"8e41ea54-eb9b-427f-8660-9b6573c33991","Gulf of Penas, Chile",NA,"NHMUK",NA,NA,NA,"Macrurus",-74.7833333,NA,-47.8083333,"PreservedSpecimen","ZOO",NA,"1887.12.7.73",NA,NA,"Macrouridae","Macrurus fasciatus Günther, 1878","Southeast Pacific Ocean",1,NA,"SYNTYPE","iDigBio","Trawl",NA,NA,NA,"81e72816-d6cd-4406-a0c1-21ef300445d6","NULL"
"5d10ba57-d6c8-41d8-8289-ce19ba532d0b","Gulf of Penas, Chile",NA,"NHMUK",NA,NA,NA,"Lotella",-74.7833333,NA,-47.8083333,"PreservedSpecimen","ZOO",NA,"1887.12.7.23-24",NA,NA,"Moridae","Lotella marginata Günther, 1878","Southeast Pacific Ocean",2,NA,"SYNTYPE(S)","iDigBio","Trawl",NA,NA,NA,"f0a4cdfe-8cd9-4893-ab33-7b1003fbeb5d","NULL"
"92c8ac43-d102-44b4-9e65-7a817aefe0ae","Messier Channel, Chile",NA,"NHMUK",NA,NA,NA,"Lotella",-74.3916667,NA,-49.4083333,"PreservedSpecimen","ZOO",NA,"1879.5.14.44",NA,NA,"Moridae","Lotella marginata Macleay, 1881","Southeast Pacific Ocean",1,NA,"SYNTYPE","iDigBio","Trawl",NA,NA,NA,"47705e91-3858-4d81-a22d-2d1816ebd554","NULL"
"f1f76bd9-886e-40b2-8b18-f9c476826691","Concepcion Channel, Chile",NA,"NHMUK",NA,NA,NA,"Lotella",-74.6833333,NA,-50.1416667,"PreservedSpecimen","ZOO",NA,"1890.2.26.136",NA,NA,"Moridae","Lotella marginata Macleay, 1881","Southeast Pacific Ocean",1,NA,"SYNTYPE","iDigBio","Trawl",NA,NA,NA,"5bb0f59f-d624-49d2-bf3a-ece22fceb2a0","NULL"
"64f82bdd-95fa-49ac-86e8-1f530e1f10f4","Concepcion Channel, Chile",NA,"NHMUK",NA,NA,NA,"Lotella",-74.6833333,NA,-50.1416667,"PreservedSpecimen","ZOO",NA,"1890.2.26.137",NA,NA,"Moridae","Lotella marginata Macleay, 1881","Southeast Pacific Ocean",1,NA,"SYNTYPE","iDigBio","Trawl",NA,NA,NA,"98a26b50-c231-4034-b84a-db251f05b501","NULL"
"6022ad75-c153-45ca-b289-e887583c91d0","Puerto Bueno",NA,"NHMUK",NA,NA,NA,"Macrurus",-74.25,NA,-50.9333333,"PreservedSpecimen","ZOO",NA,"1887.12.7.72",NA,NA,"Macrouridae","Macrurus fasciatus Günther, 1878","Southeast Pacific Ocean",2,NA,"SYNTYPE","iDigBio",NA,NA,NA,NA,"b5c4a585-3260-40e5-b14c-6f7896eb3836","NULL"
"a985f10f-8bbb-46cc-99b3-999107668073","South of Queen Adelaide Archipelago",NA,"NHMUK",NA,NA,NA,"Macrurus",-73.7666667,NA,-52.7583333,"PreservedSpecimen","ZOO",NA,"1898.12.30.1",NA,NA,"Macrouridae","Macrurus fasciatus Günther, 1878","Southeast Pacific Ocean",1,NA,"SYNTYPE","iDigBio","Trawl",NA,NA,NA,"83cdd4b4-e2af-46be-89aa-cd12dd568ff7","NULL"
"http://n2t.net/ark:/65665/30b496868-1b17-4b1b-9986-416d6becabd9","Port Churruca","urn:lsid:biocol.org:col:34871","USNM",NA,1888,"Animalia","Salilota",-73.87,NA,-53.1,"PreservedSpecimen","FISH","1888 Jan 00 - 1888 Feb 00","USNM 170837","1888-01/1888-02","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Moridae","Salilota australis","South Pacific Ocean",1,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"257bed01-2253-4363-b520-f191b8f4a51a","NULL"
"http://n2t.net/ark:/65665/377ff4f49-c5c3-44d3-a204-c769bbd80414","Off Chile, South America","urn:lsid:biocol.org:col:34871","USNM",NA,1888,"Animalia","Notophycis",-74.1417,NA,-51.0417,"PreservedSpecimen","FISH",NA,"USNM 77376","1888-02-06","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Moridae","Notophycis marginata","South Pacific Ocean",2,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"732d6e95-ee98-404c-b37d-314b2f0c413a","NULL"
"http://n2t.net/ark:/65665/3505f65a3-29cc-4b67-a9e8-8f999857e302","Off Chile, South America","urn:lsid:biocol.org:col:34871","USNM",NA,1888,"Animalia","Coelorinchus",-74.1417,NA,-51.0417,"PreservedSpecimen","FISH",NA,"USNM 77289","1888-02-06","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Macrouridae","Coelorinchus fasciatus","South Pacific Ocean",2,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"7638881c-e603-4fe6-b7b7-8dc0557f3a4a","NULL"
"urn:catalog:CAS:SU(ICH):23006","Between Wellington Island and mainland.","http://grscicoll.org/institution/california-academy-sciences","CAS","U.S. Fish Commission",1888,"Animalia","Coelorinchus",-74.4,NA,-48.683333,"PreservedSpecimen","SU(ICH)",NA,"23006","1888-02-08","http://grscicoll.org/institutional-collection/cas-ichthyology","Macrouridae","Coelorinchus fasciatus",NA,3,NA,NA,"iDigBio","large beam trawl",NA,NA,NA,"6586dc43-034d-4cfe-9a96-725e2b75a55d","NULL"
"http://n2t.net/ark:/65665/30579ca0b-1325-4f59-9f2d-d37e9c8c5880","Off Chile, South America","urn:lsid:biocol.org:col:34871","USNM",NA,1888,"Animalia","Coelorinchus",-74.4,NA,-48.6833,"PreservedSpecimen","FISH",NA,"USNM 77290","1888-02-08","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Macrouridae","Coelorinchus fasciatus","South Pacific Ocean",3,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"a0d28c82-e834-4bf7-b1b8-bd4a744d611b","NULL"
"http://n2t.net/ark:/65665/38daca310-2990-4dbb-a8bc-fea37f331d83","Off Chile, South America","urn:lsid:biocol.org:col:34871","USNM",NA,1888,"Animalia","Coelorhynchus",-74.4,NA,-48.6833,"PreservedSpecimen","FISH",NA,"USNM 76862","1888-02-08","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Macrouridae","Coelorhynchus patagoniae","South Pacific Ocean",1,NA,"Holotype","iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"e2601e44-8c02-4f0a-a779-2424149f45eb","NULL"
"3404522f-6141-4402-8aa4-b289bf867ad0","Punta Bueno (Pacific Ocean)",NA,"UMMZ","RL Fricke on 'Vagabondia'",1936,NA,"Salilota",-72.375043,NA,-53.568279,"PreservedSpecimen","ummz_fish",NA,"215343","1936-03-13",NA,"Moridae","Salilota",NA,NA,NA,NA,"iDigBio; Fish",NA,NA,NA,NA,"995bb027-a280-46f8-8072-ce12c184f47f","NULL"
