id_CC,Comment,duplicated,spatialClu,canonicalN,eventDate,year,locality,bibliograp,datasetNam,recordedBy,identified,catalogNum,institutio,institut_1,occurrence,occurren_1,collection,collecti_1,rObjectRan,decimalLat,decimalLon,scientific,individual,samplingPr,locationRe,license,rightsHold,accessRigh,basisOfRec,eventRemar,references,sex,lifeStage,establishm,dispositio,occurren_2,verbatimEv,eventTime,month,day,habitat,samplingEf,continent,country,countryCod,stateProvi,county,municipali,verbatimEl,verbatimLa,verbatimLo,kingdom,phylum,class,order,family,genus,specificEp,vernacular,coordinate,waterBody,typeStatus,organismQu,recordNumb,organism_1,uuid,Identifica,gbifID,datasetKey,species,infraspeci,taxonRank,verbatimSc,verbatim_1,publishing,coordina_1,elevation,elevationA,depth,depthAccur,taxonKey,speciesKey,dateIdenti,lastInterp,mediaType,issue,recorded_1,modified,taxonID,verbatimCo,verbatimSR,bibiograph,sampleSize,sampleSi_1,higherClas,startDayOf,geodeticDa,higherGeog,verbatim_2,eventID,language,georeferen,nomenclatu,endDayOfYe,georefer_1,georefer_2,georefer_3,preparatio,fieldNumbe,georefer_4,scientif_1,georefer_5,associated,otherCatal,dynamicPro,island,verbatimDe,maximumDep,minimumDep,footprintW,identifi_1,ownerInsti,islandGrou,identifi_2,previousId,locationAc,locationID,organismID,datasetID,associat_1,materialSa,subgenus,minimumEle,maximumEle,namePublis,scientif_2,namePubl_1,namePubl_2,verbatim_3,originalNa,associat_2,identifi_3,earliestAg,verbatimTa,formation,lithostrat,latestAgeO,group,member,lowestBios,highestBio,bed,earliestPe,earliestEp,latestEonO,earliestEr,earliestEo,latestEraO,geological,latestPeri,latestEpoc,scientif_3,IncludePew,Duplicate,Comment,.references,.associatedReferences,.decimalLat,.decimalLon,.locality,.year,.eventDate,.bibliographicCitation,.canonicalName,.scientificName,.catalogNumber,.recordedBy,.occurrenceID
1396,,false,475,Aplochiton zebra,2008-02-12,2008,"Chiloé, Río U49","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food",Darwin Initiative Fish Atlas,"Kyle Young, Jessica Stephenson, Anne-Flore Thailly",NA,NA,NA,NA,NA,NA,NA,NA,2,-42.7306,-73.62833,"Aplochiton zebra Jenyns, 1842",10,NA,U49A,CC BY-NC 4.0,Carlos García de Leaniz y Gonzalo Gajardo,not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Aplochiton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplochiton zebra,true,,,,,,,,,,,,,,,
1397,,false,475,Galaxias maculatus,2008-02-12,2008,"Chiloé, Río U49","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food",Darwin Initiative Fish Atlas,"Kyle Young, Jessica Stephenson, Anne-Flore Thailly",NA,NA,NA,NA,NA,NA,NA,NA,2,-42.7306,-73.62833,"Galaxias maculatus (Jenyns, 1842)",27,NA,U49A,CC BY-NC 4.0,Carlos García de Leaniz y Gonzalo Gajardo,not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Galaxias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galaxias maculatus,true,,,,,,,,,,,,,,,
1398,,false,475,Oncorhynchus mykiss,2008-02-12,2008,"Chiloé, Río U49","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food",Darwin Initiative Fish Atlas,"Kyle Young, Jessica Stephenson, Anne-Flore Thailly",NA,NA,NA,NA,NA,NA,NA,NA,2,-42.7306,-73.62833,"Oncorhynchus mykiss (Walbaum, 1792)",10,NA,U49A,CC BY-NC 4.0,Carlos García de Leaniz y Gonzalo Gajardo,not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhynchus mykiss,true,,,,,,,,,,,,,,,
1399,Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.,false,1788,Atheriniformes,1995-10-25,1995,,NA,GBIF,,,,SHOA,NA,CIMAR1_32_sp16,ABSENT,CIMAR1_Fernando Balbontin_larvas,NA,6,-43.6183,-73.6283,Atheriniformes,NA,NA,NA,CC_BY_NC_4_0,,NA,MATERIAL_SAMPLE,NA,NA,NA,NA,,NA,NA,NA,NA,10,25,NA,NA,NA,NA,CL,,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Atheriniformes,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,5189134526,217d4518-f786-4b75-b901-6d57de51a901,,,ORDER,Atheriniformes,,528e9373-674e-48d0-a641-d0ae998c5ba0,NA,NA,NA,85,85,496,NA,NA,2025-07-31 12:13:53.208,,INSTITUTION_MATCH_NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheriniformes,true,,Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.,,,,,,,,,,,,,
1400,Change canonicalName to Galaxias,false,214,Animalia,2017-02-13,2017,Río Huicha,"Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.",Fish Database Correa-Boisjoly,"Maryse Boisjoly, Consuelo Guevara",NA,NA,NA,NA,NA,NA,NA,NA,1,-41.88564797,-73.62790396,Galaxias,1,Dip net,Río Huicha,CC BY-NC 4.0,"Cristián Correa, orcid.org/0000-0002-8608-6858",not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KINGDOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galaxias sp.,true,,Change canonicalName to Galaxias,,,,,,,,,Galaxias,,,,
1401,,false,214,Brachygalaxias bullocki,2017-02-13,2017,Río Huicha,"Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.",Fish Database Correa-Boisjoly,"Cristian Correa, Camila Sola",NA,NA,NA,NA,NA,NA,NA,NA,1,-41.88564797,-73.62790396,"Brachygalaxias bullocki (Regan, 1908)",50,Casting Net,Río Huicha,CC BY-NC 4.0,"Cristián Correa, orcid.org/0000-0002-8608-6858",not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Brachygalaxias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brachygalaxias bulloki,true,,,,,,,,,,,,,,,
1402,,false,214,Oncorhynchus mykiss,2017-02-13,2017,Río Huicha,"Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.",Fish Database Correa-Boisjoly,"Cristian Correa, Camila Sola",NA,NA,NA,NA,NA,NA,NA,NA,1,-41.88564797,-73.62790396,"Oncorhynchus mykiss (Walbaum, 1792)",1,Casting Net,Río Huicha,CC BY-NC 4.0,"Cristián Correa, orcid.org/0000-0002-8608-6858",not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhynchus mykiss,true,,,,,,,,,,,,,,,
1403,,false,455,Galaxias maculatus,2008-02-05,2008,"Chiloé, Río U36","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food",Darwin Initiative Fish Atlas,"Kyle Young, Jessica Stephenson, Anne-Flore Thailly",NA,NA,NA,NA,NA,NA,NA,NA,2,-43.04641,-73.62746,"Galaxias maculatus (Jenyns, 1842)",80,NA,U36A,CC BY-NC 4.0,Carlos García de Leaniz y Gonzalo Gajardo,not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Galaxias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galaxias maculatus,true,,,,,,,,,,,,,,,
1404,,false,455,Oncorhynchus mykiss,2008-02-05,2008,"Chiloé, Río U36","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food",Darwin Initiative Fish Atlas,"Kyle Young, Jessica Stephenson, Anne-Flore Thailly",NA,NA,NA,NA,NA,NA,NA,NA,2,-43.04641,-73.62746,"Oncorhynchus mykiss (Walbaum, 1792)",6,NA,U36A,CC BY-NC 4.0,Carlos García de Leaniz y Gonzalo Gajardo,not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhynchus mykiss,true,,,,,,,,,,,,,,,
1405,,false,455,Salmo trutta,2008-02-05,2008,"Chiloé, Río U36","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food",Darwin Initiative Fish Atlas,"Kyle Young, Jessica Stephenson, Anne-Flore Thailly",NA,NA,NA,NA,NA,NA,NA,NA,2,-43.04641,-73.62746,"Salmo trutta Linnaeus, 1758",4,NA,U36A,CC BY-NC 4.0,Carlos García de Leaniz y Gonzalo Gajardo,not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Salmo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salmo trutta,true,,,,,,,,,,,,,,,
1406,Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.,false,1820,Atheriniformes,1995-10-24,1995,,NA,GBIF,,,,SHOA,NA,CIMAR1_34_sp16,ABSENT,CIMAR1_Fernando Balbontin_larvas,NA,6,-43.8,-73.6267,Atheriniformes,NA,NA,NA,CC_BY_NC_4_0,,NA,MATERIAL_SAMPLE,NA,NA,NA,NA,,NA,NA,NA,NA,10,24,NA,NA,NA,NA,CL,,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Atheriniformes,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,5189135349,217d4518-f786-4b75-b901-6d57de51a901,,,ORDER,Atheriniformes,,528e9373-674e-48d0-a641-d0ae998c5ba0,NA,NA,NA,90,90,496,NA,NA,2025-07-31 12:13:53.208,,INSTITUTION_MATCH_NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheriniformes,true,,Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.,,,,,,,,,,,,,
1407,,false,373,Galaxias maculatus,2007-05-18,2007,"Río Pilpilehue , Pilpilehue","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food",Darwin Initiative Fish Atlas,"Kyle Young, Jane McDonald",NA,NA,NA,NA,NA,NA,NA,NA,2,-42.73759,-73.62148,"Galaxias maculatus (Jenyns, 1842)",25,NA,RPI1,CC BY-NC 4.0,Carlos García de Leaniz y Gonzalo Gajardo,not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Galaxias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galaxias maculatus,true,,,,,,,,,,,,,,,
1408,,false,373,Salmo salar,2007-05-18,2007,"Río Pilpilehue , Pilpilehue","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food",Darwin Initiative Fish Atlas,"Kyle Young, Jane McDonald",NA,NA,NA,NA,NA,NA,NA,NA,2,-42.73759,-73.62148,"Salmo salar Linnaeus, 1758",1,NA,RPI1,CC BY-NC 4.0,Carlos García de Leaniz y Gonzalo Gajardo,not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Salmo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salmo salar,true,,,,,,,,,,,,,,,
1409,,false,380,Galaxias maculatus,2008-02-12,2008,"Río Punihuil, Rio Punihuil","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food",Darwin Initiative Fish Atlas,"Kyle Young, Jessica Stephenson, Anne-Flore Thailly",NA,NA,NA,NA,NA,NA,NA,NA,2,-42.73932,-73.62017,"Galaxias maculatus (Jenyns, 1842)",18,NA,RPI4,CC BY-NC 4.0,Carlos García de Leaniz y Gonzalo Gajardo,not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Galaxias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galaxias maculatus,true,,,,,,,,,,,,,,,
1410,,false,380,Oncorhynchus mykiss,2008-02-12,2008,"Río Punihuil, Rio Punihuil","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food",Darwin Initiative Fish Atlas,"Kyle Young, Jessica Stephenson, Anne-Flore Thailly",NA,NA,NA,NA,NA,NA,NA,NA,2,-42.73932,-73.62017,"Oncorhynchus mykiss (Walbaum, 1792)",28,NA,RPI4,CC BY-NC 4.0,Carlos García de Leaniz y Gonzalo Gajardo,not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhynchus mykiss,true,,,,,,,,,,,,,,,
1411,,false,481,Oncorhynchus mykiss,2008-02-22,2008,"Chiloé, Río U59","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food",Darwin Initiative Fish Atlas,"Kyle Young, Jessica Stephenson",NA,NA,NA,NA,NA,NA,NA,NA,2,-42.3891,-73.62015,"Oncorhynchus mykiss (Walbaum, 1792)",14,NA,U59A,CC BY-NC 4.0,Carlos García de Leaniz y Gonzalo Gajardo,not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhynchus mykiss,true,,,,,,,,,,,,,,,
1412,,false,374,Galaxias maculatus,2007-05-18,2007,"Río Pilpilehue , Pilpilehue","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food",Darwin Initiative Fish Atlas,"Kyle Young, Jane McDonald",NA,NA,NA,NA,NA,NA,NA,NA,2,-42.739,-73.62009,"Galaxias maculatus (Jenyns, 1842)",31,NA,RPI2,CC BY-NC 4.0,Carlos García de Leaniz y Gonzalo Gajardo,not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Galaxias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galaxias maculatus,true,,,,,,,,,,,,,,,
