"catalogNumber","month","year","locationRemarks","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","scientificName","samplingProtocol","individualCount","bibliographicCitation","decimalLongitude","decimalLatitude","verbatimEventDate","datasetName","license","accessRights"
"27830",3,2016,"Rio Rollizo Aguas arriba de la bocatoma","-41.444479000000001","-72.334487999999993","DECIMAL","ND","Oncorhynchus mykiss","Pesca electrica",4,"INGENAT (2016) Plan De Seguimiento De Varialbes Ambientales, Monitoreo Fauna Ictica Piscicultura Rio Rollizo",-72.334488,-41.444479,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"27831",3,2016,"Rio Rollizo Aguas arriba de la bocatoma","-41.444479000000001","-72.334487999999993","DECIMAL","ND","Salmo trutta","Pesca electrica",3,"INGENAT (2016) Plan De Seguimiento De Varialbes Ambientales, Monitoreo Fauna Ictica Piscicultura Rio Rollizo",-72.334488,-41.444479,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"27832",3,2016,"Rio Rollizo entre bocatoma y restitución","-41.444755999999998","-72.333219999999997","DECIMAL","ND","Salmo trutta","Pesca electrica",8,"INGENAT (2016) Plan De Seguimiento De Varialbes Ambientales, Monitoreo Fauna Ictica Piscicultura Rio Rollizo",-72.33322,-41.444756,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"27833",3,2016,"Rio Rollizo aguas abajo de la restitución","-41.445996999999998","-72.331959999999995","DECIMAL","ND","Oncorhynchus mykiss","Pesca electrica",6,"INGENAT (2016) Plan De Seguimiento De Varialbes Ambientales, Monitoreo Fauna Ictica Piscicultura Rio Rollizo",-72.33196,-41.445997,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"27834",3,2016,"Rio Rollizo aguas abajo de la restitución","-41.445996999999998","-72.331959999999995","DECIMAL","ND","Salmo trutta","Pesca electrica",8,"INGENAT (2016) Plan De Seguimiento De Varialbes Ambientales, Monitoreo Fauna Ictica Piscicultura Rio Rollizo",-72.33196,-41.445997,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"28720",3,2013,"E08","755394",NA,"SD","WGS 84","Salmo trutta","Pesca electrica",4,"TERRAMAR, Estudios Territoriales (2013) Informe Linea Base Limnologia Proyecto Central De Pasada Mediterraneo. NA, https://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=6357086",-71.943477,-41.642574,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"28720",3,2013,"E08","755394",NA,"SD","WGS 84","Salmo trutta","Pesca electrica",4,"TERRAMAR, Estudios Territoriales (2013) Informe Linea Base Limnologia Proyecto Central De Pasada Mediterraneo. NA, https://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=6357086",-71.943477,-41.642574,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31197",3,2014,"E1","41°35'52.80""S","72°36'2.00""O","DECIMAL",NA,"Salmo salar","Pesca electrica",2,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.600555556,-41.598,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31198",3,2014,"E2","41°36'8.55""S","72°36'59.17""O","DECIMAL",NA,"Salmo salar","Espinel",1,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.616436111,-41.602375,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31199",3,2014,"E3","41°36'22.59""S","72°38'43.20""O","DECIMAL",NA,"Salmo salar","Espinel",1,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.645333333,-41.606275,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31200",3,2014,"E3","41°36'22.59""S","72°38'43.20""O","DECIMAL",NA,"Salmo salar","Pesca electrica",1,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.645333333,-41.606275,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31201",3,2014,"E5","41°36'38.76""S","72°39'14.32""O","DECIMAL",NA,"Salmo salar","Pesca electrica",1,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.653977778,-41.610766667,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31202",7,2014,"E3","41°36'22.59""S","72°38'43.20""O","DECIMAL",NA,"Salmo salar","Pesca electrica",1,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.645333333,-41.606275,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31203",7,2014,"E4","41°36'29.23""S","72°39'9.66""O","DECIMAL",NA,"Salmo salar","Pesca electrica",1,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.652518333,-41.608119444,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31204",7,2014,"E4","41°36'29.23""S","72°39'9.66""O","DECIMAL",NA,"Salmo salar","Pesca electrica",1,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.652518333,-41.608119444,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31205",3,2014,"E1","41°35'52.80""S","72°36'2.00""O","DECIMAL",NA,"Salmo trutta","Pesca electrica",1,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.600555556,-41.598,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31206",3,2014,"E3","41°36'22.59""S","72°38'43.20""O","DECIMAL",NA,"Salmo trutta","Pesca electrica",3,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.645333333,-41.606275,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31207",3,2014,"E4","41°36'29.23""S","72°39'9.66""O","DECIMAL",NA,"Salmo trutta","Pesca electrica",1,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.652518333,-41.608119444,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31208",7,2014,"E1","41°35'52.80""S","72°36'2.00""O","DECIMAL",NA,"Salmo trutta","Pesca electrica",1,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.600555556,-41.598,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31209",7,2014,"E2","41°36'8.55""S","72°36'59.17""O","DECIMAL",NA,"Salmo trutta","Pesca electrica",1,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.616436111,-41.602375,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31210",7,2014,"E3","41°36'22.59""S","72°38'43.20""O","DECIMAL",NA,"Salmo trutta","Espinel",2,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.645333333,-41.606275,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31211",7,2014,"E4","41°36'29.23""S","72°39'9.66""O","DECIMAL",NA,"Salmo trutta","Pesca electrica",1,"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.652518333,-41.608119444,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"31602",8,2017,"ND","41°52’17.0’’S","71°55’13.4’’W","DECIMAL",NA,"Oncorhynchus mykiss","Pesca electrica y red",8,"Colihueque N, Estay FJ, Crespo JE, Arriagada A, Baessolo L, Canales-Aguirre CB, Marin J and Carrasco R (2019) Genetic Differentiation and Origin of Naturalized Rainbow Trout opulations From Southern Chile Revealed by the mtDNA Control Region Marker.  Front. Genet. 10:1212.",-71.920388889,-41.871388889,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35551",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35552",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35553",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35554",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35555",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35556",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35557",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35558",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35559",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35560",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35561",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35562",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35563",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35564",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35565",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35566",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35567",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35568",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35569",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35570",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35571",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35572",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35573",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35574",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35575",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35576",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35577",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35578",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35579",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35580",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35581",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35582",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35583",2,2010,"L2","-41.417833330000001","-72.544472220000003","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.54447222,-41.41783333,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35584",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35585",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35586",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35587",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35588",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35589",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35590",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35591",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35592",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35593",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35594",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35595",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35596",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35597",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35598",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35599",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35600",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35601",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35602",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35603",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35604",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
"35605",2,2010,"L2","-41.426611110000003","-72.5565","DECIMAL","ND","Oncorhynchus mykiss","Red (de enmalle)",0,"IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar",-72.5565,-41.42661111,"","SUBPESCA-1","revisar","publicaciones científicas y estudios parte del SEA son de acceso público"
