id_CC_original,id_CC_original,match_id,correcting_match,match_status,n_keys_used,match_keys_used,datasetName,canonicalName,year,eventDate,locality,decimalLatitude,decimalLongitude,bibliographicCitation,catalogNumber,occurrenceID,institutionCode,Duplicate,Comment,.references,.associatedReferences,.decimalLatitude,.decimalLongitude,.locality,.year,.eventDate,.bibliographicCitation,.canonicalName,.scientificName,.catalogNumber,.recordedBy,.occurrenceID
93,93,60,,matched,3,datasetName;canonicalName;decimalLatitude,agui,eleginops maclovinus,2013,NA,río balderas,-49.1341666671,-74.4269444444,"Górski, K., González",716,NA,NA,0,associatedReference: (Górski et al. 2017),NA,Górski et al. 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,94,61,,matched,3,datasetName;canonicalName;decimalLatitude,agui,galaxias maculatus,2013,NA,río balderas,-49.1341666671,-74.4269444444,"Górski, K., González",720,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,98,64,,matched,3,datasetName;canonicalName;decimalLatitude,agui,eleginops maclovinus,2013,NA,bahía lackawana,-49.1719444442,-74.4111111109,"Górski, K., González",717,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,99,65,,matched,3,datasetName;canonicalName;decimalLatitude,agui,galaxias maculatus,2013,NA,bahía lackawana,-49.1719444442,-74.4111111109,"Górski, K., González",721,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,101,66,good,matched,3,datasetName;canonicalName;decimalLatitude,mma2,eleginops maclovinus,2014,2014-02-14,rio lackawana. sector puerto eden. costeras  orientales  entre  fiordo  beauchamp y fiordo veto,-49.172,-74.411,OrigenReg: Base Dato,NA,NA,NA,1,associatedReference: (Górski et al. 2017),NA,Górski et al. 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,105,68,good,matched,3,datasetName;canonicalName;decimalLatitude,mma2,galaxias maculatus,2014,2014-04-24,rio lackawana. sector puerto eden. costeras  orientales  entre  fiordo  beauchamp y fiordo veto,-49.172,-74.411,OrigenReg: Base Dato,NA,NA,NA,1,associatedReferences (Górski et al. 2017),NA,Górski et al. 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,113,74,,matched,3,datasetName;canonicalName;decimalLatitude,idig,eleginops maclovinus,1931,NA,golfo de penas,-48.4583333,-74.3916667,NA,1936.8.26.915,69778f10-9b29-40a0-a178-26b3bc0e4c02,nhmuk,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,114,NA,unlink,no_match,NA,NA,agui,eleginops maclovinus,NA,NA,-,-48.4583333332,-74.3916666666,Rademacher K. 2007. ,1076,NA,NA,0,Remove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,122,81,,matched,3,datasetName;canonicalName;decimalLatitude,agui,oncorhynchus kisutch,2013,NA,río tote,-50.3859722217,-74.2511944444,"Górski, K., González",732,NA,NA,NA,"change coordinates to: -50.385972, -74.251194",NA,NA,-50.385972,-74.251194,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,125,82,,matched,3,datasetName;canonicalName;decimalLatitude,agui,galaxias maculatus,2013,NA,río tote,-50.3861111112,-74.2511111114,"Górski, K., González",724,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,130,85,,matched,3,datasetName;canonicalName;decimalLatitude,gbif,galaxiidae,1872,1872,"off straits of magellan, puerto bueno",-50.99286,-74.21539,NA,6594,mcz:ich:6594,mcz,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,141,94,good,matched,3,datasetName;canonicalName;decimalLatitude,mma2,galaxias maculatus,2014,2014-04-24,rio evelyn. bahia elizabeth. costeras canal mesier limite region - peninsula exmouth,-49.198,-74.144,OrigenReg: Base Dato,NA,NA,NA,1,associatedReferences (Górski et al. 2017),NA,Górski et al. 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,146,96,,matched,3,datasetName;canonicalName;decimalLatitude,agui,galaxias maculatus,2013,NA,río elizabeth,-49.1980555556,-74.1436111111,"Górski, K., González",722,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,147,97,,matched,3,datasetName;canonicalName;decimalLatitude,mma2,galaxias maculatus,2014,2014-04-24,lago evelyn. bahia elizabeth. costeras canal mesier limite region - peninsula exmouth,-49.195,-74.141,OrigenReg: Base Dato,NA,NA,NA,1,associatedReferences (Górski et al. 2017),NA,Górski et al. 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,153,101,,matched,3,datasetName;canonicalName;decimalLatitude,agui,galaxias maculatus,2013,NA,lago evelyn,-49.1952777782,-74.1405555556,"Górski, K., González",723,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,175,118,good,matched,2,datasetName;canonicalName,mma2,galaxias globiceps,NA,NA,río cipresal. costa occidental de la isla de chiloé. costeras vertientes oeste entre rio chepu y rio cucao,-42.604,-74.123,FuenteReg: Murillo &,NA,NA,NA,1,also in Cussac et al. 2004,NA,"Cussac et al., 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,194,128,,matched,3,datasetName;canonicalName;decimalLatitude,mma2,aplochiton marinus,2011,2011-01-23,"lago huelde, chiloé. pequeño lago costero. costeras vertientes oeste entre rio chepu y rio cucao",-42.595,-74.117,"OrigenReg: Alo, D., ",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,301,230,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,salmo trutta,2006,NA,lago cucao,-42.6394560004,-74.0669899996,"Habit, E., Gonzalez,",761,NA,NA,1,"associatedsReference: (Cussac et al., 2020)",NA,"Cussac et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,302,231,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,salmo trutta,NA,NA,lago cucao,-42.6394560004,-74.0669899996,"Cussac, V.E.; Barran",519,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,303,232,,matched,3,datasetName;canonicalName;decimalLatitude,mma2,galaxias maculatus,2007,2007-12-22,lago cucuao. en cucao. costera vertiente oeste entre rio cucao (incluido) y rio medina (incluido),-42.648,-74.058,OrigenReg: Base Dato,NA,NA,NA,NA,associatedReference: (Habit et al. 2012),NA,Habit et al. 2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,311,238,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton zebra,NA,NA,"u29, chiloé",-41.9600000004,-74.0399999996,"Vanhaecke, D., Garci",1253,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,312,239,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton zebra,2007,2007-12-03,"u29, chiloé",-41.9590000001,-74.0399999996,"Vanhaecke D, Garcia ",1244,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,319,246,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton taeniatus,2007,2007-11-29,"u24, chiloé",-41.811,-74.031,"Vanhaecke D, Garcia ",1233,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,329,256,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton taeniatus,2007,2007-12-02,"u28, chiloé",-41.9459999996,-74.0240000001,"Vanhaecke D, Garcia ",1239,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,330,257,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton zebra,2007,2007-12-02,"u28, chiloé",-41.9459999996,-74.0240000001,"Vanhaecke D, Garcia ",1243,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,336,263,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton taeniatus,2007,2007-12-01,puñihuil,-41.9310000003,-74.0229999998,"Vanhaecke D, Garcia ",1238,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,345,270,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton taeniatus,NA,NA,"u28, chiloé",-41.9499999997,-74.02,"Vanhaecke, D., Garci",1249,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,346,271,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton zebra,NA,NA,"u28, chiloé",-41.9499999997,-74.02,"Vanhaecke, D., Garci",1252,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,351,276,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton taeniatus,2007,2007-12-04,"u30, chiloé",-41.9840000001,-74.0119999998,"Vanhaecke D, Garcia ",1240,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,362,277,,matched,3,datasetName;canonicalName;decimalLatitude,agui,galaxias maculatus,NA,NA,puerto bueno,-50.9666666666,-74.0000000004,"Cussac, V., Ortubay,",388,NA,NA,NA,"Chango coordinates to -50,99286°, -74,21539°",NA,NA,"-50,99286","-74,21539",NA,NA,NA,NA,NA,NA,NA,NA,NA
363,363,278,,matched,3,datasetName;canonicalName;decimalLatitude,agui,eleginops maclovinus,NA,NA,los chonos,-44.9999999999,-74.0000000004,Rademacher K. 2007. ,1073,NA,NA,0,Remove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,368,NA,"unlink, record via iDigBio",no_match,NA,NA,gbif,galaxias maculatus,NA,NA,"patagonia, port otway.",-53.308676,-73.987166,NA,22690,urn:catalog:cas:su(ich):22690,cas,1,"change coordinates to -46.833333, -75.300000",NA,NA,-46.833333,-75.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,369,282,,matched,3,datasetName;canonicalName;decimalLatitude,idig,galaxias maculatus,NA,NA,"patagonia, port otway.",-53.308676,-73.987166,NA,22690,urn:catalog:cas:su(ich):22690,cas,0,"change coordinates to -46.833333, -75.300000",NA,NA,-46.833333,-75.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,379,291,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton taeniatus,2007,2007-11-29,"u25, chiloé",-41.8139999999,-73.9710000003,"Vanhaecke D, Garcia ",1234,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,383,294,,matched,3,datasetName;canonicalName;decimalLatitude,agui,eleginops maclovinus,NA,NA,laguna san rafael,-46.6666666671,-73.9666666674,Rademacher K. 2007. ,1063,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,384,295,,matched,3,datasetName;canonicalName;decimalLatitude,agui,galaxias globiceps,NA,NA,río cipresales,-42.6166666671,-73.9666666674,"Cussac, V., Ortubay,",387,NA,NA,0,Remove. bad coordinates. See other record from Rio Cipresal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396,396,307,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton taeniatus,2007,2007-11-30,"u26, chiloé",-41.8859999999,-73.9619999999,"Vanhaecke D, Garcia ",1236,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,400,311,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,oncorhynchus mykiss,2006,NA,lago tepuhueico,-42.7930189998,-73.9600109999,"Habit, E., Gonzalez,",769,NA,NA,1,"associatedReference: (Cussac et al., 2020)",NA,"Cussac et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,401,312,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,oncorhynchus mykiss,NA,NA,lago tepuhueico,-42.7930189998,-73.9600109999,"Cussac, V.E.; Barran",526,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,402,313,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,salmo trutta,2006,NA,lago tepuhueico,-42.7930189998,-73.9600109999,"Habit, E., Gonzalez,",768,NA,NA,1,"associatedsReference: (Cussac et al., 2020)",NA,"Cussac et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,403,314,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,salmo trutta,NA,NA,lago tepuhueico,-42.7930189998,-73.9600109999,"Cussac, V.E.; Barran",527,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,408,320,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton taeniatus,2007,2007-11-30,"u27, chiloé",-41.8929999998,-73.959,"Vanhaecke D, Garcia ",1237,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,419,329,,matched,3,datasetName;canonicalName;decimalLatitude,agui,odontesthes brevianalis,NA,NA,lago huillinco,-42.6599999999,-73.9499999996,"Hughes, LC, Cardoso,",828,NA,NA,NA,associatedReference: (Habit et al. 2012),NA,Habit et al. 2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,420,330,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,oncorhynchus mykiss,2006,NA,lago huillinco,-42.670143,-73.9482679998,"Habit, E., Gonzalez,",763,NA,NA,1,"associatedReference: (Cussac et al., 2020)",NA,"Cussac et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,421,331,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,oncorhynchus mykiss,NA,NA,lago huillinco,-42.670143,-73.9482679998,"Cussac, V.E.; Barran",520,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,422,332,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,salmo trutta,2006,NA,lago huillinco,-42.670143,-73.9482679998,"Habit, E., Gonzalez,",762,NA,NA,1,"associatedsReference: (Cussac et al., 2020)",NA,"Cussac et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
