CM_row_id,prim_key,correccion,Remove_from_master,.locality,.decimalLatitude,.decimalLongitude,.year,.eventDate,.recordedBy,.individualCount,.bibliographicCitation,.canonicalName,.scientificName
144,inat | https://www.inaturalist.org/observations/162246891,punto cae mas cerca del río Azul que del Lago Puelo,,,,,,,,,,,
145,agui | MAguilar.Lit.Review.359,locality: L. Puelo,,Lago Puelo,,,,,,,,,
146,agui | MAguilar.Lit.Review.421," 42.1536/71.6389, year 2002; recordedBy D. Milano",,,-42.1536,-71.6389,2002,,Daniela Milano,,,,
147,agui | MAguilar.Lit.Review.418,"coord  41.34514/71.618776; eventDate 14/02/97; year1997, recordedBy D. Milano",,,-41.34514,-71.618776,1997,1997-02-14,Daniela Milano,,,,
148,agui | MAguilar.Lit.Review.1159, 42.1536/71.6389,,,-42.1536,-71.6389,,,,,,,
149,agui | MAguilar.Lit.Review.1178,42.1536/71.6389,,,-42.1536,-71.6389,,,,,,,
150,agui | MAguilar.Lit.Review.437, 42.888355/71.614675,,,-42.888355,-71.614675,,,,,,,
151,agui | MAguilar.Lit.Review.908,42.0959/71.6293,,,-42.0959,-71.6293,,,,,,,
152,agui | MAguilar.Lit.Review.920," 42.1536/71.6389, year 2002; recordedBy D. Milano",,,-42.1536,-71.6389,2002,,Daniela Milano,,,,
153,agui | MAguilar.Lit.Review.927,coord  42.1079/71.6303,,,-42.1079,-71.6303,,,,,,,
154,agui | MAguilar.Lit.Review.929,42.1536/71.6389; year 2002,,,-42.1536,-71.6389,2002,,,,,,
155,agui | MAguilar.Lit.Review.941,"coord  41.34514/71.618776; eventDate 14/02/97; year1997, recordedBy D. Milano",,,-41.34514,-71.618776,1997,1997-02-14,Daniela Milano,,,,
156,agui | MAguilar.Lit.Review.916,"coord  41.34514/71.618776; eventDate 14/02/97; year1997, recordedBy D. Milano",,,-41.34514,-71.618776,1997,1997-02-14,Daniela Milano,,,,
157,agui | MAguilar.Lit.Review.27,"coord  41.34514/71.618776; eventDate 14/02/97; year1997, recordedBy D. Milano",,,-41.34514,-71.618776,1997,1997-02-14,Daniela Milano,,,,
158,agui | MAguilar.Lit.Review.106,coord  41.3457/71.6178,,,-41.3457,-71.6178,,,,,,,
159,agui | MAguilar.Lit.Review.107,coord coorcta41.3457/71.6117,,,-41.3457,-71.6117,,,,,,,
160,inat | https://www.inaturalist.org/observations/69102805,locality:Lago Mascardi,,Lago Mascardi,,,,,,,,,
161,inat | https://www.inaturalist.org/observations/253674048,locality: Río Futaleufú,,Río Futaleufú,,,,,,,,,
162,inat | https://www.inaturalist.org/observations/199128821,locality: lago Mascardi,,Lago Mascardi,,,,,,,,,
163,agui | MAguilar.Lit.Review.946,"coord 44.13/71.57; year:2000 y 2002, el dato corresponde a Ferriz 2003",,,-44.13,-71.57,2000,,,,,,
164,agui | MAguilar.Lit.Review.922,coord 44.13/71.57; year:2000 y 2002; el dato corresponde a Ferriz 2003,,,-44.13,-71.57,2000,,,,,,
165,agui | MAguilar.Lit.Review.39,coord 44.13/71.57,,,-44.13,-71.57,,,,,,,
166,agui | MAguilar.Lit.Review.133,coord 44.12914/71.56785,,,-44.12914,-71.56785,,,,,,,
167,agui | MAguilar.Lit.Review.445,"LocalityRío Nant y Fall, punto cae en la tierra  43.2228333/71.4215",,Río Nant y Fall,-43.2228333,-71.4215,,,,,,,
168,agui | MAguilar.Lit.Review.865,presunto G.maculatus,remove,,,,,,,,,,
169,agui | MAguilar.Lit.Review.655,41.26666667/71.6333333,,,-41.26666667,-71.6333333,,,,,,,
