"id_CC","duplicated_CC","spatialClust_CC","canonicalName","eventDate","year","locality","bibliographicCitation","datasetName","recordedBy","identifiedBy","catalogNumber","institutionCode","institutionID","occurrenceID","occurrenceStatus","collectionCode","collectionID","rObjectRank_CC","decimalLatitude","decimalLongitude","scientificName","individualCount","samplingProtocol","locationRemarks","license","rightsHolder","accessRights","basisOfRecord","eventRemarks","references","sex","lifeStage","establishmentMeans","disposition","occurrenceRemarks","verbatimEventDate","eventTime","month","day","habitat","samplingEffort","continent","country","countryCode","stateProvince","county","municipality","verbatimElevation","verbatimLatitude","verbatimLongitude","kingdom","phylum","class","order","family","genus","specificEpithet","vernacularName","coordinateUncertaintyInMeters","waterBody","typeStatus","organismQuantityType","recordNumber","organismQuantity","uuid","Identification","gbifID","datasetKey","species","infraspecificEpithet","taxonRank","verbatimScientificName","verbatimScientificNameAuthorship","publishingOrgKey","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","taxonKey","speciesKey","dateIdentified","lastInterpreted","mediaType","issue","recordedByID","modified","taxonID","verbatimCoordinateSystem","verbatimSRS","bibiographicCitation","sampleSizeValue","sampleSizeUnit","higherClassification","startDayOfYear","geodeticDatum","higherGeography","verbatimLocality","eventID","language","georeferenceVerificationStatus","nomenclaturalCode","endDayOfYear","georeferencedDate","georeferenceProtocol","georeferencedBy","preparations","fieldNumber","georeferenceSources","scientificNameAuthorship","georeferenceRemarks","associatedReferences","otherCatalogNumbers","dynamicProperties","island","verbatimDepth","maximumDepthInMeters","minimumDepthInMeters","footprintWKT","identificationVerificationStatus","ownerInstitutionCode","islandGroup","identificationRemarks","previousIdentifications","locationAccordingTo","locationID","organismID","datasetID","associatedMedia","materialSampleID","subgenus","minimumElevationInMeters","maximumElevationInMeters","namePublishedInID","scientificNameID","namePublishedInYear","namePublishedIn","verbatimCoordinates","originalNameUsage","associatedSequences","identificationQualifier","earliestAgeOrLowestStage","verbatimTaxonRank","formation","lithostratigraphicTerms","latestAgeOrHighestStage","group","member","lowestBiostratigraphicZone","highestBiostratigraphicZone","bed","earliestPeriodOrLowestSystem","earliestEpochOrLowestSeries","latestEonOrHighestEonothem","earliestEraOrLowestErathem","earliestEonOrLowestEonothem","latestEraOrHighestErathem","geologicalContextID","latestPeriodOrHighestSystem","latestEpochOrHighestSeries","scientificName_Old","IncludePewProAP"
4683,TRUE,2266,"Oncorhynchus mykiss",NA,2007,NA,NA,"SUBPESCA-1",NA,NA,"4659",NA,NA,NA,NA,NA,NA,"9",-47.57653,-72.870692,"Oncorhynchus mykiss (Walbaum, 1792)",1,"PESCA ELECTRICA","TB34","revisar",NA,"publicaciones científicas y estudios parte del SEA son de acceso público",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"660129","4728568","Animalia","Chordata",NA,"Salmoniformes","Salmonidae","Oncorhynchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS 84","CEA (NA) Proyecto Hidroelectrico Aysen. NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oncorhynchus mykiss","1"
4685,FALSE,2266,"Salmo trutta",NA,2006,NA,NA,"SUBPESCA-1",NA,NA,"4656",NA,NA,NA,NA,NA,NA,"9",-47.57653,-72.870692,"Salmo trutta Linnaeus, 1758",1,"ESPINEL","TB34","revisar",NA,"publicaciones científicas y estudios parte del SEA son de acceso público",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"660129","4728568","Animalia","Chordata",NA,"Salmoniformes","Salmonidae","Salmo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS 84","CEA (NA) Proyecto Hidroelectrico Aysen. NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salmo trutta","1"
4686,FALSE,2477,"Salmo trutta",NA,2009,NA,NA,"SUBPESCA-1",NA,NA,"7153",NA,NA,NA,NA,NA,NA,"9",-43.963938,-72.868563,"Salmo trutta Linnaeus, 1758",5,"PESCA ELECTRICA POR 30 MINUTOS","2","revisar",NA,"publicaciones científicas y estudios parte del SEA son de acceso público",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"670991","5129924","Animalia","Chordata",NA,"Salmoniformes","Salmonidae","Salmo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS 84","GESAM (NA) Sistema De Transmision Aysen Y Sistema De Transmision Energia Austral, Entre Region De Valparaiso Y Region De Aysen. NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salmo trutta","1"
4687,TRUE,1712,"Percichthys trucha","2009-01-07",2009,"Rio Baker Entre Rio de la Colonia y Rio de los Ñadis","","MMA2017","Luis Vega",NA,NA,NA,"Centro de Ecología Aplicada LTDA (Leopoldo Fuentes)",NA,NA,NA,NA,"11",-47.314,-72.867,"Percichthys trucha (Valenciennes, 1833)",9,"P.eléctrica",NA,"revisar",NA,"consultar con institución/autor","Colecta","Mandante:  ENDESA S.A Estacion:  B12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata",NA,"Perciformes","Percichthyidae","Percichthys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Percichthys trucha","1"
4689,TRUE,1410,"Aplochiton zebra","2011-11-13",2011,"Rio Baker Entre Rio de la Colonia y Rio de los Ñadis","","MMA2017","Roberto Bestard",NA,NA,NA,"Centro de Ecología Aplicada LTDA (Leopoldo Fuentes)",NA,NA,NA,NA,"11",-47.313,-72.867,"Aplochiton zebra Jenyns, 1842",1,"P.eléctrica",NA,"revisar",NA,"consultar con institución/autor","Colecta","Mandante:  ENDESA S.A. Estacion:  EMBA 2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata",NA,"Osmeriformes","Galaxiidae","Aplochiton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aplochiton zebra","1"
4691,TRUE,1410,"Galaxias platei","2012-01-19",2012,"Rio Baker Entre Rio de la Colonia y Rio de los Ñadis","","MMA2017","Roberto Bestard",NA,NA,NA,"Centro de Ecología Aplicada LTDA (Leopoldo Fuentes)",NA,NA,NA,NA,"11",-47.313,-72.867,"Galaxias platei Steindachner, 1898",1,"P.eléctrica",NA,"revisar",NA,"consultar con institución/autor","Colecta","Mandante:  ENDESA S.A. Estacion:  EMBA 2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata",NA,"Osmeriformes","Galaxiidae","Galaxias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galaxias platei","1"
4693,TRUE,1410,"Galaxias platei","2012-08-16",2012,"Rio Baker Entre Rio de la Colonia y Rio de los Ñadis","","MMA2017","Luis Vega",NA,NA,NA,"Centro de Ecología Aplicada LTDA (Leopoldo Fuentes)",NA,NA,NA,NA,"11",-47.313,-72.867,"Galaxias platei Steindachner, 1898",3,"P.eléctrica",NA,"revisar",NA,"consultar con institución/autor","Colecta","Mandante:  ENDESA S.A. Estacion:  EMBA 2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata",NA,"Osmeriformes","Galaxiidae","Galaxias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galaxias platei","1"
4695,TRUE,1410,"Hatcheria macraei","2011-11-13",2011,"Rio Baker Entre Rio de la Colonia y Rio de los Ñadis","","MMA2017","Roberto Bestard",NA,NA,NA,"Centro de Ecología Aplicada LTDA (Leopoldo Fuentes)",NA,NA,NA,NA,"11",-47.313,-72.867,"Hatcheria macraei (Girard, 1855)",3,"P.eléctrica",NA,"revisar",NA,"consultar con institución/autor","Colecta","Mandante:  ENDESA S.A. Estacion:  EMBA 2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata",NA,"Siluriformes","Trichomycteridae","Hatcheria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hatcheria macraei","1"
4697,TRUE,1410,"Percichthys trucha","2012-01-19",2012,"Rio Baker Entre Rio de la Colonia y Rio de los Ñadis","","MMA2017","Roberto Bestard",NA,NA,NA,"Centro de Ecología Aplicada LTDA (Leopoldo Fuentes)",NA,NA,NA,NA,"11",-47.313,-72.867,"Percichthys trucha (Valenciennes, 1833)",1,"Espinel",NA,"revisar",NA,"consultar con institución/autor","Colecta","Mandante:  ENDESA S.A. Estacion:  EMBA 2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata",NA,"Perciformes","Percichthyidae","Percichthys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Percichthys trucha","1"
4699,TRUE,1620,"Galaxias maculatus","2007-12-22",2007,"Rio Palena. Embarcadero. Rio Palena Entre Rio Sin Nombre y Desembocadura","OrigenReg: Base Datos EULA UdeC, FuenteReg: Base Datos 2007","MMA2017","Juan Jose Ortiz",NA,NA,NA,"Centro EULA UDEC Evelyn Habit",NA,NA,NA,NA,"11",-43.899,-72.867,"Galaxias maculatus (Jenyns, 1842)",52,"Red Encierro",NA,"revisar",NA,"consultar con institución/autor","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata",NA,"Osmeriformes","Galaxiidae","Galaxias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galaxias maculatus","1"
4701,FALSE,2618,"Galaxias maculatus",NA,2009,NA,NA,"SUBPESCA-1",NA,NA,"9677",NA,NA,NA,NA,NA,NA,"9",-46.737103,-72.866686,"Galaxias maculatus (Jenyns, 1842)",5,"PESCA ELECTRICA POR 30 MINUTOS","1,5","revisar",NA,"publicaciones científicas y estudios parte del SEA son de acceso público",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"662978","4821840","Animalia","Chordata",NA,"Osmeriformes","Galaxiidae","Galaxias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS 84","GESAM (NA) Sistema De Transmision Aysen Y Sistema De Transmision Energia Austral, Entre Region De Valparaiso Y Region De Aysen. NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galaxias maculatus","1"
4702,TRUE,2618,"Oncorhynchus mykiss",NA,2009,NA,NA,"SUBPESCA-1",NA,NA,"9676",NA,NA,NA,NA,NA,NA,"9",-46.737103,-72.866686,"Oncorhynchus mykiss (Walbaum, 1792)",1,"PESCA ELECTRICA POR 30 MINUTOS","1,5","revisar",NA,"publicaciones científicas y estudios parte del SEA son de acceso público",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"662978","4821840","Animalia","Chordata",NA,"Salmoniformes","Salmonidae","Oncorhynchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS 84","GESAM (NA) Sistema De Transmision Aysen Y Sistema De Transmision Energia Austral, Entre Region De Valparaiso Y Region De Aysen. NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oncorhynchus mykiss","1"
4703,FALSE,2618,"Galaxias platei",NA,2009,NA,NA,"SUBPESCA-1",NA,NA,"9674",NA,NA,NA,NA,NA,NA,"9",-46.737229,-72.866681,"Galaxias platei Steindachner, 1898",8,"PESCA ELECTRICA POR 30 MINUTOS","5","revisar",NA,"publicaciones científicas y estudios parte del SEA son de acceso público",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"662978","4821826","Animalia","Chordata",NA,"Osmeriformes","Galaxiidae","Galaxias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS 84","GESAM (NA) Sistema De Transmision Aysen Y Sistema De Transmision Energia Austral, Entre Region De Valparaiso Y Region De Aysen. NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galaxias platei","1"
4705,TRUE,883,"Galaxias platei",NA,NA,NA,NA,"SUBPESCA-1",NA,NA,"22563",NA,NA,NA,NA,NA,NA,"9",-45.083333,-72.866667,"Galaxias platei Steindachner, 1898",0,"ND","ND","revisar",NA,"publicaciones científicas y estudios parte del SEA son de acceso público",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"667895.33651000005","5005578.3382400004","Animalia","Chordata",NA,"Osmeriformes","Galaxiidae","Galaxias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS 84","CUSSAC V, ORTUBAY S, IGLESIAS G, MILANO D, LATTUCA ME, BARRIGA JP, BATTINI M, GROSS M (NA) The Distribution Of South American Galaxiid Fishes: The Role Of Biological Traits And Post-Glacial History. NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galaxias platei","1"
4707,FALSE,2235,"Aplochiton zebra",NA,2011,NA,NA,"SUBPESCA-1",NA,NA,"16171",NA,NA,NA,NA,NA,NA,"9",-47.313415,-72.866522,"Aplochiton zebra Jenyns, 1842",1,"PESCA ELECTRICA","ND","revisar",NA,"publicaciones científicas y estudios parte del SEA son de acceso público",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"661245","4757799","Animalia","Chordata",NA,"Osmeriformes","Galaxiidae","Aplochiton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS 84","CEA (NA) Monitoreo Limnologico En El Area De Influencia Del Proyecto Hidroelectrico Aysen Noviembre 2011. NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aplochiton zebra","1"
4708,TRUE,2235,"Galaxias platei",NA,2012,NA,NA,"SUBPESCA-1",NA,NA,"21772",NA,NA,NA,NA,NA,NA,"9",-47.313415,-72.866522,"Galaxias platei Steindachner, 1898",3,"PESCA ELECTRICA","EMBA 2.1","revisar",NA,"publicaciones científicas y estudios parte del SEA son de acceso público",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"661245","4757799","Animalia","Chordata",NA,"Osmeriformes","Galaxiidae","Galaxias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS 84","CEA (NA) Monitoreo Limnologico En El Area De Influencia Del Proyecto Hidroelectrico Aysen. NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galaxias platei","1"
4710,FALSE,2235,"Hatcheria macraei",NA,2011,NA,NA,"SUBPESCA-1",NA,NA,"16196",NA,NA,NA,NA,NA,NA,"9",-47.313415,-72.866522,"Hatcheria macraei (Girard, 1855)",3,"PESCA ELECTRICA","ND","revisar",NA,"publicaciones científicas y estudios parte del SEA son de acceso público",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"661245","4757799","Animalia","Chordata",NA,"Siluriformes","Trichomycteridae","Hatcheria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS 84","CEA (NA) Monitoreo Limnologico En El Area De Influencia Del Proyecto Hidroelectrico Aysen Noviembre 2011. NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hatcheria macraei","1"
4711,TRUE,2235,"Oncorhynchus mykiss",NA,2012,NA,NA,"SUBPESCA-1",NA,NA,"21773",NA,NA,NA,NA,NA,NA,"9",-47.313415,-72.866522,"Oncorhynchus mykiss (Walbaum, 1792)",3,"PESCA ELECTRICA","EMBA 2.1","revisar",NA,"publicaciones científicas y estudios parte del SEA son de acceso público",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"661245","4757799","Animalia","Chordata",NA,"Salmoniformes","Salmonidae","Oncorhynchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS 84","CEA (NA) Monitoreo Limnologico En El Area De Influencia Del Proyecto Hidroelectrico Aysen. NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oncorhynchus mykiss","1"
4715,FALSE,2235,"Percichthys trucha",NA,2012,NA,NA,"SUBPESCA-1",NA,NA,"21779",NA,NA,NA,NA,NA,NA,"9",-47.313415,-72.866522,"Percichthys trucha (Valenciennes, 1833)",1,"ESPINEL","EMBA 2.1","revisar",NA,"publicaciones científicas y estudios parte del SEA son de acceso público",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"661245","4757799","Animalia","Chordata",NA,"Perciformes","Percichthyidae","Percichthys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS 84","CEA (NA) Monitoreo Limnologico En El Area De Influencia Del Proyecto Hidroelectrico Aysen. NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Percichthys trucha","1"
