"locality","decimalLatitude","decimalLongitude","year","eventDate","scientificName","individualCount","samplingProtocol","locationRemarks","recordedBy","associatedReferences","license","rightsHolder","accessRights","bibliographicCitation","datasetName","basisOfRecord"
"Lago Cucao",-42.64146497,-74.08650496,2017,2017-02-24,"Galaxias maculatus",500,"Seine net","Lago Cucao","Cristian Correa, Camila Sola","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Escondido",-51.40280399,-73.08640201,2015,2015-04-07,"Salmo trutta",2,"Mist Net","Lago Escondido","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Espejo",-45.740731,-72.203969,2009,2009-02-10,"Salmo trutta",10,"Bottom gillnet L","Espejo","Cristian Correa","(Correa et al. 2012)","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Espejo",-45.740731,-72.203969,2009,2009-02-12,"Salmo trutta",10,"Electric fishing","Espejo","Cristian Correa","(Correa et al. 2012)","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Espejo",-43.184165,-71.859983,2023,2023-11-11,"Percichthys trucha",8,"Fyke net","Rio Futaleufu","CC BD","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Espolón",-43.215153,-71.949925,2023,2023-11-12,"Aplochiton zebra",12,"Seine net","Rio Futaleufu","CC BD","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Fagnano",-54.506051,-68.811551,2015,2015-02-05,"Oncorhynchus mykiss",6,"Electric fishing","Lago Fagnano","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Fagnano",-54.506051,-68.811551,2015,2015-02-05,"Salmo trutta",2,"Electric fishing","Lago Fagnano","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Fagnano",-54.506051,-68.811551,2015,2015-02-05,"Salvelinus fontinalis",26,"Electric fishing","Lago Fagnano","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Fagnano",-54.50502799,-68.80484004,2015,2015-02-06,"Salmo trutta",2,"Gill Net Experimental","Lago Fagnano","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Fagnano",-54.50502799,-68.80484004,2015,2015-02-06,"Salvelinus fontinalis",1,"Gill Net Experimental","Lago Fagnano","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Fagnano",-54.50396198,-68.80416404,2015,2015-02-05,"Oncorhynchus mykiss",2,"Gill Net Experimental","Lago Fagnano","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Fagnano",-54.50396198,-68.80416404,2015,2015-02-05,"Salmo trutta",2,"Gill Net Experimental","Lago Fagnano","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Fagnano",-54.50396198,-68.80416404,2015,2015-02-05,"Salvelinus fontinalis",3,"Gill Net Experimental","Lago Fagnano","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Fagnano",-54.50390699,-68.80638901,2015,2015-02-05,"Salvelinus fontinalis",1,"Gill Net Aplochitonera 3mX10m","Lago Fagnano","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Fagnano",-54.50390699,-68.80638901,2015,2015-02-06,"Galaxias platei",12,"Minnow Trap, Electric fishing","Lago Fagnano","Maryse Boisjoly, Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Fagnano",-54.50390699,-68.80638901,2015,2015-02-06,"Oncorhynchus mykiss",2,"Electric fishing","Lago Fagnano","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Fagnano",-54.50390699,-68.80638901,2015,2015-02-06,"Salmo trutta",1,"Electric fishing","Lago Fagnano","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Fagnano",-54.50390699,-68.80638901,2015,2015-02-06,"Salvelinus fontinalis",8,"Electric fishing","Lago Fagnano","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Fagnano",-54.50338203,-68.80394502,2015,2015-02-05,"Oncorhynchus mykiss",2,"Gill Net Aplochitonera 3mX5m  X2","Lago Fagnano","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Frío",-45.667534,-71.943801,2007,2007-02-15,"Galaxias platei",1,"Trapping","Frío","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Frío",-45.667534,-71.943801,2007,2007-02-16,"Galaxias platei",7,"Trapping, Bottom gillnet S, Bottom gillnet L","Frío","Cristian Correa","(Correa et al. 2012)","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Frío",-45.667534,-71.943801,2007,2007-02-16,"Oncorhynchus mykiss",26,"Bottom gillnet S, Bottom gillnet L","Frío","Cristian Correa","(Correa et al. 2012)","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Frío",-45.667534,-71.943801,2007,2007-04-10,"Oncorhynchus mykiss",6,"Electric fishing","Frío","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Frío",-45.667534,-71.943801,2009,2009-04-02,"Galaxias platei",2,"Electric fishing","Frío","Cristian Correa","(Correa et al. 2012)","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Frío",-45.667534,-71.943801,2009,2009-04-02,"Oncorhynchus mykiss",1,"Electric fishing","Frío","Cristian Correa","(Correa et al. 2012)","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Frío",-45.667534,-71.943801,2009,2009-04-03,"Oncorhynchus mykiss",7,"Bottom gillnet S (tip)","Frío","Cristian Correa","(Correa et al. 2012)","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.59660502,-74.11639198,2017,2017-02-21,"Eleginops maclovinus",1,"Minnow Trap","Huelde","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.59547103,-74.11670596,2017,2017-02-21,"Cheirodon",4,"Minnow Trap","Huelde","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.59547103,-74.11670596,2017,2017-02-21,"Eleginops maclovinus",2,"Minnow Trap","Huelde","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.595107,-74.117177,2017,2017-02-21,"Cheirodon",20,"Minnow Trap","Huelde","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.595107,-74.117177,2017,2017-02-21,"Galaxias platei",2,"Minnow Trap","Huelde","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.594972,-74.116972,2011,2011-01-25,"Cheirodon",1,"Trapping","Huelde","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.594972,-74.116972,2011,2011-01-25,"Eleginops maclovinus",1,"Trapping","Huelde","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.594972,-74.116972,2011,2011-01-25,"Galaxias maculatus",15,"Trapping","Huelde","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.594972,-74.116972,2013,2013-02-26,"Salmo trutta",2,"Gill Net","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.594972,-74.116972,2013,2013-02-28,"Salmo trutta",2,"Gill Net","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.594972,-74.116972,2013,2013-03-01,"Aplochiton marinus",1,"Trolling","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.594972,-74.116972,2013,2013-03-01,"Salmo trutta",2,"Trolling","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.594972,-74.116972,2013,2013-03-02,"Aplochiton marinus",2,"Gill Net","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.594972,-74.116972,2013,2013-03-02,"Odontesthes brevianalis",1,"Gill Net","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.594972,-74.116972,2013,2013-03-02,"Salmo trutta",3,"Gill Net","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.594972,-74.116972,2014,2014-02-24,"Aplochiton marinus",1,"Gill Net","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.594961,-74.116986,2011,2011-01-25,"Aplochiton marinus",5,"Bottom gillnet S","Huelde","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.594961,-74.116986,2011,2011-01-25,"Odontesthes brevianalis",6,"Bottom gillnet S","Huelde","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.594961,-74.116986,2011,2011-01-25,"Salmo trutta",1,"Bottom gillnet S","Huelde","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.59489402,-74.117057,2017,2017-02-21,"Aplochiton marinus",1,"Fyke net","Huelde","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.59384796,-74.11419097,2014,2014-02-28,"Galaxias maculatus",10,"Seine net","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.59384796,-74.11419097,2014,2014-02-28,"Galaxias platei",1,"Seine net","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.59267097,-74.11498197,2014,2014-02-26,"Cheirodon",13,"Seine net","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.59267097,-74.11498197,2014,2014-02-26,"Eleginops maclovinus",3,"Seine net","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.59267097,-74.11498197,2014,2014-02-26,"Galaxias maculatus",1005,"Seine net","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.59223302,-74.114498,2017,2017-02-21,"Aplochiton marinus",5,"Gill Net Aplochitonera 3mX5m  X2","Huelde","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.58984099,-74.11244301,2017,2017-02-21,"Aplochiton marinus",6,"Gill Net Aplochitonera 3mX10m","Huelde","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.58984099,-74.11244301,2017,2017-02-21,"Eleginops maclovinus",1,"Gill Net Aplochitonera 3mX10m","Huelde","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.58984099,-74.11244301,2017,2017-02-21,"Galaxias platei",1,"Gill Net Aplochitonera 3mX10m","Huelde","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.58977603,-74.11237696,2017,2017-02-26,"Salmo trutta",6,"Gill Net Experimental","Huelde","Camila Sola, Consuelo Guevara, Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde",-42.58850802,-74.11076303,2017,2017-02-21,"Galaxias platei",2,"NA","Huelde","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde, Río Cipresales",-42.59312603,-74.10311898,2017,2017-02-26,"Galaxias maculatus",8,"Fyke net","Huelde","Cristian Correa, Maryse Boisjoly, Consuelo Guevara, Camila Sola","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde, Río Cipresales",-42.59312603,-74.10311898,2017,2017-02-26,"Galaxias platei",15,"Fyke net","Huelde","Cristian Correa, Maryse Boisjoly, Consuelo Guevara, Camila Sola","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde, Río Cipresales",-42.59275001,-74.10274004,2014,2014-02-27,"Galaxias platei",1,"Minnow Trap","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde, Río Cipresales",-42.59159298,-74.10339198,2014,2014-02-25,"Aplochiton marinus",0,"Gill Net Aplochitonera 3mX5m","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde, Río Cipresales",-42.59159298,-74.10339198,2014,2014-02-25,"Odontesthes brevianalis",1,"Gill Net Aplochitonera 3mX5m","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde, Río Cipresales",-42.58925501,-74.10024198,2014,2014-02-24,"Aplochiton marinus",0,"Gill Net Aplochitonera 3mX5m","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde, Río Cipresales",-42.58837298,-74.09985197,2014,2014-02-27,"Salmo trutta",5,"Gill Net Experimental","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde, Río Cipresales",-42.58799002,-74.09973001,2014,2014-02-25,"Aplochiton taeniatus",0,"Gill Net Aplochitonera 3mX5m","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Lago Huelde, Río Cipresales",-42.58799002,-74.09973001,2014,2014-02-25,"Galaxias platei",0,"Gill Net Aplochitonera 3mX5m","Huelde","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
