"locationRemarks","decimalLatitude","decimalLongitude","eventDate","scientificName","recordedBy","individualCount","associatedReferences","locality","license","rightsHolder","accessRights","bibliographicCitation","datasetName","basisOfRecord"
"RM5",-44.99793,-72.09755,2007-04-10,"Oncorhynchus mykiss","Kyle Young, Jane McDonald",1,"","Río Aisén, Rio Maniguales","CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food and Rural Affairs, grant EIDPO041, UK.","Darwin Initiative Fish Atlas","Ocurrence"
"RM5",-44.99793,-72.09755,2007-04-10,"Oncorhynchus tshawytscha","Kyle Young, Jane McDonald",46,"","Río Aisén, Rio Maniguales","CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food and Rural Affairs, grant EIDPO041, UK.","Darwin Initiative Fish Atlas","Ocurrence"
"RM5",-44.99793,-72.09755,2007-04-10,"Salmo trutta","Kyle Young, Jane McDonald",73,"","Río Aisén, Rio Maniguales","CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food and Rural Affairs, grant EIDPO041, UK.","Darwin Initiative Fish Atlas","Ocurrence"
"RM6",-45.10112,-72.149,2007-04-10,"Oncorhynchus tshawytscha","Kyle Young, Jane McDonald",86,"","Río Aisén, Rio Maniguales","CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food and Rural Affairs, grant EIDPO041, UK.","Darwin Initiative Fish Atlas","Ocurrence"
"RM6",-45.10112,-72.149,2007-04-10,"Salmo trutta","Kyle Young, Jane McDonald",28,"","Río Aisén, Rio Maniguales","CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food and Rural Affairs, grant EIDPO041, UK.","Darwin Initiative Fish Atlas","Ocurrence"
"RP1",-45.6899,-72.08307,2007-04-12,"Oncorhynchus mykiss","Kyle Young, Jane McDonald",2,"","Río Aisén, Rio Pollux 1","CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food and Rural Affairs, grant EIDPO041, UK.","Darwin Initiative Fish Atlas","Ocurrence"
"ER1",-45.30511,-71.77826,2007-04-14,"Salmo trutta","Kyle Young, Jane McDonald",23,"","Río Aisén, Río Richards 1","CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food and Rural Affairs, grant EIDPO041, UK.","Darwin Initiative Fish Atlas","Ocurrence"
"RS1",-45.72424,-72.09756,2007-04-12,"Oncorhynchus mykiss","Kyle Young, Jane McDonald",7,"","Río Aisén, Río Simpsom 1","CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food and Rural Affairs, grant EIDPO041, UK.","Darwin Initiative Fish Atlas","Ocurrence"
"RAI",-42.75721,-73.56533,2007-05-18,"Oncorhynchus mykiss","Kyle Young, Jane McDonald",12," Consuegra et al. 2011","Río Aitoy/Aiguy, Rio Aitoy/Aiguy","CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food and Rural Affairs, grant EIDPO041, UK.","Darwin Initiative Fish Atlas","Ocurrence"
"RIA1",-42.75721,-73.56533,2008-02-11,"Galaxias maculatus","Kyle Young, Jessica Stephenson, Anne-Flore Thailly",40,"","Río Aitoy/Aiguy, Rio Aitoy/Aiguy","CC BY-NC 4.0","Carlos García de Leaniz y Gonzalo Gajardo","not-for-profit use only","García de Leániz, Carlos, Gonzalo Gajardo, Sofia Consuegra, Daniel Fowler, Nick Rendell, Guillermo Giannico,  Jose Sanzana, Jason B. Dunham (2012) Protecting galaxiids from salmonid invasions in Chile and the Falklands. Department for Environment Food and Rural Affairs, grant EIDPO041, UK.","Darwin Initiative Fish Atlas","Ocurrence"
