"This database is one of the products of the following grants: Carlos García de Leániz (PI), Gonzalo Gajardo, et al. Department for Environment Food and Rural Affairs (DEFRA, UK). Darwin Initiative Grants 15020 (2006-2009) and EIDPO041 (2010-2012).",,,,,,,,,,,,,
Watershed,Location,Station,Latitude,Longitude,Date,Day,Month,Year,Species,Collected by,n.genotyped,n.not.genotyped,n.individuals
Río Aucar,Río Aucar,RAU1,-42.1665,-73.48266,2007-11-07,7,11,2007,Salmo salar,"Kyle Young, Alexandre Terreau, Anne-Flore Thailly",,15,15
Río Aucar,Río Aucar,RAU1,-42.1665,-73.48266,2013-02-08,13,2,2008,Salmo salar,"Kyle Young, Alexandre Terreau, Anne-Flore Thailly",,40,40
Río Aucar,Río Aucar,RAU2,-42.16696,-73.48392,2007-11-07,7,11,2007,Galaxias maculatus,"Kyle Young, Alexandre Terreau, Anne-Flore Thailly",,103,103
Río Aucar,Río Aucar,RAU2,-42.16696,-73.48392,2007-11-07,7,11,2007,Oncorhynchus mykiss,"Kyle Young, Alexandre Terreau, Anne-Flore Thailly",,4,4
Río Aucar,Río Aucar,RAU2,-42.16696,-73.48392,2007-11-07,7,11,2007,Salmo salar,"Kyle Young, Alexandre Terreau, Anne-Flore Thailly",,72,72
Río Aucar,Río Aucar,RAU3,-42.16696,-73.48392,39533,26,3,2008,Salmo salar,"Kyle Young, Alexandre Terreau, Anne-Flore Thailly",,35,35
Río Aucar,Río Aucar,RAU4,-42.16948,-73.48678,2007-11-07,7,11,2007,Oncorhynchus mykiss,"Kyle Young, Alexandre Terreau, Anne-Flore Thailly",,13,13
Río Bueno, MultiExport-Lago Rupanco,MELR,-40.85021389,-72.50480556,39736,15,10,2008,Salmo salar,,,120,120
Río Bueno,Aqua Chile Rupanco,ACR,-40.81465833,-72.47077222,39230,28,5,2007,Salmo salar,,,5,5
Río Bueno,Aqua Chile Rupanco,ACR,-40.81465833,-72.47077222,39262,29,6,2007,Salmo salar,,,51,51
Río Bueno,Aqua Chile Rupanco,ACR,-40.81465833,-72.47077222,39371,16,10,2007,Salmo salar,,,12,12
Río Bueno,Aqua Chile Rupanco,ACR,-40.81465833,-72.47077222,39392,6,11,2007,Salmo salar,,,16,16
Río Bueno,Lago Maihue,LMAI,-40.2776,-72.04204444,15/12/88,15,12,1988,Oncorhynchus mykiss,Angler,,1,1
Río Bueno,Lago Puyehue,LP,-40.68298333,-72.46075833,39293,30,7,2007,Oncorhynchus mykiss,,,20,20
Río Bueno,Lago Puyehue,LP,-40.68298333,-72.46075833,39310,16,8,2007,Oncorhynchus mykiss,,,20,20
Río Bueno,Lago Puyehue,LP,-40.68298333,-72.46075833,39381,26,10,2007,Oncorhynchus mykiss,,,16,16
Río Bueno,Lago Ranco,LRAN,-40.13771111,-72.25274722,16/03/84,16,3,1984,Oncorhynchus mykiss,Angler,,1,1
Río Bueno,Lago Ranco,LRAN,-40.22838889,-72.320775,17/02/97,17,2,1997,Oncorhynchus kisutch,Angler,,1,1
