"occurrenceID","decimalLongitude","decimalLatitude","locality","scientificName","year","eventDate","bibliographicCitation","eventRemarks","license","datasetName","datasetName_tmp","basisOfRecord"
"CCorrea.Lit.Review.69",-72.77706,-41.43988,"Site 11: Río Ñanco","Galaxias maculatus",1997,"1997","Wood, Jonathan D. (1997) The distribution of feral salmonids in inland Chilean Waters.. Unpublishes thesis to obtain the degree of M.Sc. In Aquaculture, University of Stirling 85pp.","1997 ","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.70",-72.77706,-41.43988,"Site 11: Río Ñanco","Mordacia/Caragola sp.",1997,"1997","Wood, Jonathan D. (1997) The distribution of feral salmonids in inland Chilean Waters.. Unpublishes thesis to obtain the degree of M.Sc. In Aquaculture, University of Stirling 85pp.","1997 ","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.71",-72.77706,-41.43988,"Site 11: Río Ñanco","Velesia sp.",1997,"1997","Wood, Jonathan D. (1997) The distribution of feral salmonids in inland Chilean Waters.. Unpublishes thesis to obtain the degree of M.Sc. In Aquaculture, University of Stirling 85pp.","1997 ","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.72",-72.74245,-41.52607,"Site 12: Río Quillaipe","Salmo trutta",1997,"1997","Wood, Jonathan D. (1997) The distribution of feral salmonids in inland Chilean Waters.. Unpublishes thesis to obtain the degree of M.Sc. In Aquaculture, University of Stirling 85pp.","1997 ","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.73",-72.74245,-41.52607,"Site 12: Río Quillaipe","Oncorhynchus kisutch",1997,"1997","Wood, Jonathan D. (1997) The distribution of feral salmonids in inland Chilean Waters.. Unpublishes thesis to obtain the degree of M.Sc. In Aquaculture, University of Stirling 85pp.","1997 ","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.74",-72.74245,-41.52607,"Site 12: Río Quillaipe","Galaxias maculatus",1997,"1997","Wood, Jonathan D. (1997) The distribution of feral salmonids in inland Chilean Waters.. Unpublishes thesis to obtain the degree of M.Sc. In Aquaculture, University of Stirling 85pp.","1997 ","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.75",-72.74245,-41.52607,"Site 12: Río Quillaipe","Aplochiton taeniatus",1997,"1997","Wood, Jonathan D. (1997) The distribution of feral salmonids in inland Chilean Waters.. Unpublishes thesis to obtain the degree of M.Sc. In Aquaculture, University of Stirling 85pp.","1997 ","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.103",-72.46221,-41.18372,"Laguna Los Patos","Oncorhynchus mykiss",1996,"1996","Fernando Jara S. & Doris Soto B. (1997) Recaptura salmones retornantes en río Petrohué.. Universidad Austral de Chile 19pp.","1996  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.104",-72.46221,-41.18372,"Laguna Los Patos","Salmo trutta",1996,"1996","Fernando Jara S. & Doris Soto B. (1997) Recaptura salmones retornantes en río Petrohué.. Universidad Austral de Chile 19pp.","1996  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.105",-72.46221,-41.18372,"Laguna Los Patos","Oncorhynchus kisutch",1996,"1996","Fernando Jara S. & Doris Soto B. (1997) Recaptura salmones retornantes en río Petrohué.. Universidad Austral de Chile 19pp.","1996  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.106",-72.46221,-41.18372,"Laguna Los Patos","Oncorhynchus tshawytscha",1996,"1996","Fernando Jara S. & Doris Soto B. (1997) Recaptura salmones retornantes en río Petrohué.. Universidad Austral de Chile 19pp.","1996 Chinooks were apparently at the end of the reproductive season; direct observations revealed that there were some spawning and many spawned individuals. Empty stomach content. Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.107",-72.46221,-41.18372,"Laguna Los Patos","Salvelinus fontinalis",1996,"1996","Fernando Jara S. & Doris Soto B. (1997) Recaptura salmones retornantes en río Petrohué.. Universidad Austral de Chile 19pp.","1996  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
