"decimalLongitude","decimalLatitude","locality","scientificName","year","bibliographicCitation","eventRemarks","license","datasetName","basisOfRecord"
-72.50077,-41.95095,"Río Cuchildeo-afluente","Salmo trutta",1999,"Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile NA. Type of document: Unpub. Report Notes: NA","1999, 2000 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.39183,-41.89703,"Río Negro-afluente","Oncorhynchus kisutch",2000,"Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile NA. Type of document: Unpub. Report Notes: NA","2000  Geolocation: The position of the point is not accurate; coordinates were not reported.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.39183,-41.89703,"Río Negro-afluente","Oncorhynchus kisutch",2000,"Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile NA. Type of document: Unpub. Report Notes: NA","2000  Geolocation: The position of the point is not accurate; coordinates were not reported.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.55918,-41.98041,"Río Pichicolo","Galaxias maculatus",2000,"Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile NA. Type of document: Unpub. Report Notes: NA","2000 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.55918,-41.98041,"Río Pichicolo","Galaxias maculatus",2000,"Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile NA. Type of document: Unpub. Report Notes: NA","2000 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.41175,-43.1976,"Lago Yecho","Salmo salar",2001,"Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile NA. Type of document: Unpub. Report Notes: NA","2001 Only samplings not reported in Soto 2002 (FIP 2000-24) are reported in this record. Geolocation: Not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.43206,-43.17613,"Lago Yelcho","Oncorhynchus tshawytscha",2001,"Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001) NA. Type of document: Unpub. Report Notes: NA","2001  Geolocation: The position of the point is approximate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.46283,-41.18385,"Laguna Los Patos","Oncorhynchus tshawytscha",2000,"Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001) NA. Type of document: Unpub. Report Notes: NA","2000, 2001  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.46283,-41.18385,"Laguna Los Patos","Oncorhynchus tshawytscha",2000,"Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001) NA. Type of document: Unpub. Report Notes: NA","2000, 2001  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.38705,-41.12001,"Lago Todos Los Santos","Salmo salar",2000,"Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001) NA. Type of document: Unpub. Report Notes: NA","2000  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
