decimalLongitude,decimalLatitude,Site_ID,ODBC:FishGIS_metaDatabase AllFish_Ref_ID,ODBC:FishGIS_metaDatabase AllFish_Author,ODBC:FishGIS_metaDatabase AllFish_OLD_SITE_ID,ODBC:FishGIS_metaDatabase AllFish_Site_Name,ODBC:FishGIS_metaDatabase AllFish_Notes,ODBC:FishGIS_metaDatabase AllFish_Site_Precision,ODBC:FishGIS_metaDatabase AllFish_Years,ODBC:FishGIS_metaDatabase AllFish_Species,ODBC:FishGIS_metaDatabase AllFish_Abund_Percent
-72.81671,-40.96353,"32","3","Wood, Jonathan D.","02.07",Site 7: Río Playa Maiténes,,,"1997",Galaxias platei,"0,85"
-72.81671,-40.96353,"32","3","Wood, Jonathan D.","02.07",Site 7: Río Playa Maiténes,,,"1997",Galaxias platei,"0,85"
-72.92200,-41.03064,"33","3","Wood, Jonathan D.","02.08",Site 8: Río Quillanto,,,"1997",Galaxias maculatus,"1,47"
-72.92200,-41.03064,"33","3","Wood, Jonathan D.","02.08",Site 8: Río Quillanto,,,"1997",Galaxias maculatus,"1,47"
-72.96165,-41.40441,"34","3","Wood, Jonathan D.","02.09",Site 9: Río Negro,,,"1997",Cheirodon australe,"3,95"
-72.96165,-41.40441,"34","3","Wood, Jonathan D.","02.09",Site 9: Río Negro,,,"1997",Cheirodon australe,"3,95"
-73.17260,-41.46184,"35","3","Wood, Jonathan D.","02.10",Site 10: Río Chaquihua,,,"1997",Pygidium (Trichomycterus) aerolatum,"19,44"
-73.17260,-41.46184,"35","3","Wood, Jonathan D.","02.10",Site 10: Río Chaquihua,,,"1997",Pygidium (Trichomycterus) aerolatum,"19,44"
-72.77706,-41.43988,"36","3","Wood, Jonathan D.","02.11",Site 11: Río Ñanco,,,"1997",Velesia sp.,"0,7"
-72.77706,-41.43988,"36","3","Wood, Jonathan D.","02.11",Site 11: Río Ñanco,,,"1997",Velesia sp.,"0,7"
-72.74245,-41.52607,"37","3","Wood, Jonathan D.","02.12",Site 12: Río Quillaipe,,,"1997",Aplochiton taeniatus,"2,22"
-72.74245,-41.52607,"37","3","Wood, Jonathan D.","02.12",Site 12: Río Quillaipe,,,"1997",Aplochiton taeniatus,"2,22"
-72.54216,-41.20278,"38","4","Sanzana, José del Carmen","42.01","Lago Llanquihue, Ensenada.",,Approximate.,"2001",Percichthys trucha,"11,99"
-72.84895,-41.12353,"39","4","Sanzana, José del Carmen","44.01","Lago Llanquihue: October 1998, Totoral; March 1999, Tto. Phillipi.",Samplings from FIP-97 38 cited in Sanzana 2002.,The position of the point is not accurate.,"1998, 1999",Percichthys trucha,"1,48"
-72.83384,-41.12325,"40","4","Sanzana, José del Carmen","45.01","Lago Llanquihue: Pto. Oscuro, Pto. Phillipi, Ba. Rincones, Ensenada, Maullín.",Samplings from Soto et al 1997 (FNDR report) cited in Sanzana 2002.,The position of the point is not accurate.,1995-1997,Percichthys trucha,"9,52"
-72.82250,-41.12303,"41","4","Sanzana, José del Carmen","46.01",Lago Llanquihue: Pto. Oscuro and Pto. Phillipi.,Samplings from Soto et al 1993 (FNDR report) cited in Sanzana 2002.,The position of the point is not accurate.,1992-1993,Percichthys trucha,"9,6"
-72.46221,-41.18372,"42","5",Fernando Jara S. & Doris Soto B.,"10.01",Laguna Los Patos,,The position of the point is not accurate.,"1996",Salvelinus fontinalis,"6,67"
-72.26158,-40.23208,"43","6",Doris Soto B.and Ivan Arismendi V.,"04.01",Río Calcurrupe,,The position of the point is not accurate.,"2000",z Indetermined (see note),"57,14"
-72.26158,-40.23208,"43","6",Doris Soto B.and Ivan Arismendi V.,"04.01",Río Calcurrupe,,The position of the point is not accurate.,"2000",z Indetermined (see note),"57,14"
-72.23788,-40.30157,"44","6",Doris Soto B.and Ivan Arismendi V.,"04.02",Río Epulafquén,,The position of the point is not accurate.,"1999",Percichthys trucha,"8,33"
-72.23788,-40.30157,"44","6",Doris Soto B.and Ivan Arismendi V.,"04.02",Río Epulafquén,,The position of the point is not accurate.,"1999",Percichthys trucha,"8,33"
-72.23689,-40.33138,"45","6",Doris Soto B.and Ivan Arismendi V.,"04.03",Río Riñinahue,,The position of the point is not accurate.,"1999",Oncorhynchus mykiss,"100"
-72.23689,-40.33138,"45","6",Doris Soto B.and Ivan Arismendi V.,"04.03",Río Riñinahue,,The position of the point is not accurate.,"1999",Oncorhynchus mykiss,"100"
-72.50808,-40.27110,"46","6",Doris Soto B.and Ivan Arismendi V.,"04.04",Lago Ranco,,The position of the point is not accurate.,"1999",Salmo salar,"20"
-72.60285,-40.79366,"47","6",Doris Soto B.and Ivan Arismendi V.,"04.05",Lago Rupanco,,The position of the point is not accurate.,"1999, 2000",Percichthys trucha,"12,93"
-72.46245,-40.88842,"48","6",Doris Soto B.and Ivan Arismendi V.,"04.06",Río Bonito,,The position of the point is not accurate.,"2000",Galaxias platei,"4,2"
-72.46245,-40.88842,"48","6",Doris Soto B.and Ivan Arismendi V.,"04.06",Río Bonito,,The position of the point is not accurate.,"2000",Galaxias platei,"4,2"
-72.33871,-40.89424,"49","6",Doris Soto B.and Ivan Arismendi V.,"04.07",Río Nalcas,,The position of the point is not accurate.,"2000",Salmo salar,"0,8"
-72.33871,-40.89424,"49","6",Doris Soto B.and Ivan Arismendi V.,"04.07",Río Nalcas,,The position of the point is not accurate.,"2000",Salmo salar,"0,8"
-73.30168,-40.33376,"50","6",Doris Soto B.and Ivan Arismendi V.,"04.08",Río Bueno,,The position of the point is not accurate.,"2000",Cyprinus carpio,"60,56"
-72.48111,-40.88574,"51","6",Doris Soto B.and Ivan Arismendi V.,"04.09",Río Piedras Negras,Two sampling sites from the same river were pooled.,The position of the point is not accurate.,"2000",Galaxias platei,"0,3"
-72.48111,-40.88574,"51","6",Doris Soto B.and Ivan Arismendi V.,"04.09",Río Piedras Negras,Two sampling sites from the same river were pooled.,The position of the point is not accurate.,"2000",Galaxias platei,"0,3"
-72.33083,-40.92029,"52","6",Doris Soto B.and Ivan Arismendi V.,"04.10",Río Cabrito,,The point was located based in coordinates although the river's name do not correspond.,"2000",Oncorhynchus tshawytscha,"4,8"
-72.33083,-40.92029,"52","6",Doris Soto B.and Ivan Arismendi V.,"04.10",Río Cabrito,,The point was located based in coordinates although the river's name do not correspond.,"2000",Oncorhynchus tshawytscha,"4,8"
-73.44139,-40.32203,"53","6",Doris Soto B.and Ivan Arismendi V.,"04.11",Río Pucopio,,The position of the point is not accurate.,"1999, 2000",Galaxias platei,"57,7"
-73.44139,-40.32203,"53","6",Doris Soto B.and Ivan Arismendi V.,"04.11",Río Pucopio,,The position of the point is not accurate.,"1999, 2000",Galaxias platei,"57,7"
-72.61759,-40.30411,"54","6",Doris Soto B.and Ivan Arismendi V.,"04.12",Río Ignao,,The position of the point is not accurate.,"2000",Lamprey,"0,4"
-72.61759,-40.30411,"54","6",Doris Soto B.and Ivan Arismendi V.,"04.12",Río Ignao,,The position of the point is not accurate.,"2000",Lamprey,"0,4"
-73.53243,-40.29837,"55","6",Doris Soto B.and Ivan Arismendi V.,"04.13",Río Cainalhue,,The position of the point is not accurate.,"2000",Lamprey,"10,3"
-73.53243,-40.29837,"55","6",Doris Soto B.and Ivan Arismendi V.,"04.13",Río Cainalhue,,The position of the point is not accurate.,"2000",Lamprey,"10,3"
