"occurrenceID","locality","bibliographicCitation","associatedReferences","institutionID","eventRemarks","basisOfRecord","coordinateUncertaintyInMeters","eventDate","year","decimalLongitude","decimalLatitude","scientificName","individualCount","samplingProtocol","recordedBy","otherCatalogNumbers","datasetName","datasetName_tmp","datasetID","datasetKey","license","accessRights"
"MMA:ICT:0000016","Lago Porteno. Orilla Tributario PequeNo. Lago del Toro.","Base Datos EULA UdeC, Base Datos 2009","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2009-2-5","2009",-72.799,-51.36,"Aplochiton taeniatus",1,"Pesca Electrica","Jorge Gonzalez","gbifID:4463086305","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000017","Lago Toro. Lago del Toro.","Base Datos EULA UdeC, Base Datos 2009","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2009-1-23","2009",-72.951,-51.171,"Aplochiton taeniatus",4,"Red Agallera","Jorge Gonzalez","gbifID:4463086304","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000018","Laguna Azul. Rio Paine en desembocadura Lago Nordenskjold.","Base Datos EULA UdeC, Base Datos 2009","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2009-1-27","2009",-72.736,-50.878,"Aplochiton taeniatus",52,"Red Encierro","Jorge Gonzalez","gbifID:4463086303","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000019","Laguna Azul. Rio Paine en desembocadura Lago Nordenskjold.","Base Datos EULA UdeC, Base Datos 2009","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2009-2-11","2009",-72.742,-50.878,"Aplochiton taeniatus",7,"Red Agallera","Jorge Gonzalez","gbifID:4463086302","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000022","Rio Baker. Caleta Tortel. Rio Baker entre Rio del Paso y desembocadura.","Base Datos EULA UdeC, Base Datos 2013","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2013-5-3","2013",-73.534,-47.786,"Aplochiton taeniatus",11,"Red Encierro","Jorge Gonzalez","gbifID:4463086278","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000023","Rio Aysen. Puerto Aysen Humedal. Rio Aisen entre Rio Riesco y desembocadura.","Base Datos EULA UdeC, Base Datos 2013","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2013-5-9","2013",-72.701,-45.416,"Aplochiton taeniatus",3,"Red Encierro","Jorge Gonzalez","gbifID:4463086277","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000024","Rio Puelo. Aguas Arriba Puente. Rio Puelo Entre Desague Laguna Tagua Tagua y Desembocadura.","Base Datos EULA UdeC, Base Datos 2013","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2013-5","2013",-72.272,-41.646,"Aplochiton taeniatus",1,"Red Encierro","Jorge Gonzalez","gbifID:4463086276","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000037","Lago Victoria. Rio Puelo Entre Rio Manso y Desague Laguna Tagua Tagua.","Base Datos EULA UdeC, Base Datos 2008","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2008-3-18","2008",-72.182,-41.642,"Aplochiton taeniatus",4,"Red Agallera","Evelyn Habit","gbifID:4463086243","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000038","Rio Puelo. Desague TaguaTagua. Rio Puelo Entre Rio Manso y Desague Laguna Tagua Tagua.","Base Datos EULA UdeC, Base Datos 2008","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2008-3-17","2008",-72.169,-41.644,"Aplochiton taeniatus",1,"Red Encierro","Evelyn Habit","gbifID:4463086242","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000039","Rio Puelo. En Puelo. Rio Puelo Entre Desague Laguna Tagua Tagua y Desembocadura.","Base Datos EULA UdeC, Base Datos 2008","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2008-3-17","2008",-72.303,-41.653,"Aplochiton taeniatus",25,"Red Encierro","Evelyn Habit","gbifID:4463086241","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
