gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4463090653	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001903	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	44	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-50.382	-75.247							2009-02-24	24	2	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090652	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001902	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	33	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-50.386	-75.252							2009-02-24	24	2	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090651	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001901	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	61	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-50.558	-75.321							2009-02-24	24	2	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090650	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001911	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	6	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-51.36	-72.8							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090649	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001910	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	28	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-51.36	-72.8							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090648	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004188	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	6	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-36.817	-73.016							2006-10-13	13	10	2006	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Evelyn Habit			2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090647	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004189	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	11	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-37.85	-72.171							2009-10-20	20	10	2009	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Priscila Piedra			2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090646	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004186	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	52	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-36.847	-73.056							2003-03		3	2003	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Evelyn Habit			2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090645	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004187	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	2	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-36.816	-73.016							2006-10-13	13	10	2006	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Evelyn Habit			2025-10-08T02:32:38.469Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090644	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004184	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	70	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-37.178	-72.918							2003-03		3	2003	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Evelyn Habit			2025-10-08T02:32:38.469Z		CONTINENT_DERIVED_FROM_COORDINATES
