ID,OrigFunteReg,bibliographicCitation,associatedReferences
27,FuenteReg: Murillo & Ruiz 2002 Estudio: Vila et al. 2006,"Murillo, V., and Ruiz, V.H. 2002. El puye Galaxias globiceps Eigenmann 1927 (Osteichthyes: Galaxiidae): ¿una especie en peligro de extincion? Gayana (Concepción) 66: 191–197.","Vila, I., Veloso, A., Schlatter, R., and Ramírez, C. 2006. Macrófitas y vertebrados de los sistemas límnicos de Chile. In Editorial Universitaria. Editorial Universitaria."
28,"OrigenReg: Líneas bases XI CEA Ltda. Agosto 2015, FuenteReg: Líneas bases XI CEA Ltda. Agosto 2015",Líneas bases XI CEA Ltda. Agosto 2015,
29,"OrigenReg: Publicación, FuenteReg: Vila et al. 1999. Ictiofauna en los sistemas límnicos de la Isla Grande, Tierra del Fuego, Chile","Vila, I., Fuentes, L., and Saavedra, M. 1999. Ictiofauna en los sistemas límnicos de la isla grande, Tierra del Fuego, Chile. Revista Chilena de Historia Natural: 72:-273–284.",
30,FuenteReg: Campos & Ortiz 1992 Estudio: Campos et al. 1993b,"Campos, H., and Ortiz, J.C. 1992. Peces, Anfibios y Reptiles de Torres del Paine: ¿Qué pasó con la diversidad? In Biodiversidad en Parque Nacional Torres del Paine. Edited by W.F.C.N.- -1. (en imprenta).",
31,FuenteReg: Campos et al. 1984 Estudio: Campos et al. 1993b,"Campos, H. 1984. Gonswana and Neotropical Galaxioid fish biogeography. In Evolutionary Ecology of Neotropical Freshwater Fishes. Edited by T.M. Zaret. Junk Publisher, The Hague Netherland.",
32,FuenteReg: Venegas 2005,Venegas 2005,
33,FuenteReg: Vila et al. 1999,"Vila, I., Fuentes, L., and Contreras, M. 1999. Peces límnicos de Chile. Boletín del Museo Nacional de Historia Natural, Chile: 48:-61–75.",
34,"OrigenReg: Base de Datos EULA UdeC, FuenteReg: Base Datos 2009  2010","Base Datos EULA UdeC, Base Datos 2009  2010",
35,"OrigenReg: Base de Datos EULA UdeC, FuenteReg: Base Datos 2011","Base Datos EULA UdeC, Base Datos 2011",
36,"OrigenReg: Fishnet2, FuenteReg: Colecta BS Dyer","Fishnet2, Colecta BS Dyer",
37,FuenteReg: McDowall 1971b Estudio: Ruiz & Marchant 2004,"McDowall, R.M. 1971. The Galaxiid fishes of South America. Zoological Journal of the Limnological Society 50: 33–73.","Ruiz, V.H., and Marchand, M. 2004. Ictiofauna de aguas continentales chilenas. Universidad de Concepción."
38,"OrigenReg: Publicación, FuenteReg: Unmack et al 2009","Unmack, P.J., Habit, E.M., and Johnson, J.B. 2009. New records of Hatcheria macraei (Siluriformes, Trichomycteridae) from Chilean Province. Gayana 73(1): 102–110.",
39,FuenteReg: Unmack et al. 2009a,"Unmack, P., Bennin, A., Habit, E., Victoriano, P., and Johnson, J. 2009. Impact of ocean barriers, topography, and glaciation on the phylogeography of the catfish Trichomycterus areolatus (Teleostei: Trichomycteridae) in Chile. Biological Journal of the Linnean Society 97: 876–892. doi:10.1111/j.1095-8312.2009.01224.x.",
40,FuenteReg: Unmack et al. 2009b,"Unmack, P.J., Habit, E.M., and Johnson, J.B. 2009. New records of Hatcheria macraei (Siluriformes, Trichomycteridae) from Chilean Province. Gayana 73(1): 102–110.",
41,FuenteReg: Campos et al. 1998 Estudio: Ruiz & Marchant 2004,"Campos, H., Dazarola, G., Dyer, B.S., Fuentes, L., Gavilán, J.F., Huaquín, L., Martínez, G., Meléndez, R., Pequeño, G., Ponce, F., Ruiz, V.H., Sielfeld, W., Soto, D., Vega, R., and Vila, I. 1998. Categorías de conservación de peces nativos de aguas continentales de Chile. Boletín del Museo Nacional de Historia Natural, Chile 47: 101–122.","Ruiz, V.H., and Marchand, M. 2004. Ictiofauna de aguas continentales chilenas. Universidad de Concepción."
42,FuenteReg: Unmack et al. 2012,"Unmack, P.J., Barriga, J.P., Battini, M.A., Habit, E.M., and Johnson, J.B. 2012. Phylogeography of the catfish Hatcheria macraei reveals a negligible role of drainage divides in structuring populations. Molecular Ecology 21(4): 942–959. doi:10.1111/j.1365-294X.2011.05408.x.",
43,"OrigenReg: Francisco J. Neira 1984,","Neira, F.J. 1984. Biomorfología de las lampreas parásitas Geotria australis Gray, 1851 y Mordacia lapicida (Gray, 1851) (Petronizontiformes). Gayana Zoológica: 48(1-2): 3-40.",
44,FuenteReg: Perugia 1891 Estudio: Campos et al. 1993b,"Perugia, A. 1891. Appunti sopra alcuni pesci sud-americani conservati nel Museo Civico di Storia Naturale di Genova. Annali del Museo Civico di Storia Naturale “Giacomo Doria” 10 (Serie 2): 605–657.",
45,"OrigenReg: Unmack et al 2009,","Unmack, P.J., Habit, E.M., and Johnson, J.B. 2009. New records of Hatcheria macraei (Siluriformes, Trichomycteridae) from Chilean Province. Gayana 73(1): 102–110.",
46,FuenteReg: Eigenmann 1927,"Eigenmann, C.H. 1928. The fresh-water fishes of Chile. Memoirs of the National Academy of Science 22: 1–80.",
