"id_CC_original","match_id","correcting_match","match_status","match_quality","n_keys_used","n_core_keys_used","n_candidates_final","match_keys_used","datasetName","canonicalName","year","eventDate","locality","decimalLatitude","decimalLongitude","bibliographicCitation","catalogNumber","occurrenceID","institutionCode","Duplicate","Comment",".references",".associatedReferences",".decimalLat",".decimalLon",".locality",".year",".eventDate",".bibliographicCitation",".canonicalName",".scientificName",".catalogNumber",".recordedBy",".occurrenceID","row_status","key_found_in_old","id_in_old","old_composite_key_if_exists","matched_annotation_imported"
"72","49",NA,"matched","all_core_firlds","5","5","1","datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation","agui","galaxias maculatus","2013",NA,"río konrad po","-51.1802777777","-74.432222222","Górski, K., González","725",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"72___49",FALSE
"73","50",NA,"matched","all_core_firlds","5","5","1","datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation","agui","galaxias maculatus","2014",NA,"estuario konrad po","-51.1802777777","-74.432222222","Pérez, S., Manosalva","1049",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"73___50",FALSE
"78",NA,"53","no_match","no_match",NA,NA,"0",NA,"mma2","galaxias maculatus","2014","2014-04-03","rio konrad. bahia donaldson. islas presidente gabriel gonzalez videla","-51.18","-74.432","OrigenReg: Base Dato",NA,NA,NA,"1","associatedReferences (Górski et al. 2017 | Pérez et al. 2022)",NA,"Górski et al. 2017 | Pérez et al. 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"78___NA",TRUE
"89","58","good","matched","4plus_core","4","4","1","datasetName;canonicalName;decimalLatitude;decimalLongitude","mma2","eleginops maclovinus","2014","2014-02-14","rio balderas. sector puerto eden. costeras  orientales  entre  fiordo  beauchamp y fiordo veto","-49.134","-74.427","OrigenReg: Base Dato",NA,NA,NA,"1","associatedReferences (Górski et al. 2017)",NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"89___58",TRUE
"91","59",NA,"matched","4plus_core","4","4","1","datasetName;canonicalName;decimalLatitude;decimalLongitude","mma2","galaxias maculatus","2014","2014-04-24","rio balderas. sector puerto eden. costeras  orientales  entre  fiordo  beauchamp y fiordo veto","-49.134","-74.427","OrigenReg: Base Dato",NA,NA,NA,"1","associatedReferences (Górski et al. 2017)",NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"91___59",FALSE
"93","60",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","eleginops maclovinus","2013",NA,"río balderas","-49.1341666671","-74.4269444444","Górski, K., González","716",NA,NA,"0","associatedReference: (Górski et al. 2017)",NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"93___60",FALSE
"94","61",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","galaxias maculatus","2013",NA,"río balderas","-49.1341666671","-74.4269444444","Górski, K., González","720",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"94___61",FALSE
"98","64",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","eleginops maclovinus","2013",NA,"bahía lackawana","-49.1719444442","-74.4111111109","Górski, K., González","717",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"98___64",FALSE
"99","65",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","galaxias maculatus","2013",NA,"bahía lackawana","-49.1719444442","-74.4111111109","Górski, K., González","721",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"99___65",FALSE
"101","66","good","matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","mma2","eleginops maclovinus","2014","2014-02-14","rio lackawana. sector puerto eden. costeras  orientales  entre  fiordo  beauchamp y fiordo veto","-49.172","-74.411","OrigenReg: Base Dato",NA,NA,NA,"1","associatedReference: (Górski et al. 2017)",NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"101___66",TRUE
"105","68","good","matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","mma2","galaxias maculatus","2014","2014-04-24","rio lackawana. sector puerto eden. costeras  orientales  entre  fiordo  beauchamp y fiordo veto","-49.172","-74.411","OrigenReg: Base Dato",NA,NA,NA,"1","associatedReferences (Górski et al. 2017)",NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"105___68",TRUE
"109","70",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","gbif","atheriniformes","1995","1995-11-02",NA,"-45.7817","-74.4083",NA,NA,"cimar1_65_sp16","shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new_in_new",FALSE,FALSE,NA,FALSE
"113","74",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","idig","eleginops maclovinus","1931",NA,"golfo de penas","-48.4583333","-74.3916667",NA,"1936.8.26.915","69778f10-9b29-40a0-a178-26b3bc0e4c02","nhmuk","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"113___74",FALSE
"114",NA,"unlink","no_match","no_match",NA,NA,"0",NA,"agui","eleginops maclovinus",NA,NA,"-","-48.4583333332","-74.3916666666","Rademacher K. 2007. ","1076",NA,NA,"0","Remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"114___NA",TRUE
"117","77",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","gbif","atheriniformes","1995","1995-11-03",NA,"-45.4383","-74.3433",NA,NA,"cimar1_71_sp16","shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new_in_new",FALSE,FALSE,NA,FALSE
"119","79",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","gbif","atheriniformes","1995","1995-10-25",NA,"-43.6617","-74.2883",NA,NA,"cimar1_103_sp16","shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new_in_new",FALSE,FALSE,NA,FALSE
"122","81",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","oncorhynchus kisutch","2013",NA,"río tote","-50.3859722217","-74.2511944444","Górski, K., González","732",NA,NA,NA,"change coordinates to: -50.385972, -74.251194",NA,NA,"-50.385972","-74.251194",NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"122___81",FALSE
"125","82",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","galaxias maculatus","2013",NA,"río tote","-50.3861111112","-74.2511111114","Górski, K., González","724",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"125___82",FALSE
